Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Malawi,Sub-Saharan Africa,Africa,2000-03-13,2000-03-17
Epidemic,Malawi,Sub-Saharan Africa,Africa,2000-01-07,2000-01-15
Flood,Malawi,Sub-Saharan Africa,Africa,2001-01-12,2001-01-17
Epidemic,Malawi,Sub-Saharan Africa,Africa,2001-03-11,2001-03-15
Flood,Malawi,Sub-Saharan Africa,Africa,2001-12-30,2001-12-30
Epidemic,Malawi,Sub-Saharan Africa,Africa,2001-10-28,2001-10-28
Epidemic,Malawi,Sub-Saharan Africa,Africa,2001-10-28,2002-03-09
Flood,Malawi,Sub-Saharan Africa,Africa,2002-01-01,2002-03-05
Epidemic,Malawi,Sub-Saharan Africa,Africa,2002-02-13,2002-02-15
Epidemic,Malawi,Sub-Saharan Africa,Africa,2002-05-01,2002-08-26
Flood,Malawi,Sub-Saharan Africa,Africa,2002-12-28,2002-12-28
Drought,Malawi,Sub-Saharan Africa,Africa,2002-02-07,2002-08-30
Flood,Malawi,Sub-Saharan Africa,Africa,2003-01-01,2003-02-17
Flood,Malawi,Sub-Saharan Africa,Africa,2003-04-05,2003-04-08
Storm,Malawi,Sub-Saharan Africa,Africa,2005-12-17,2005-12-17
Flood,Malawi,Sub-Saharan Africa,Africa,2005-12-22,2006-02-07
Drought,Malawi,Sub-Saharan Africa,Africa,2005-10-01,2006-03-31
Epidemic,Malawi,Sub-Saharan Africa,Africa,2006-01-16,2006-05-18
Flood,Malawi,Sub-Saharan Africa,Africa,2006-03-07,2006-03-14
Flood,Malawi,Sub-Saharan Africa,Africa,2006-11-27,2006-11-29
Flood,Malawi,Sub-Saharan Africa,Africa,2007-01-08,2007-01-08
Flood,Malawi,Sub-Saharan Africa,Africa,2007-01-20,2007-03-10
Flood,Malawi,Sub-Saharan Africa,Africa,2007-11-18,2008-02-20
Flood,Malawi,Sub-Saharan Africa,Africa,2007-11-11,2008-01-02
Drought,Malawi,Sub-Saharan Africa,Africa,2007-10-01,2007-10-31
Epidemic,Malawi,Sub-Saharan Africa,Africa,2008-11-15,2009-05-24
Flood,Malawi,Sub-Saharan Africa,Africa,2008-12-13,2009-04-22
Earthquake,Malawi,Sub-Saharan Africa,Africa,2009-12-08,2009-12-08
Earthquake,Malawi,Sub-Saharan Africa,Africa,2009-12-20,2009-12-20
Epidemic,Malawi,Sub-Saharan Africa,Africa,2009-12-11,2010-08-13
Flood,Malawi,Sub-Saharan Africa,Africa,2010-03-22,2010-03-22
Flood,Malawi,Sub-Saharan Africa,Africa,2011-03-13,2011-03-17
Flood,Malawi,Sub-Saharan Africa,Africa,2011-04-11,2011-04-11
Flood,Malawi,Sub-Saharan Africa,Africa,2011-12-09,2012-01-15
Storm,Malawi,Sub-Saharan Africa,Africa,2012-01-18,2012-01-16
Flood,Malawi,Sub-Saharan Africa,Africa,2012-03-23,2012-03-24
Flood,Malawi,Sub-Saharan Africa,Africa,2012-12-15,2013-02-23
Drought,Malawi,Sub-Saharan Africa,Africa,2012-08-01,2013-07-31
Flood,Malawi,Sub-Saharan Africa,Africa,2013-01-12,2013-01-17
Epidemic,Malawi,Sub-Saharan Africa,Africa,2015-02-10,2015-06-16
Flood,Malawi,Sub-Saharan Africa,Africa,2015-01-01,2015-01-21
Storm,Malawi,Sub-Saharan Africa,Africa,2015-01-02,2015-01-04
Drought,Malawi,Sub-Saharan Africa,Africa,2015-10-01,2017-12-31
Flood,Malawi,Sub-Saharan Africa,Africa,2016-04-06,2016-04-11
Flood,Malawi,Sub-Saharan Africa,Africa,2017-04-19,2017-05-03
Epidemic,Malawi,Sub-Saharan Africa,Africa,2017-11-24,2018-02-11
Flood,Malawi,Sub-Saharan Africa,Africa,2018-02-01,2018-02-14
Flood,Malawi,Sub-Saharan Africa,Africa,2018-02-22,2018-03-07
Flood,Malawi,Sub-Saharan Africa,Africa,2018-04-11,2018-04-17
Flood,Malawi,Sub-Saharan Africa,Africa,2019-01-01,2019-01-31
Flood,Malawi,Sub-Saharan Africa,Africa,2019-03-04,2019-03-10
Mass_movement_wet,Malawi,Sub-Saharan Africa,Africa,2019-04-20,2019-04-20
Flood,Malawi,Sub-Saharan Africa,Africa,2020-02-04,2020-02-06
Storm,Malawi,Sub-Saharan Africa,Africa,2021-07-15,2021-11-28
Storm,Malawi,Sub-Saharan Africa,Africa,2022-01-22,2022-01-25
Storm,Malawi,Sub-Saharan Africa,Africa,2022-03-11,2022-03-14
Epidemic,Malawi,Sub-Saharan Africa,Africa,2022-02-17,2022-03-31
Epidemic,Malawi,Sub-Saharan Africa,Africa,2022-03-03,2023-03-17
Flood,Malawi,Sub-Saharan Africa,Africa,2022-11-12,2023-01-18
Drought,Malawi,Sub-Saharan Africa,Africa,2022-05-01,2022-11-23
Storm,Malawi,Sub-Saharan Africa,Africa,2023-03-11,2023-03-13
Flood,Malawi,Sub-Saharan Africa,Africa,2024-02-27,2024-03-07
Flood,Malawi,Sub-Saharan Africa,Africa,2024-11-27,2024-12-06
Storm,Malawi,Sub-Saharan Africa,Africa,2024-12-13,2024-12-17
Drought,Malawi,Sub-Saharan Africa,Africa,2024-04-01,2024-09-26
