Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Malaysia,South-eastern Asia,Asia,2000-01-01,2000-01-27
Storm,Malaysia,South-eastern Asia,Asia,2000-09-27,2000-09-27
Epidemic,Malaysia,South-eastern Asia,Asia,2000-10-01,2000-10-21
Flood,Malaysia,South-eastern Asia,Asia,2000-11-21,2000-12-01
Flood,Malaysia,South-eastern Asia,Asia,2001-08-19,2001-08-19
Flood,Malaysia,South-eastern Asia,Asia,2001-10-15,2001-10-16
Flood,Malaysia,South-eastern Asia,Asia,2001-10-30,2001-10-30
Flood,Malaysia,South-eastern Asia,Asia,2001-12-22,2002-01-03
Mass_movement_wet,Malaysia,South-eastern Asia,Asia,2002-01-31,2002-01-31
Storm,Malaysia,South-eastern Asia,Asia,2002-03-30,2002-03-30
Flood,Malaysia,South-eastern Asia,Asia,2003-11-29,2003-12-02
Flood,Malaysia,South-eastern Asia,Asia,2003-12-17,2004-01-05
Flood,Malaysia,South-eastern Asia,Asia,2003-10-03,2003-10-25
Flood,Malaysia,South-eastern Asia,Asia,2004-01-24,2004-02-03
Flood,Malaysia,South-eastern Asia,Asia,2004-03-08,2004-03-11
Storm,Malaysia,South-eastern Asia,Asia,2004-07-16,2004-07-16
Storm,Malaysia,South-eastern Asia,Asia,2004-11-06,2004-11-06
Flood,Malaysia,South-eastern Asia,Asia,2004-12-10,2004-12-18
Earthquake,Malaysia,South-eastern Asia,Asia,2004-12-26,2004-12-26
Wildfire,Malaysia,South-eastern Asia,Asia,2005-08-09,2005-08-09
Flood,Malaysia,South-eastern Asia,Asia,2005-07-17,2005-07-19
Flood,Malaysia,South-eastern Asia,Asia,2005-11-23,2006-01-12
Flood,Malaysia,South-eastern Asia,Asia,2006-01-09,2006-01-09
Flood,Malaysia,South-eastern Asia,Asia,2006-02-10,2006-02-18
Flood,Malaysia,South-eastern Asia,Asia,2006-04-20,2006-04-21
Flood,Malaysia,South-eastern Asia,Asia,2006-12-19,2006-12-20
Flood,Malaysia,South-eastern Asia,Asia,2007-01-11,2007-02-01
Epidemic,Malaysia,South-eastern Asia,Asia,2007-07-01,2007-07-20
Flood,Malaysia,South-eastern Asia,Asia,2007-12-07,2007-12-21
Flood,Malaysia,South-eastern Asia,Asia,2008-12-01,2008-12-04
Flood,Malaysia,South-eastern Asia,Asia,2008-12-28,2009-01-19
Flood,Malaysia,South-eastern Asia,Asia,2009-11-23,2009-11-26
Flood,Malaysia,South-eastern Asia,Asia,2009-11-20,2009-11-27
Flood,Malaysia,South-eastern Asia,Asia,2011-01-28,2011-01-31
Mass_movement_wet,Malaysia,South-eastern Asia,Asia,2011-05-21,2011-05-21
Flood,Malaysia,South-eastern Asia,Asia,2013-12-01,2013-12-08
Flood,Malaysia,South-eastern Asia,Asia,2014-12-16,2014-12-30
Drought,Malaysia,South-eastern Asia,Asia,2014-03-01,2014-03-30
Flood,Malaysia,South-eastern Asia,Asia,2015-01-14,2015-01-20
Earthquake,Malaysia,South-eastern Asia,Asia,2015-06-05,2015-06-05
Flood,Malaysia,South-eastern Asia,Asia,2016-02-19,2016-02-24
Flood,Malaysia,South-eastern Asia,Asia,2016-07-18,2016-07-19
Flood,Malaysia,South-eastern Asia,Asia,2016-11-28,2016-12-07
Flood,Malaysia,South-eastern Asia,Asia,2016-12-26,2017-01-23
Flood,Malaysia,South-eastern Asia,Asia,2017-01-23,2017-02-07
Flood,Malaysia,South-eastern Asia,Asia,2017-11-03,2017-11-08
Flood,Malaysia,South-eastern Asia,Asia,2017-11-25,2017-12-03
Storm,Malaysia,South-eastern Asia,Asia,2017-12-18,2017-12-20
Flood,Malaysia,South-eastern Asia,Asia,2018-02-03,2018-02-12
Flood,Malaysia,South-eastern Asia,Asia,2018-01-01,2018-01-05
Flood,Malaysia,South-eastern Asia,Asia,2019-06-02,2019-06-06
Flood,Malaysia,South-eastern Asia,Asia,2019-10-26,2019-10-27
Flood,Malaysia,South-eastern Asia,Asia,2019-11-30,2019-12-06
Flood,Malaysia,South-eastern Asia,Asia,2019-12-18,2019-12-19
Flood,Malaysia,South-eastern Asia,Asia,2020-04-25,2020-04-29
Flood,Malaysia,South-eastern Asia,Asia,2020-06-27,2020-07-01
Flood,Malaysia,South-eastern Asia,Asia,2020-06-20,2020-06-25
Flood,Malaysia,South-eastern Asia,Asia,2020-10-09,2020-10-09
Flood,Malaysia,South-eastern Asia,Asia,2020-12-20,2020-12-21
Flood,Malaysia,South-eastern Asia,Asia,2021-01-12,2021-01-15
Flood,Malaysia,South-eastern Asia,Asia,2021-01-11,2021-01-13
Flood,Malaysia,South-eastern Asia,Asia,2021-01-02,2021-01-08
Flood,Malaysia,South-eastern Asia,Asia,2021-05-20,2021-06-03
Flood,Malaysia,South-eastern Asia,Asia,2021-08-17,2021-08-19
Flood,Malaysia,South-eastern Asia,Asia,2021-09-07,2021-09-17
Flood,Malaysia,South-eastern Asia,Asia,2021-10-20,2021-10-22
Flood,Malaysia,South-eastern Asia,Asia,2021-12-17,2022-01-03
Flood,Malaysia,South-eastern Asia,Asia,2022-02-25,2022-02-28
Flood,Malaysia,South-eastern Asia,Asia,2022-03-06,2022-03-07
Flood,Malaysia,South-eastern Asia,Asia,2022-07-04,2022-07-07
Flood,Malaysia,South-eastern Asia,Asia,2022-11-08,2022-11-15
Mass_movement_wet,Malaysia,South-eastern Asia,Asia,2022-12-16,2022-12-16
Flood,Malaysia,South-eastern Asia,Asia,2022-12-17,2022-12-21
Flood,Malaysia,South-eastern Asia,Asia,2023-01-20,2023-01-27
Flood,Malaysia,South-eastern Asia,Asia,2023-02-28,2023-03-02
Flood,Malaysia,South-eastern Asia,Asia,2023-11-05,2023-11-08
Flood,Malaysia,South-eastern Asia,Asia,2023-12-22,2023-12-25
