Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Mali,Sub-Saharan Africa,Africa,2000-08-25,2000-08-25
Flood,Mali,Sub-Saharan Africa,Africa,2001-08-18,2001-10-09
Drought,Mali,Sub-Saharan Africa,Africa,2001-04-01,2001-09-26
Epidemic,Mali,Sub-Saharan Africa,Africa,2002-01-07,2002-01-15
Flood,Mali,Sub-Saharan Africa,Africa,2002-07-26,2002-07-27
Flood,Mali,Sub-Saharan Africa,Africa,2003-08-10,2003-10-19
Epidemic,Mali,Sub-Saharan Africa,Africa,2003-08-14,2004-02-18
Infestation,Mali,Sub-Saharan Africa,Africa,2004-04-01,2004-07-31
Flood,Mali,Sub-Saharan Africa,Africa,2005-06-06,2005-06-06
Epidemic,Mali,Sub-Saharan Africa,Africa,2005-06-20,2005-12-11
Flood,Mali,Sub-Saharan Africa,Africa,2005-09-21,2005-09-27
Epidemic,Mali,Sub-Saharan Africa,Africa,2005-10-07,2005-12-13
Epidemic,Mali,Sub-Saharan Africa,Africa,2006-01-01,2006-04-16
Flood,Mali,Sub-Saharan Africa,Africa,2006-08-03,2006-10-11
Drought,Mali,Sub-Saharan Africa,Africa,2006-08-01,2006-09-30
Flood,Mali,Sub-Saharan Africa,Africa,2007-07-04,2007-10-10
Flood,Mali,Sub-Saharan Africa,Africa,2007-07-22,2007-07-22
Flood,Mali,Sub-Saharan Africa,Africa,2008-08-18,2008-08-19
Epidemic,Mali,Sub-Saharan Africa,Africa,2009-02-09,2009-04-05
Flood,Mali,Sub-Saharan Africa,Africa,2009-05-14,2009-09-17
Flood,Mali,Sub-Saharan Africa,Africa,2010-08-11,2010-08-12
Flood,Mali,Sub-Saharan Africa,Africa,2010-10-04,2010-10-04
Drought,Mali,Sub-Saharan Africa,Africa,2010-06-07,2010-08-31
Epidemic,Mali,Sub-Saharan Africa,Africa,2011-09-10,2011-10-14
Flood,Mali,Sub-Saharan Africa,Africa,2011-08-01,2011-09-08
Flood,Mali,Sub-Saharan Africa,Africa,2013-08-29,2013-08-29
Flood,Mali,Sub-Saharan Africa,Africa,2013-08-09,2013-08-12
Epidemic,Mali,Sub-Saharan Africa,Africa,2014-10-24,2015-01-18
Flood,Mali,Sub-Saharan Africa,Africa,2015-08-08,2015-08-09
Flood,Mali,Sub-Saharan Africa,Africa,2016-07-11,2016-07-23
Flood,Mali,Sub-Saharan Africa,Africa,2018-08-07,2018-08-19
Flood,Mali,Sub-Saharan Africa,Africa,2019-05-16,2019-05-16
Flood,Mali,Sub-Saharan Africa,Africa,2019-08-24,2019-09-12
Drought,Mali,Sub-Saharan Africa,Africa,2020-05-01,2020-12-23
Flood,Mali,Sub-Saharan Africa,Africa,2022-07-01,2022-10-31
Drought,Mali,Sub-Saharan Africa,Africa,2022-05-01,2022-11-23
Flood,Mali,Sub-Saharan Africa,Africa,2024-06-14,2024-09-17
