Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Mauritania,Sub-Saharan Africa,Africa,2001-08-24,2001-08-24
Drought,Mauritania,Sub-Saharan Africa,Africa,2001-04-01,2003-09-26
Flood,Mauritania,Sub-Saharan Africa,Africa,2002-01-09,2002-01-09
Flood,Mauritania,Sub-Saharan Africa,Africa,2003-08-07,2003-08-20
Infestation,Mauritania,Sub-Saharan Africa,Africa,2004-07-01,2004-07-31
Epidemic,Mauritania,Sub-Saharan Africa,Africa,2005-07-20,2005-10-23
Flood,Mauritania,Sub-Saharan Africa,Africa,2005-09-27,2005-09-30
Flood,Mauritania,Sub-Saharan Africa,Africa,2006-07-22,2006-07-24
Flood,Mauritania,Sub-Saharan Africa,Africa,2006-08-03,2006-10-11
Flood,Mauritania,Sub-Saharan Africa,Africa,2007-08-07,2007-09-05
Flood,Mauritania,Sub-Saharan Africa,Africa,2007-08-31,2007-09-03
Flood,Mauritania,Sub-Saharan Africa,Africa,2009-08-28,2009-08-29
Flood,Mauritania,Sub-Saharan Africa,Africa,2010-09-19,2010-09-21
Flood,Mauritania,Sub-Saharan Africa,Africa,2013-08-05,2013-09-25
Storm,Mauritania,Sub-Saharan Africa,Africa,2017-09-04,2017-09-04
Drought,Mauritania,Sub-Saharan Africa,Africa,2017-04-07,2017-08-26
Drought,Mauritania,Sub-Saharan Africa,Africa,2018-03-01,2019-12-30
Flood,Mauritania,Sub-Saharan Africa,Africa,2019-08-26,2019-08-27
Flood,Mauritania,Sub-Saharan Africa,Africa,2020-09-01,2020-09-15
Flood,Mauritania,Sub-Saharan Africa,Africa,2020-09-01,2020-09-08
Drought,Mauritania,Sub-Saharan Africa,Africa,2020-06-01,2022-11-30
Flood,Mauritania,Sub-Saharan Africa,Africa,2022-07-25,2022-08-03
Flood,Mauritania,Sub-Saharan Africa,Africa,2023-07-30,2023-07-31
