Disaster_Type,Country,Subregion,Region,Start Date,End Date
Earthquake,Mexico,Latin America and the Caribbean,Americas,2000-08-09,2000-08-09
Flood,Mexico,Latin America and the Caribbean,Americas,2000-05-13,2000-05-13
Flood,Mexico,Latin America and the Caribbean,Americas,2000-05-30,2000-05-30
Flood,Mexico,Latin America and the Caribbean,Americas,2000-06-10,2000-06-14
Storm,Mexico,Latin America and the Caribbean,Americas,2000-09-21,2000-09-21
Storm,Mexico,Latin America and the Caribbean,Americas,2000-09-29,2000-10-03
Volcanic_activity,Mexico,Latin America and the Caribbean,Americas,2000-12-18,2000-12-19
Extreme_temperature,Mexico,Latin America and the Caribbean,Americas,2000-10-11,2000-10-22
Storm,Mexico,Latin America and the Caribbean,Americas,2001-07-25,2001-07-25
Flood,Mexico,Latin America and the Caribbean,Americas,2001-09-18,2001-09-21
Storm,Mexico,Latin America and the Caribbean,Americas,2001-09-24,2001-10-02
Storm,Mexico,Latin America and the Caribbean,Americas,2001-10-04,2001-10-09
Storm,Mexico,Latin America and the Caribbean,Americas,2001-10-03,2001-10-03
Storm,Mexico,Latin America and the Caribbean,Americas,2001-08-21,2001-08-21
Volcanic_activity,Mexico,Latin America and the Caribbean,Americas,2002-02-06,2002-02-06
Flood,Mexico,Latin America and the Caribbean,Americas,2002-08-15,2002-08-17
Storm,Mexico,Latin America and the Caribbean,Americas,2002-09-20,2002-09-20
Flood,Mexico,Latin America and the Caribbean,Americas,2002-09-17,2002-09-21
Storm,Mexico,Latin America and the Caribbean,Americas,2002-09-25,2002-09-25
Storm,Mexico,Latin America and the Caribbean,Americas,2002-10-25,2002-10-26
Extreme_temperature,Mexico,Latin America and the Caribbean,Americas,2002-12-24,2002-12-24
Drought,Mexico,Latin America and the Caribbean,Americas,2002-04-01,2002-07-26
Earthquake,Mexico,Latin America and the Caribbean,Americas,2003-01-22,2003-01-22
Mass_movement_wet,Mexico,Latin America and the Caribbean,Americas,2003-07-17,2003-07-18
Storm,Mexico,Latin America and the Caribbean,Americas,2003-09-22,2003-09-22
Flood,Mexico,Latin America and the Caribbean,Americas,2003-09-06,2003-09-10
Wildfire,Mexico,Latin America and the Caribbean,Americas,2003-10-25,2003-11-04
Extreme_temperature,Mexico,Latin America and the Caribbean,Americas,2003-12-13,2003-12-22
Storm,Mexico,Latin America and the Caribbean,Americas,2003-08-24,2003-08-27
Flood,Mexico,Latin America and the Caribbean,Americas,2003-06-12,2003-06-15
Flood,Mexico,Latin America and the Caribbean,Americas,2003-06-05,2003-06-06
Flood,Mexico,Latin America and the Caribbean,Americas,2004-04-04,2004-04-06
Flood,Mexico,Latin America and the Caribbean,Americas,2004-06-12,2004-06-12
Extreme_temperature,Mexico,Latin America and the Caribbean,Americas,2004-11-11,2004-11-22
Flood,Mexico,Latin America and the Caribbean,Americas,2005-05-05,2005-05-05
Storm,Mexico,Latin America and the Caribbean,Americas,2005-07-18,2005-07-18
Flood,Mexico,Latin America and the Caribbean,Americas,2005-08-21,2005-08-30
Storm,Mexico,Latin America and the Caribbean,Americas,2005-06-29,2005-06-30
Storm,Mexico,Latin America and the Caribbean,Americas,2005-10-01,2005-10-13
Storm,Mexico,Latin America and the Caribbean,Americas,2005-10-19,2005-10-24
Flood,Mexico,Latin America and the Caribbean,Americas,2005-09-26,2005-09-29
Mass_movement_wet,Mexico,Latin America and the Caribbean,Americas,2006-08-02,2006-08-02
Flood,Mexico,Latin America and the Caribbean,Americas,2006-07-27,2006-08-07
Storm,Mexico,Latin America and the Caribbean,Americas,2006-09-02,2006-09-04
Mass_movement_wet,Mexico,Latin America and the Caribbean,Americas,2006-09-06,2006-09-06
Storm,Mexico,Latin America and the Caribbean,Americas,2006-09-16,2006-09-18
Storm,Mexico,Latin America and the Caribbean,Americas,2006-10-25,2006-10-28
Extreme_temperature,Mexico,Latin America and the Caribbean,Americas,2006-11-11,2006-11-22
Storm,Mexico,Latin America and the Caribbean,Americas,2007-08-21,2007-08-24
Flood,Mexico,Latin America and the Caribbean,Americas,2007-09-04,2007-09-12
Storm,Mexico,Latin America and the Caribbean,Americas,2007-09-04,2007-09-06
Storm,Mexico,Latin America and the Caribbean,Americas,2007-09-28,2007-10-01
Flood,Mexico,Latin America and the Caribbean,Americas,2007-10-28,2007-11-16
Mass_movement_wet,Mexico,Latin America and the Caribbean,Americas,2007-11-06,2007-11-06
Storm,Mexico,Latin America and the Caribbean,Americas,2007-09-01,2007-09-01
Flood,Mexico,Latin America and the Caribbean,Americas,2008-07-06,2008-07-11
Storm,Mexico,Latin America and the Caribbean,Americas,2008-07-20,2008-07-21
Mass_movement_wet,Mexico,Latin America and the Caribbean,Americas,2008-09-17,2008-09-18
Flood,Mexico,Latin America and the Caribbean,Americas,2009-09-01,2009-09-10
Flood,Mexico,Latin America and the Caribbean,Americas,2009-09-10,2009-09-19
Storm,Mexico,Latin America and the Caribbean,Americas,2009-09-02,2009-09-03
Storm,Mexico,Latin America and the Caribbean,Americas,2009-11-08,2009-11-08
Flood,Mexico,Latin America and the Caribbean,Americas,2009-11-01,2009-11-12
Flood,Mexico,Latin America and the Caribbean,Americas,2009-10-02,2009-10-02
Epidemic,Mexico,Latin America and the Caribbean,Americas,2009-10-15,2009-12-12
Flood,Mexico,Latin America and the Caribbean,Americas,2009-07-14,2009-07-16
Flood,Mexico,Latin America and the Caribbean,Americas,2010-01-26,2010-02-13
Earthquake,Mexico,Latin America and the Caribbean,Americas,2010-04-04,2010-04-04
Storm,Mexico,Latin America and the Caribbean,Americas,2010-06-30,2010-07-07
Storm,Mexico,Latin America and the Caribbean,Americas,2010-08-23,2010-08-24
Flood,Mexico,Latin America and the Caribbean,Americas,2010-09-20,2010-09-20
Storm,Mexico,Latin America and the Caribbean,Americas,2010-09-15,2010-09-17
Mass_movement_wet,Mexico,Latin America and the Caribbean,Americas,2010-09-21,2010-09-21
Storm,Mexico,Latin America and the Caribbean,Americas,2010-09-25,2010-09-25
