Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Micronesia (Federated States of),Micronesia,Oceania,2000-04-17,2000-08-21
Storm,Micronesia (Federated States of),Micronesia,Oceania,2002-03-03,2002-03-03
Storm,Micronesia (Federated States of),Micronesia,Oceania,2002-07-01,2002-07-01
Storm,Micronesia (Federated States of),Micronesia,Oceania,2003-11-21,2003-11-25
Storm,Micronesia (Federated States of),Micronesia,Oceania,2004-04-03,2004-04-18
Flood,Micronesia (Federated States of),Micronesia,Oceania,2008-12-09,2008-12-09
Storm,Micronesia (Federated States of),Micronesia,Oceania,2015-03-27,2015-03-30
Drought,Micronesia (Federated States of),Micronesia,Oceania,2016-05-01,2016-05-23
Storm,Micronesia (Federated States of),Micronesia,Oceania,2019-02-19,2019-02-22
Drought,Micronesia (Federated States of),Micronesia,Oceania,2023-09-01,2024-03-31
