Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Mongolia,Eastern Asia,Asia,2000-01-14,2000-04-14
Storm,Mongolia,Eastern Asia,Asia,2000-12-14,2000-12-25
Drought,Mongolia,Eastern Asia,Asia,2000-02-01,2002-07-30
Storm,Mongolia,Eastern Asia,Asia,2001-04-07,2001-04-07
Storm,Mongolia,Eastern Asia,Asia,2002-01-08,2002-01-14
Storm,Mongolia,Eastern Asia,Asia,2002-12-08,2003-01-21
Flood,Mongolia,Eastern Asia,Asia,2003-07-21,2003-08-10
Storm,Mongolia,Eastern Asia,Asia,2008-05-26,2008-06-14
Epidemic,Mongolia,Eastern Asia,Asia,2008-05-01,2008-09-10
Flood,Mongolia,Eastern Asia,Asia,2009-07-16,2009-07-26
Extreme_temperature,Mongolia,Eastern Asia,Asia,2009-12-16,2010-05-18
Extreme_temperature,Mongolia,Eastern Asia,Asia,2015-11-17,2016-04-18
Extreme_temperature,Mongolia,Eastern Asia,Asia,2016-12-23,2017-01-04
Mass_movement_wet,Mongolia,Eastern Asia,Asia,2017-10-22,2017-10-22
Extreme_temperature,Mongolia,Eastern Asia,Asia,2018-01-17,2018-02-15
Flood,Mongolia,Eastern Asia,Asia,2018-07-03,2018-07-05
Storm,Mongolia,Eastern Asia,Asia,2018-11-25,2018-11-28
Extreme_temperature,Mongolia,Eastern Asia,Asia,2019-01-11,2019-02-20
Storm,Mongolia,Eastern Asia,Asia,2019-05-10,2019-05-11
Flood,Mongolia,Eastern Asia,Asia,2019-06-15,2019-06-19
Storm,Mongolia,Eastern Asia,Asia,2020-01-08,2020-01-14
Flood,Mongolia,Eastern Asia,Asia,2020-06-21,2020-06-25
Flood,Mongolia,Eastern Asia,Asia,2020-07-02,2020-07-04
Flood,Mongolia,Eastern Asia,Asia,2020-07-08,2020-08-15
Storm,Mongolia,Eastern Asia,Asia,2021-03-14,2021-03-15
Flood,Mongolia,Eastern Asia,Asia,2021-06-28,2021-07-29
Flood,Mongolia,Eastern Asia,Asia,2022-06-15,2022-07-26
Extreme_temperature,Mongolia,Eastern Asia,Asia,2022-11-28,2022-12-18
Extreme_temperature,Mongolia,Eastern Asia,Asia,2023-05-19,2023-05-22
Flood,Mongolia,Eastern Asia,Asia,2023-07-03,2023-07-14
Flood,Mongolia,Eastern Asia,Asia,2023-08-05,2023-08-05
Storm,Mongolia,Eastern Asia,Asia,2023-11-04,2024-02-16
