Disaster_Type,Country,Subregion,Region,Start Date,End Date
Extreme_temperature,Morocco,Northern Africa,Africa,2000-08-15,2000-08-21
Flood,Morocco,Northern Africa,Africa,2000-10-22,2000-10-25
Flood,Morocco,Northern Africa,Africa,2000-12-22,2000-12-22
Flood,Morocco,Northern Africa,Africa,2001-12-23,2001-12-26
Flood,Morocco,Northern Africa,Africa,2002-11-24,2002-11-29
Flood,Morocco,Northern Africa,Africa,2003-11-17,2003-11-18
Earthquake,Morocco,Northern Africa,Africa,2004-02-24,2004-02-24
Infestation,Morocco,Northern Africa,Africa,2004-07-01,2004-07-31
Storm,Morocco,Northern Africa,Africa,2005-11-28,2005-11-28
Flood,Morocco,Northern Africa,Africa,2006-05-26,2006-05-28
Flood,Morocco,Northern Africa,Africa,2006-10-25,2006-10-27
Flood,Morocco,Northern Africa,Africa,2006-10-28,2006-10-29
Flood,Morocco,Northern Africa,Africa,2008-10-23,2008-11-03
Flood,Morocco,Northern Africa,Africa,2009-02-01,2009-02-12
Flood,Morocco,Northern Africa,Africa,2009-12-25,2009-12-26
Flood,Morocco,Northern Africa,Africa,2010-03-09,2010-03-09
Flood,Morocco,Northern Africa,Africa,2010-11-25,2010-12-06
Extreme_temperature,Morocco,Northern Africa,Africa,2012-02-16,2012-02-24
Storm,Morocco,Northern Africa,Africa,2014-01-07,2014-01-07
Storm,Morocco,Northern Africa,Africa,2014-11-21,2014-11-24
Flood,Morocco,Northern Africa,Africa,2014-11-28,2014-11-30
Extreme_temperature,Morocco,Northern Africa,Africa,2016-02-27,2016-02-27
Extreme_temperature,Morocco,Northern Africa,Africa,2017-01-15,2017-02-26
Extreme_temperature,Morocco,Northern Africa,Africa,2017-02-27,2017-02-27
Extreme_temperature,Morocco,Northern Africa,Africa,2018-01-05,2018-01-09
Mass_movement_wet,Morocco,Northern Africa,Africa,2019-07-24,2019-07-24
Flood,Morocco,Northern Africa,Africa,2019-09-08,2019-09-09
Flood,Morocco,Northern Africa,Africa,2019-08-28,2019-08-28
Flood,Morocco,Northern Africa,Africa,2021-02-01,2021-02-28
Flood,Morocco,Northern Africa,Africa,2021-03-01,2021-03-02
Earthquake,Morocco,Northern Africa,Africa,2023-09-08,2023-09-08
Flood,Morocco,Northern Africa,Africa,2024-09-06,2024-09-09
