Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Mozambique,Sub-Saharan Africa,Africa,2000-01-26,2000-03-27
Storm,Mozambique,Sub-Saharan Africa,Africa,2000-02-18,2000-02-23
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2000-01-07,2000-01-15
Storm,Mozambique,Sub-Saharan Africa,Africa,2000-04-02,2000-04-02
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2000-03-11,2000-03-15
Storm,Mozambique,Sub-Saharan Africa,Africa,2000-11-18,2000-11-18
Storm,Mozambique,Sub-Saharan Africa,Africa,2000-11-26,2000-11-26
Flood,Mozambique,Sub-Saharan Africa,Africa,2001-01-01,2001-04-27
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2001-08-11,2001-08-15
Flood,Mozambique,Sub-Saharan Africa,Africa,2001-07-14,2001-07-17
Drought,Mozambique,Sub-Saharan Africa,Africa,2001-01-01,2001-07-31
Drought,Mozambique,Sub-Saharan Africa,Africa,2002-03-07,2002-08-26
Flood,Mozambique,Sub-Saharan Africa,Africa,2002-03-18,2002-03-22
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2002-01-01,2002-06-17
Storm,Mozambique,Sub-Saharan Africa,Africa,2002-10-25,2002-10-25
Flood,Mozambique,Sub-Saharan Africa,Africa,2003-01-01,2003-02-17
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2003-01-01,2003-06-15
Flood,Mozambique,Sub-Saharan Africa,Africa,2003-02-04,2003-02-17
Storm,Mozambique,Sub-Saharan Africa,Africa,2003-03-03,2003-03-03
Flood,Mozambique,Sub-Saharan Africa,Africa,2003-03-26,2003-03-28
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2003-02-24,2003-06-15
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2003-12-20,2004-03-18
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2003-04-07,2003-06-15
Drought,Mozambique,Sub-Saharan Africa,Africa,2003-01-01,2003-01-31
Flood,Mozambique,Sub-Saharan Africa,Africa,2005-01-25,2005-02-09
Flood,Mozambique,Sub-Saharan Africa,Africa,2005-12-22,2006-02-07
Drought,Mozambique,Sub-Saharan Africa,Africa,2005-05-01,2006-10-23
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2006-01-10,2006-05-18
Earthquake,Mozambique,Sub-Saharan Africa,Africa,2006-02-22,2006-02-22
Flood,Mozambique,Sub-Saharan Africa,Africa,2007-01-17,2007-02-17
Flood,Mozambique,Sub-Saharan Africa,Africa,2007-01-20,2007-01-23
Storm,Mozambique,Sub-Saharan Africa,Africa,2007-02-22,2007-02-22
Flood,Mozambique,Sub-Saharan Africa,Africa,2007-12-11,2008-01-03
Flood,Mozambique,Sub-Saharan Africa,Africa,2007-12-19,2008-01-02
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2007-10-11,2008-10-15
Drought,Mozambique,Sub-Saharan Africa,Africa,2007-08-07,2007-08-31
Storm,Mozambique,Sub-Saharan Africa,Africa,2008-03-08,2008-03-09
Wildfire,Mozambique,Sub-Saharan Africa,Africa,2008-09-01,2008-09-02
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2008-11-01,2009-11-14
Flood,Mozambique,Sub-Saharan Africa,Africa,2008-12-28,2009-01-19
Drought,Mozambique,Sub-Saharan Africa,Africa,2008-12-01,2009-07-31
Flood,Mozambique,Sub-Saharan Africa,Africa,2009-02-13,2009-03-17
Storm,Mozambique,Sub-Saharan Africa,Africa,2009-03-26,2009-03-27
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2009-05-05,2010-03-08
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2009-01-11,2009-11-16
Flood,Mozambique,Sub-Saharan Africa,Africa,2010-02-22,2010-03-11
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2010-01-01,2010-03-13
Drought,Mozambique,Sub-Saharan Africa,Africa,2010-03-07,2010-08-26
Storm,Mozambique,Sub-Saharan Africa,Africa,2011-01-12,2011-01-12
Flood,Mozambique,Sub-Saharan Africa,Africa,2011-01-12,2011-02-17
Flood,Mozambique,Sub-Saharan Africa,Africa,2011-03-13,2011-03-17
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2011-01-07,2011-01-15
Storm,Mozambique,Sub-Saharan Africa,Africa,2012-01-20,2012-01-22
Storm,Mozambique,Sub-Saharan Africa,Africa,2012-01-18,2012-01-18
Storm,Mozambique,Sub-Saharan Africa,Africa,2012-03-03,2012-03-07
Flood,Mozambique,Sub-Saharan Africa,Africa,2013-01-12,2013-01-17
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2013-01-28,2013-02-13
Flood,Mozambique,Sub-Saharan Africa,Africa,2014-01-13,2014-05-17
Flood,Mozambique,Sub-Saharan Africa,Africa,2014-12-16,2014-12-18
Epidemic,Mozambique,Sub-Saharan Africa,Africa,2014-12-25,2015-03-02
