Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Namibia,Sub-Saharan Africa,Africa,2000-02-12,2000-02-17
Epidemic,Namibia,Sub-Saharan Africa,Africa,2000-09-10,2000-09-14
Epidemic,Namibia,Sub-Saharan Africa,Africa,2001-01-07,2001-01-15
Drought,Namibia,Sub-Saharan Africa,Africa,2001-01-01,2001-07-31
Drought,Namibia,Sub-Saharan Africa,Africa,2002-07-01,2003-07-31
Flood,Namibia,Sub-Saharan Africa,Africa,2003-05-12,2003-05-12
Flood,Namibia,Sub-Saharan Africa,Africa,2004-03-13,2004-03-17
Flood,Namibia,Sub-Saharan Africa,Africa,2004-02-01,2004-06-02
Flood,Namibia,Sub-Saharan Africa,Africa,2006-01-12,2006-01-17
Flood,Namibia,Sub-Saharan Africa,Africa,2006-02-24,2006-02-28
Epidemic,Namibia,Sub-Saharan Africa,Africa,2006-05-07,2006-08-08
Flood,Namibia,Sub-Saharan Africa,Africa,2007-01-10,2007-05-10
Epidemic,Namibia,Sub-Saharan Africa,Africa,2007-02-13,2007-02-15
Flood,Namibia,Sub-Saharan Africa,Africa,2008-01-30,2008-03-03
Epidemic,Namibia,Sub-Saharan Africa,Africa,2008-10-22,2009-04-17
Flood,Namibia,Sub-Saharan Africa,Africa,2009-03-01,2009-03-19
Flood,Namibia,Sub-Saharan Africa,Africa,2010-03-24,2010-03-24
Flood,Namibia,Sub-Saharan Africa,Africa,2011-03-01,2011-04-12
Flood,Namibia,Sub-Saharan Africa,Africa,2012-01-24,2012-01-24
Flood,Namibia,Sub-Saharan Africa,Africa,2013-01-10,2013-03-31
Epidemic,Namibia,Sub-Saharan Africa,Africa,2013-11-10,2013-05-14
Drought,Namibia,Sub-Saharan Africa,Africa,2013-01-01,2014-01-31
Drought,Namibia,Sub-Saharan Africa,Africa,2015-01-01,2016-03-31
Flood,Namibia,Sub-Saharan Africa,Africa,2017-01-13,2017-03-17
Drought,Namibia,Sub-Saharan Africa,Africa,2018-10-01,2020-12-31
Flood,Namibia,Sub-Saharan Africa,Africa,2020-03-06,2020-03-06
Flood,Namibia,Sub-Saharan Africa,Africa,2021-01-01,2021-01-14
Flood,Namibia,Sub-Saharan Africa,Africa,2023-01-13,2023-01-17
Drought,Namibia,Sub-Saharan Africa,Africa,2024-05-01,2024-09-23
