Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Nepal,Southern Asia,Asia,2000-06-15,2000-06-16
Epidemic,Nepal,Southern Asia,Asia,2000-07-04,2000-07-14
Epidemic,Nepal,Southern Asia,Asia,2000-05-03,2000-05-16
Epidemic,Nepal,Southern Asia,Asia,2001-01-01,2001-01-16
Epidemic,Nepal,Southern Asia,Asia,2001-06-04,2001-06-16
Mass_movement_wet,Nepal,Southern Asia,Asia,2001-06-13,2001-06-15
Mass_movement_wet,Nepal,Southern Asia,Asia,2002-07-15,2002-08-15
Epidemic,Nepal,Southern Asia,Asia,2002-09-27,2002-09-27
Extreme_temperature,Nepal,Southern Asia,Asia,2002-12-13,2002-12-20
Flood,Nepal,Southern Asia,Asia,2003-07-03,2003-08-20
Extreme_temperature,Nepal,Southern Asia,Asia,2003-12-15,2004-01-25
Flood,Nepal,Southern Asia,Asia,2004-07-05,2004-07-13
Flood,Nepal,Southern Asia,Asia,2005-07-07,2005-07-27
Flood,Nepal,Southern Asia,Asia,2005-09-24,2005-09-29
Mass_movement_wet,Nepal,Southern Asia,Asia,2005-10-20,2005-10-20
Flood,Nepal,Southern Asia,Asia,2006-06-24,2006-08-03
Mass_movement_wet,Nepal,Southern Asia,Asia,2006-08-03,2006-08-03
Mass_movement_wet,Nepal,Southern Asia,Asia,2006-08-26,2006-09-13
Drought,Nepal,Southern Asia,Asia,2006-07-07,2006-08-31
Flood,Nepal,Southern Asia,Asia,2007-07-23,2007-10-02
Flood,Nepal,Southern Asia,Asia,2008-07-15,2008-08-16
Flood,Nepal,Southern Asia,Asia,2008-09-22,2008-09-29
Epidemic,Nepal,Southern Asia,Asia,2009-05-01,2009-08-23
Mass_movement_wet,Nepal,Southern Asia,Asia,2009-07-28,2009-07-28
Flood,Nepal,Southern Asia,Asia,2009-10-04,2009-10-12
Extreme_temperature,Nepal,Southern Asia,Asia,2009-12-15,2010-01-25
Flood,Nepal,Southern Asia,Asia,2009-07-26,2009-07-28
Epidemic,Nepal,Southern Asia,Asia,2010-04-10,2010-12-15
Flood,Nepal,Southern Asia,Asia,2010-07-25,2010-07-25
Epidemic,Nepal,Southern Asia,Asia,2010-07-28,2010-08-14
Flood,Nepal,Southern Asia,Asia,2010-08-21,2010-08-24
Flood,Nepal,Southern Asia,Asia,2011-07-02,2011-07-19
Flood,Nepal,Southern Asia,Asia,2011-06-16,2011-07-15
Earthquake,Nepal,Southern Asia,Asia,2011-09-18,2011-09-18
Mass_movement_wet,Nepal,Southern Asia,Asia,2011-07-15,2011-07-15
Mass_movement_wet,Nepal,Southern Asia,Asia,2011-07-20,2011-07-20
Extreme_temperature,Nepal,Southern Asia,Asia,2011-12-15,2012-01-25
Extreme_temperature,Nepal,Southern Asia,Asia,2011-01-11,2011-01-19
Flood,Nepal,Southern Asia,Asia,2012-05-05,2012-05-07
Extreme_temperature,Nepal,Southern Asia,Asia,2013-01-01,2013-01-20
Mass_movement_wet,Nepal,Southern Asia,Asia,2012-09-23,2012-09-23
Flood,Nepal,Southern Asia,Asia,2013-05-25,2013-07-18
Flood,Nepal,Southern Asia,Asia,2013-07-10,2013-08-31
Mass_movement_wet,Nepal,Southern Asia,Asia,2014-04-18,2014-04-18
Flood,Nepal,Southern Asia,Asia,2014-07-01,2014-07-14
Flood,Nepal,Southern Asia,Asia,2014-07-16,2014-07-22
Flood,Nepal,Southern Asia,Asia,2014-08-11,2014-08-25
Mass_movement_wet,Nepal,Southern Asia,Asia,2014-08-02,2014-08-02
Storm,Nepal,Southern Asia,Asia,2014-10-14,2014-10-14
Earthquake,Nepal,Southern Asia,Asia,2015-04-25,2015-04-25
Earthquake,Nepal,Southern Asia,Asia,2015-05-12,2015-05-12
Mass_movement_wet,Nepal,Southern Asia,Asia,2015-06-06,2015-06-11
Mass_movement_wet,Nepal,Southern Asia,Asia,2015-07-29,2015-08-15
Wildfire,Nepal,Southern Asia,Asia,2016-02-01,2016-05-02
Flood,Nepal,Southern Asia,Asia,2016-07-25,2016-07-27
Flood,Nepal,Southern Asia,Asia,2016-06-29,2016-07-05
Mass_movement_wet,Nepal,Southern Asia,Asia,2017-06-30,2017-07-05
Flood,Nepal,Southern Asia,Asia,2017-06-30,2017-07-03
Flood,Nepal,Southern Asia,Asia,2017-08-10,2017-09-07
Extreme_temperature,Nepal,Southern Asia,Asia,2018-01-01,2018-01-07
Flood,Nepal,Southern Asia,Asia,2018-07-01,2018-07-11
Storm,Nepal,Southern Asia,Asia,2019-03-30,2019-03-31
Flood,Nepal,Southern Asia,Asia,2019-07-08,2019-07-29
Flood,Nepal,Southern Asia,Asia,2020-06-15,2020-09-16
Flood,Nepal,Southern Asia,Asia,2021-06-16,2021-06-17
Flood,Nepal,Southern Asia,Asia,2021-07-01,2021-07-07
Flood,Nepal,Southern Asia,Asia,2021-09-02,2021-09-06
Flood,Nepal,Southern Asia,Asia,2021-10-16,2021-10-22
Storm,Nepal,Southern Asia,Asia,2022-06-16,2022-06-20
Epidemic,Nepal,Southern Asia,Asia,2022-06-16,2022-06-30
Mass_movement_wet,Nepal,Southern Asia,Asia,2022-07-15,2022-08-18
Flood,Nepal,Southern Asia,Asia,2022-08-02,2022-08-31
Flood,Nepal,Southern Asia,Asia,2022-09-09,2022-09-17
Earthquake,Nepal,Southern Asia,Asia,2022-11-09,2022-11-09
Flood,Nepal,Southern Asia,Asia,2023-06-15,2023-06-19
Epidemic,Nepal,Southern Asia,Asia,2023-04-04,2023-06-15
Earthquake,Nepal,Southern Asia,Asia,2023-10-03,2023-10-03
Earthquake,Nepal,Southern Asia,Asia,2023-11-03,2023-11-03
Flood,Nepal,Southern Asia,Asia,2024-06-16,2024-07-15
Mass_movement_wet,Nepal,Southern Asia,Asia,2024-07-13,2024-07-15
Mass_movement_wet,Nepal,Southern Asia,Asia,2024-07-10,2024-07-15
Glacial_lake_outburst_flood,Nepal,Southern Asia,Asia,2024-08-16,2024-08-16
Flood,Nepal,Southern Asia,Asia,2024-09-26,2024-10-08
