Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Netherlands (Kingdom of the),Western Europe,Europe,2002-10-26,2002-10-28
Extreme_temperature,Netherlands (Kingdom of the),Western Europe,Europe,2003-07-31,2003-08-13
Storm,Netherlands (Kingdom of the),Western Europe,Europe,2005-01-08,2005-01-08
Extreme_temperature,Netherlands (Kingdom of the),Western Europe,Europe,2005-11-25,2005-11-27
Extreme_temperature,Netherlands (Kingdom of the),Western Europe,Europe,2005-12-27,2005-12-30
Extreme_temperature,Netherlands (Kingdom of the),Western Europe,Europe,2006-07-15,2006-07-23
Storm,Netherlands (Kingdom of the),Western Europe,Europe,2007-01-18,2007-01-18
Storm,Netherlands (Kingdom of the),Western Europe,Europe,2008-02-29,2008-03-02
Storm,Netherlands (Kingdom of the),Western Europe,Europe,2010-02-28,2010-02-28
Extreme_temperature,Netherlands (Kingdom of the),Western Europe,Europe,2012-02-16,2012-02-19
Storm,Netherlands (Kingdom of the),Western Europe,Europe,2013-10-27,2013-10-28
Storm,Netherlands (Kingdom of the),Western Europe,Europe,2013-12-04,2013-12-07
Storm,Netherlands (Kingdom of the),Western Europe,Europe,2013-12-24,2013-12-24
Storm,Netherlands (Kingdom of the),Western Europe,Europe,2016-06-23,2016-06-24
Storm,Netherlands (Kingdom of the),Western Europe,Europe,2018-01-17,2018-01-18
Extreme_temperature,Netherlands (Kingdom of the),Western Europe,Europe,2018-07-21,2018-07-25
Extreme_temperature,Netherlands (Kingdom of the),Western Europe,Europe,2019-07-22,2019-07-27
Extreme_temperature,Netherlands (Kingdom of the),Western Europe,Europe,2020-08-05,2020-08-16
Flood,Netherlands (Kingdom of the),Western Europe,Europe,2021-07-15,2021-07-16
Storm,Netherlands (Kingdom of the),Western Europe,Europe,2021-10-21,2021-10-22
Storm,Netherlands (Kingdom of the),Western Europe,Europe,2022-02-18,2022-02-18
Extreme_temperature,Netherlands (Kingdom of the),Western Europe,Europe,2022-05-30,2022-09-04
Extreme_temperature,Netherlands (Kingdom of the),Western Europe,Europe,2023-07-21,2023-08-25
Storm,Netherlands (Kingdom of the),Western Europe,Europe,2023-11-06,2023-11-06
Storm,Netherlands (Kingdom of the),Western Europe,Europe,2024-11-26,2024-11-27
