Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,New Zealand,Australia and New Zealand,Oceania,2000-08-20,2000-08-20
Storm,New Zealand,Australia and New Zealand,Oceania,2000-10-11,2000-10-11
Extreme_temperature,New Zealand,Australia and New Zealand,Oceania,2001-01-16,2001-04-19
Flood,New Zealand,Australia and New Zealand,Oceania,2002-01-12,2002-01-15
Storm,New Zealand,Australia and New Zealand,Oceania,2003-10-03,2003-10-03
Flood,New Zealand,Australia and New Zealand,Oceania,2004-02-13,2004-02-25
Flood,New Zealand,Australia and New Zealand,Oceania,2004-07-18,2004-07-18
Storm,New Zealand,Australia and New Zealand,Oceania,2005-03-10,2005-03-10
Flood,New Zealand,Australia and New Zealand,Oceania,2005-05-18,2005-05-21
Flood,New Zealand,Australia and New Zealand,Oceania,2006-04-26,2006-04-28
Storm,New Zealand,Australia and New Zealand,Oceania,2007-03-29,2007-03-31
Earthquake,New Zealand,Australia and New Zealand,Oceania,2010-09-04,2010-09-04
Earthquake,New Zealand,Australia and New Zealand,Oceania,2011-02-22,2011-02-22
Earthquake,New Zealand,Australia and New Zealand,Oceania,2011-06-13,2011-06-13
Storm,New Zealand,Australia and New Zealand,Oceania,2012-12-06,2012-12-06
Earthquake,New Zealand,Australia and New Zealand,Oceania,2013-07-21,2013-07-21
Storm,New Zealand,Australia and New Zealand,Oceania,2013-09-10,2013-09-11
Drought,New Zealand,Australia and New Zealand,Oceania,2013-01-01,2013-05-31
Flood,New Zealand,Australia and New Zealand,Oceania,2015-05-13,2015-05-21
Flood,New Zealand,Australia and New Zealand,Oceania,2015-06-22,2015-06-29
Flood,New Zealand,Australia and New Zealand,Oceania,2016-03-23,2016-03-24
Earthquake,New Zealand,Australia and New Zealand,Oceania,2016-11-14,2016-11-14
Flood,New Zealand,Australia and New Zealand,Oceania,2017-04-05,2017-04-21
Storm,New Zealand,Australia and New Zealand,Oceania,2017-07-21,2017-07-23
Flood,New Zealand,Australia and New Zealand,Oceania,2018-06-11,2018-06-11
Volcanic_activity,New Zealand,Australia and New Zealand,Oceania,2019-12-09,2019-12-09
Flood,New Zealand,Australia and New Zealand,Oceania,2020-02-01,2020-02-05
Wildfire,New Zealand,Australia and New Zealand,Oceania,2020-10-04,2020-10-05
Flood,New Zealand,Australia and New Zealand,Oceania,2020-11-09,2020-11-10
Flood,New Zealand,Australia and New Zealand,Oceania,2021-05-29,2021-06-01
Storm,New Zealand,Australia and New Zealand,Oceania,2021-06-19,2021-06-19
Flood,New Zealand,Australia and New Zealand,Oceania,2021-07-15,2021-07-17
Flood,New Zealand,Australia and New Zealand,Oceania,2021-08-30,2021-09-01
Storm,New Zealand,Australia and New Zealand,Oceania,2022-08-15,2022-08-18
Flood,New Zealand,Australia and New Zealand,Oceania,2023-01-27,2023-02-02
Storm,New Zealand,Australia and New Zealand,Oceania,2023-02-11,2023-02-17
Storm,New Zealand,Australia and New Zealand,Oceania,2023-04-09,2023-04-10
Storm,New Zealand,Australia and New Zealand,Oceania,2024-06-25,2024-06-27
