Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Nicaragua,Latin America and the Caribbean,Americas,2000-06-14,2000-06-17
Earthquake,Nicaragua,Latin America and the Caribbean,Americas,2000-07-06,2000-07-06
Storm,Nicaragua,Latin America and the Caribbean,Americas,2000-09-29,2000-10-03
Storm,Nicaragua,Latin America and the Caribbean,Americas,2000-10-09,2000-10-09
Drought,Nicaragua,Latin America and the Caribbean,Americas,2000-07-07,2000-08-31
Storm,Nicaragua,Latin America and the Caribbean,Americas,2001-11-01,2001-11-04
Drought,Nicaragua,Latin America and the Caribbean,Americas,2001-08-07,2001-08-31
Wildfire,Nicaragua,Latin America and the Caribbean,Americas,2002-04-18,2002-04-18
Flood,Nicaragua,Latin America and the Caribbean,Americas,2002-05-23,2002-06-05
Storm,Nicaragua,Latin America and the Caribbean,Americas,2002-09-22,2002-09-22
Mass_movement_wet,Nicaragua,Latin America and the Caribbean,Americas,2004-06-24,2004-06-28
Storm,Nicaragua,Latin America and the Caribbean,Americas,2004-06-12,2004-06-12
Storm,Nicaragua,Latin America and the Caribbean,Americas,2005-10-01,2005-10-13
Storm,Nicaragua,Latin America and the Caribbean,Americas,2005-10-30,2005-10-30
Storm,Nicaragua,Latin America and the Caribbean,Americas,2007-09-04,2007-09-12
Flood,Nicaragua,Latin America and the Caribbean,Americas,2007-10-14,2007-10-24
Storm,Nicaragua,Latin America and the Caribbean,Americas,2008-05-29,2008-05-29
Flood,Nicaragua,Latin America and the Caribbean,Americas,2008-09-24,2008-10-17
Flood,Nicaragua,Latin America and the Caribbean,Americas,2008-10-18,2008-10-18
Flood,Nicaragua,Latin America and the Caribbean,Americas,2009-06-19,2009-06-22
Flood,Nicaragua,Latin America and the Caribbean,Americas,2009-07-31,2009-07-31
Storm,Nicaragua,Latin America and the Caribbean,Americas,2009-11-05,2009-11-05
Epidemic,Nicaragua,Latin America and the Caribbean,Americas,2009-01-15,2009-10-30
Storm,Nicaragua,Latin America and the Caribbean,Americas,2010-06-27,2010-06-27
Flood,Nicaragua,Latin America and the Caribbean,Americas,2010-05-26,2010-06-03
Flood,Nicaragua,Latin America and the Caribbean,Americas,2010-08-17,2010-09-16
Storm,Nicaragua,Latin America and the Caribbean,Americas,2010-09-24,2010-09-24
Epidemic,Nicaragua,Latin America and the Caribbean,Americas,2010-10-16,2010-10-16
Flood,Nicaragua,Latin America and the Caribbean,Americas,2011-10-12,2011-10-17
Flood,Nicaragua,Latin America and the Caribbean,Americas,2012-05-15,2012-05-31
Flood,Nicaragua,Latin America and the Caribbean,Americas,2013-05-26,2013-07-25
Epidemic,Nicaragua,Latin America and the Caribbean,Americas,2013-07-12,2013-07-14
Earthquake,Nicaragua,Latin America and the Caribbean,Americas,2014-04-11,2014-04-11
Flood,Nicaragua,Latin America and the Caribbean,Americas,2014-10-15,2014-10-17
Drought,Nicaragua,Latin America and the Caribbean,Americas,2014-08-01,2015-02-28
Flood,Nicaragua,Latin America and the Caribbean,Americas,2015-09-22,2015-09-29
Storm,Nicaragua,Latin America and the Caribbean,Americas,2016-11-17,2016-11-17
Storm,Nicaragua,Latin America and the Caribbean,Americas,2017-10-05,2017-10-06
Flood,Nicaragua,Latin America and the Caribbean,Americas,2017-10-27,2017-10-27
Flood,Nicaragua,Latin America and the Caribbean,Americas,2018-10-01,2018-10-19
Drought,Nicaragua,Latin America and the Caribbean,Americas,2018-06-01,2019-03-31
Epidemic,Nicaragua,Latin America and the Caribbean,Americas,2019-04-12,2019-08-02
Storm,Nicaragua,Latin America and the Caribbean,Americas,2020-11-03,2020-11-04
Storm,Nicaragua,Latin America and the Caribbean,Americas,2020-11-17,2020-11-18
Storm,Nicaragua,Latin America and the Caribbean,Americas,2022-07-02,2022-07-02
Storm,Nicaragua,Latin America and the Caribbean,Americas,2022-10-09,2022-10-09
Storm,Nicaragua,Latin America and the Caribbean,Americas,2024-06-19,2024-06-21
Storm,Nicaragua,Latin America and the Caribbean,Americas,2024-11-17,2024-11-18
