Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Niger,Sub-Saharan Africa,Africa,2000-03-06,2000-03-06
Epidemic,Niger,Sub-Saharan Africa,Africa,2000-05-10,2000-05-15
Flood,Niger,Sub-Saharan Africa,Africa,2000-07-14,2000-07-17
Epidemic,Niger,Sub-Saharan Africa,Africa,2000-08-26,2000-08-26
Epidemic,Niger,Sub-Saharan Africa,Africa,2001-01-02,2001-04-08
Epidemic,Niger,Sub-Saharan Africa,Africa,2001-06-10,2001-06-16
Epidemic,Niger,Sub-Saharan Africa,Africa,2001-08-27,2001-08-27
Flood,Niger,Sub-Saharan Africa,Africa,2001-11-30,2001-11-30
Drought,Niger,Sub-Saharan Africa,Africa,2001-04-01,2002-09-26
Epidemic,Niger,Sub-Saharan Africa,Africa,2002-01-01,2002-04-21
Storm,Niger,Sub-Saharan Africa,Africa,2002-08-12,2002-08-12
Epidemic,Niger,Sub-Saharan Africa,Africa,2002-06-09,2002-07-22
Epidemic,Niger,Sub-Saharan Africa,Africa,2003-02-12,2003-03-09
Flood,Niger,Sub-Saharan Africa,Africa,2003-08-14,2003-08-18
Epidemic,Niger,Sub-Saharan Africa,Africa,2004-01-10,2004-05-02
Epidemic,Niger,Sub-Saharan Africa,Africa,2004-05-03,2004-05-17
Infestation,Niger,Sub-Saharan Africa,Africa,2004-07-01,2004-07-31
Epidemic,Niger,Sub-Saharan Africa,Africa,2005-07-13,2005-10-02
Drought,Niger,Sub-Saharan Africa,Africa,2005-07-01,2006-07-31
Epidemic,Niger,Sub-Saharan Africa,Africa,2006-01-01,2006-03-26
Flood,Niger,Sub-Saharan Africa,Africa,2006-08-03,2006-10-11
Epidemic,Niger,Sub-Saharan Africa,Africa,2006-01-01,2006-09-18
Flood,Niger,Sub-Saharan Africa,Africa,2007-07-26,2007-10-10
Epidemic,Niger,Sub-Saharan Africa,Africa,2008-01-01,2008-12-08
Flood,Niger,Sub-Saharan Africa,Africa,2008-07-14,2008-07-17
Epidemic,Niger,Sub-Saharan Africa,Africa,2008-01-01,2008-10-16
Epidemic,Niger,Sub-Saharan Africa,Africa,2009-01-09,2009-04-05
Flood,Niger,Sub-Saharan Africa,Africa,2009-09-01,2009-09-03
Drought,Niger,Sub-Saharan Africa,Africa,2009-09-01,2010-03-31
Epidemic,Niger,Sub-Saharan Africa,Africa,2010-01-01,2010-03-22
Flood,Niger,Sub-Saharan Africa,Africa,2010-07-19,2010-07-23
Flood,Niger,Sub-Saharan Africa,Africa,2010-08-01,2010-08-11
Epidemic,Niger,Sub-Saharan Africa,Africa,2010-08-11,2010-08-15
Epidemic,Niger,Sub-Saharan Africa,Africa,2011-09-10,2011-10-14
Flood,Niger,Sub-Saharan Africa,Africa,2011-08-10,2011-09-08
Flood,Niger,Sub-Saharan Africa,Africa,2011-08-17,2011-09-02
Flood,Niger,Sub-Saharan Africa,Africa,2012-07-15,2012-10-15
Epidemic,Niger,Sub-Saharan Africa,Africa,2012-01-01,2012-10-17
Epidemic,Niger,Sub-Saharan Africa,Africa,2012-10-05,2012-10-17
Flood,Niger,Sub-Saharan Africa,Africa,2013-07-15,2013-08-15
Flood,Niger,Sub-Saharan Africa,Africa,2013-11-03,2013-12-08
Flood,Niger,Sub-Saharan Africa,Africa,2014-06-14,2014-10-03
Animal_incident,Niger,Sub-Saharan Africa,Africa,2014-11-17,2014-11-17
Epidemic,Niger,Sub-Saharan Africa,Africa,2014-12-12,2014-12-20
Epidemic,Niger,Sub-Saharan Africa,Africa,2014-12-31,2015-05-02
Epidemic,Niger,Sub-Saharan Africa,Africa,2015-04-10,2015-04-16
Flood,Niger,Sub-Saharan Africa,Africa,2015-07-25,2015-10-17
Drought,Niger,Sub-Saharan Africa,Africa,2015-04-01,2017-03-26
Flood,Niger,Sub-Saharan Africa,Africa,2016-06-20,2016-10-17
Flood,Niger,Sub-Saharan Africa,Africa,2016-06-01,2016-09-07
Epidemic,Niger,Sub-Saharan Africa,Africa,2016-08-10,2016-11-21
Epidemic,Niger,Sub-Saharan Africa,Africa,2017-01-01,2017-03-31
Flood,Niger,Sub-Saharan Africa,Africa,2017-06-13,2017-06-19
Epidemic,Niger,Sub-Saharan Africa,Africa,2017-06-29,2017-06-29
Flood,Niger,Sub-Saharan Africa,Africa,2017-08-26,2017-09-15
Drought,Niger,Sub-Saharan Africa,Africa,2017-05-01,2017-06-23
Flood,Niger,Sub-Saharan Africa,Africa,2018-06-14,2018-08-31
Epidemic,Niger,Sub-Saharan Africa,Africa,2018-07-05,2018-10-01
Flood,Niger,Sub-Saharan Africa,Africa,2019-09-01,2019-09-15
Flood,Niger,Sub-Saharan Africa,Africa,2019-10-24,2019-10-24
Flood,Niger,Sub-Saharan Africa,Africa,2020-07-01,2020-09-10
Flood,Niger,Sub-Saharan Africa,Africa,2020-08-14,2020-09-10
Drought,Niger,Sub-Saharan Africa,Africa,2020-05-01,2020-12-23
Flood,Niger,Sub-Saharan Africa,Africa,2021-06-15,2021-08-31
Epidemic,Niger,Sub-Saharan Africa,Africa,2021-08-09,2021-08-24
Flood,Niger,Sub-Saharan Africa,Africa,2022-06-01,2022-09-30
Drought,Niger,Sub-Saharan Africa,Africa,2022-03-01,2022-05-30
Flood,Niger,Sub-Saharan Africa,Africa,2023-07-14,2023-10-17
Flood,Niger,Sub-Saharan Africa,Africa,2024-06-11,2024-10-18
