Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2000-01-07,2000-01-15
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2000-05-10,2000-05-15
Flood,Nigeria,Sub-Saharan Africa,Africa,2000-06-13,2000-06-18
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2000-05-10,2000-05-15
Storm,Nigeria,Sub-Saharan Africa,Africa,2000-10-09,2000-10-09
Flood,Nigeria,Sub-Saharan Africa,Africa,2000-08-14,2000-08-14
Flood,Nigeria,Sub-Saharan Africa,Africa,2000-08-15,2000-08-15
Flood,Nigeria,Sub-Saharan Africa,Africa,2000-09-14,2000-09-18
Flood,Nigeria,Sub-Saharan Africa,Africa,2000-09-20,2000-09-21
Flood,Nigeria,Sub-Saharan Africa,Africa,2000-09-23,2000-09-23
Mass_movement_wet,Nigeria,Sub-Saharan Africa,Africa,2000-09-23,2000-09-23
Mass_movement_wet,Nigeria,Sub-Saharan Africa,Africa,2000-12-20,2000-12-20
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2001-02-13,2001-02-15
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2001-03-11,2001-03-15
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2001-01-07,2001-01-15
Flood,Nigeria,Sub-Saharan Africa,Africa,2001-05-13,2001-05-17
Flood,Nigeria,Sub-Saharan Africa,Africa,2001-07-22,2001-07-22
Flood,Nigeria,Sub-Saharan Africa,Africa,2001-08-27,2001-09-04
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2001-10-10,2001-10-10
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2001-11-14,2001-11-26
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2002-03-06,2002-03-06
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2002-02-15,2002-02-15
Flood,Nigeria,Sub-Saharan Africa,Africa,2002-04-13,2002-04-18
Extreme_temperature,Nigeria,Sub-Saharan Africa,Africa,2002-06-15,2002-06-18
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2002-08-01,2002-08-01
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2002-12-02,2002-12-02
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2002-12-02,2002-12-02
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2002-11-21,2002-11-21
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2002-10-31,2002-10-31
Flood,Nigeria,Sub-Saharan Africa,Africa,2003-09-05,2003-10-28
Epidemic,Nigeria,Sub-Saharan Africa,Africa,2004-04-02,2004-04-02
Flood,Nigeria,Sub-Saharan Africa,Africa,2004-06-17,2004-06-18
Flood,Nigeria,Sub-Saharan Africa,Africa,2004-06-22,2004-06-25
