Disaster_Type,Country,Subregion,Region,Start Date,End Date
Wildfire,North Macedonia,Southern Europe,Europe,2000-08-18,2000-08-24
Extreme_temperature,North Macedonia,Southern Europe,Europe,2001-12-20,2001-12-30
Epidemic,North Macedonia,Southern Europe,Europe,2002-11-30,2002-11-30
Flood,North Macedonia,Southern Europe,Europe,2002-12-06,2002-12-10
Flood,North Macedonia,Southern Europe,Europe,2003-01-08,2003-01-10
Flood,North Macedonia,Southern Europe,Europe,2003-11-30,2003-11-30
Flood,North Macedonia,Southern Europe,Europe,2004-06-04,2004-06-07
Extreme_temperature,North Macedonia,Southern Europe,Europe,2004-07-01,2004-07-21
Storm,North Macedonia,Southern Europe,Europe,2005-01-17,2005-01-18
Flood,North Macedonia,Southern Europe,Europe,2005-08-04,2005-08-04
Flood,North Macedonia,Southern Europe,Europe,2006-08-13,2006-08-11
Extreme_temperature,North Macedonia,Southern Europe,Europe,2007-07-20,2007-07-22
Wildfire,North Macedonia,Southern Europe,Europe,2007-07-18,2007-07-18
Extreme_temperature,North Macedonia,Southern Europe,Europe,2012-01-23,2012-02-11
Flood,North Macedonia,Southern Europe,Europe,2013-02-24,2013-03-04
Extreme_temperature,North Macedonia,Southern Europe,Europe,2014-12-28,2015-01-03
Flood,North Macedonia,Southern Europe,Europe,2015-01-31,2015-02-03
Flood,North Macedonia,Southern Europe,Europe,2015-08-03,2015-08-05
Flood,North Macedonia,Southern Europe,Europe,2016-08-06,2016-08-07
Earthquake,North Macedonia,Southern Europe,Europe,2016-09-11,2016-09-11
Extreme_temperature,North Macedonia,Southern Europe,Europe,2017-01-05,2017-01-20
Wildfire,North Macedonia,Southern Europe,Europe,2021-07-30,2021-09-15
