Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Norway,Northern Europe,Europe,2000-10-11,2000-10-11
Flood,Norway,Northern Europe,Europe,2001-12-01,2001-12-01
Storm,Norway,Northern Europe,Europe,2005-01-13,2005-01-13
Storm,Norway,Northern Europe,Europe,2008-08-03,2008-08-03
Storm,Norway,Northern Europe,Europe,2011-11-26,2011-11-27
Mass_movement_wet,Norway,Northern Europe,Europe,2019-07-30,2019-07-30
Mass_movement_wet,Norway,Northern Europe,Europe,2020-12-30,2020-12-30
Storm,Norway,Northern Europe,Europe,2022-01-28,2022-01-31
Extreme_temperature,Norway,Northern Europe,Europe,2022-05-30,2022-09-30
Extreme_temperature,Norway,Northern Europe,Europe,2023-07-23,2023-08-25
