Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Oman,Western Asia,Asia,2002-05-10,2002-05-10
Storm,Oman,Western Asia,Asia,2003-04-14,2003-04-19
Storm,Oman,Western Asia,Asia,2007-06-06,2007-06-10
Storm,Oman,Western Asia,Asia,2010-06-06,2010-06-06
Storm,Oman,Western Asia,Asia,2011-11-03,2011-11-03
Storm,Oman,Western Asia,Asia,2015-01-19,2015-01-19
Flood,Oman,Western Asia,Asia,2016-04-08,2016-04-15
Flood,Oman,Western Asia,Asia,2017-12-16,2017-12-17
Storm,Oman,Western Asia,Asia,2018-05-23,2018-05-23
Storm,Oman,Western Asia,Asia,2018-10-14,2018-10-14
Flood,Oman,Western Asia,Asia,2019-05-18,2019-05-18
Flood,Oman,Western Asia,Asia,2020-05-27,2020-05-31
Storm,Oman,Western Asia,Asia,2021-07-15,2021-07-16
Storm,Oman,Western Asia,Asia,2021-10-03,2021-10-03
Flood,Oman,Western Asia,Asia,2024-02-11,2024-02-13
Flood,Oman,Western Asia,Asia,2024-04-14,2024-04-16
