Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Pakistan,Southern Asia,Asia,2000-03-02,2000-03-15
Epidemic,Pakistan,Southern Asia,Asia,2000-06-04,2000-06-16
Extreme_temperature,Pakistan,Southern Asia,Asia,2000-06-12,2000-06-22
Epidemic,Pakistan,Southern Asia,Asia,2000-09-12,2000-09-18
Extreme_temperature,Pakistan,Southern Asia,Asia,2001-01-15,2001-01-20
Earthquake,Pakistan,Southern Asia,Asia,2001-01-26,2001-01-26
Storm,Pakistan,Southern Asia,Asia,2001-03-28,2001-03-28
Mass_movement_wet,Pakistan,Southern Asia,Asia,2001-07-10,2001-07-10
Flood,Pakistan,Southern Asia,Asia,2001-07-22,2001-07-25
Epidemic,Pakistan,Southern Asia,Asia,2001-11-01,2002-02-12
Mass_movement_wet,Pakistan,Southern Asia,Asia,2001-07-13,2001-07-17
Earthquake,Pakistan,Southern Asia,Asia,2002-03-03,2002-03-03
Extreme_temperature,Pakistan,Southern Asia,Asia,2002-05-11,2002-05-22
Storm,Pakistan,Southern Asia,Asia,2002-05-27,2002-05-27
Flood,Pakistan,Southern Asia,Asia,2002-08-15,2002-08-15
Flood,Pakistan,Southern Asia,Asia,2002-08-22,2002-08-28
Flood,Pakistan,Southern Asia,Asia,2002-09-30,2002-09-30
Earthquake,Pakistan,Southern Asia,Asia,2002-11-02,2002-11-02
Earthquake,Pakistan,Southern Asia,Asia,2002-11-20,2002-11-20
Extreme_temperature,Pakistan,Southern Asia,Asia,2002-12-13,2002-12-20
Storm,Pakistan,Southern Asia,Asia,2003-02-16,2003-02-22
Mass_movement_wet,Pakistan,Southern Asia,Asia,2003-05-02,2003-05-02
Extreme_temperature,Pakistan,Southern Asia,Asia,2003-05-01,2003-06-06
Flood,Pakistan,Southern Asia,Asia,2003-07-22,2003-08-05
Flood,Pakistan,Southern Asia,Asia,2003-07-15,2003-09-01
Flood,Pakistan,Southern Asia,Asia,2003-09-05,2003-09-09
Earthquake,Pakistan,Southern Asia,Asia,2004-02-14,2004-02-14
Flood,Pakistan,Southern Asia,Asia,2004-07-14,2004-07-17
Epidemic,Pakistan,Southern Asia,Asia,2004-10-16,2004-10-16
Flood,Pakistan,Southern Asia,Asia,2004-08-01,2004-09-08
Storm,Pakistan,Southern Asia,Asia,2005-01-11,2005-01-16
Flood,Pakistan,Southern Asia,Asia,2005-02-09,2005-02-16
Flood,Pakistan,Southern Asia,Asia,2005-03-02,2005-03-08
Flood,Pakistan,Southern Asia,Asia,2005-03-20,2005-03-24
Extreme_temperature,Pakistan,Southern Asia,Asia,2005-06-13,2005-06-28
Flood,Pakistan,Southern Asia,Asia,2005-06-21,2005-08-05
Earthquake,Pakistan,Southern Asia,Asia,2005-10-08,2005-10-08
Epidemic,Pakistan,Southern Asia,Asia,2005-10-12,2005-10-12
Mass_movement_wet,Pakistan,Southern Asia,Asia,2005-12-27,2005-12-27
Epidemic,Pakistan,Southern Asia,Asia,2005-12-10,2005-12-14
Flood,Pakistan,Southern Asia,Asia,2005-07-05,2005-08-14
Extreme_temperature,Pakistan,Southern Asia,Asia,2006-05-11,2006-05-22
Mass_movement_wet,Pakistan,Southern Asia,Asia,2006-07-03,2006-07-04
Flood,Pakistan,Southern Asia,Asia,2006-07-09,2006-07-13
Flood,Pakistan,Southern Asia,Asia,2006-07-24,2006-08-22
Flood,Pakistan,Southern Asia,Asia,2006-08-01,2006-08-22
Flood,Pakistan,Southern Asia,Asia,2006-07-28,2006-09-12
Flood,Pakistan,Southern Asia,Asia,2006-08-31,2006-09-11
Flood,Pakistan,Southern Asia,Asia,2006-12-15,2006-12-21
Flood,Pakistan,Southern Asia,Asia,2006-08-03,2006-08-08
Mass_movement_wet,Pakistan,Southern Asia,Asia,2007-01-05,2007-01-05
Mass_movement_wet,Pakistan,Southern Asia,Asia,2007-03-21,2007-03-21
Mass_movement_wet,Pakistan,Southern Asia,Asia,2007-03-30,2007-04-02
Flood,Pakistan,Southern Asia,Asia,2007-06-28,2007-07-22
Storm,Pakistan,Southern Asia,Asia,2007-06-26,2007-07-06
Flood,Pakistan,Southern Asia,Asia,2007-06-23,2007-06-25
Flood,Pakistan,Southern Asia,Asia,2007-06-16,2007-06-20
Flood,Pakistan,Southern Asia,Asia,2007-07-20,2007-07-20
Flood,Pakistan,Southern Asia,Asia,2007-08-10,2007-08-13
Flood,Pakistan,Southern Asia,Asia,2007-08-12,2007-08-14
Flood,Pakistan,Southern Asia,Asia,2008-05-24,2008-05-26
Flood,Pakistan,Southern Asia,Asia,2008-08-02,2008-08-04
Earthquake,Pakistan,Southern Asia,Asia,2008-10-28,2008-10-28
Flood,Pakistan,Southern Asia,Asia,2008-08-09,2008-08-20
Flood,Pakistan,Southern Asia,Asia,2009-04-14,2009-04-14
Flood,Pakistan,Southern Asia,Asia,2009-07-17,2009-07-19
Flood,Pakistan,Southern Asia,Asia,2009-08-15,2009-08-17
Mass_movement_wet,Pakistan,Southern Asia,Asia,2010-01-04,2010-01-04
Flood,Pakistan,Southern Asia,Asia,2010-02-08,2010-02-09
Mass_movement_wet,Pakistan,Southern Asia,Asia,2010-02-18,2010-02-18
Storm,Pakistan,Southern Asia,Asia,2010-06-06,2010-06-07
Flood,Pakistan,Southern Asia,Asia,2010-06-22,2010-06-24
Flood,Pakistan,Southern Asia,Asia,2010-07-21,2010-07-23
Flood,Pakistan,Southern Asia,Asia,2010-07-28,2010-08-07
Earthquake,Pakistan,Southern Asia,Asia,2011-01-18,2011-01-18
Flood,Pakistan,Southern Asia,Asia,2011-08-12,2011-11-01
Mass_movement_wet,Pakistan,Southern Asia,Asia,2012-04-07,2012-04-07
Flood,Pakistan,Southern Asia,Asia,2012-09-04,2012-09-04
Flood,Pakistan,Southern Asia,Asia,2012-08-15,2012-10-29
Flood,Pakistan,Southern Asia,Asia,2012-08-23,2012-08-29
Mass_movement_wet,Pakistan,Southern Asia,Asia,2012-11-30,2012-11-30
Flood,Pakistan,Southern Asia,Asia,2013-02-03,2013-02-06
Earthquake,Pakistan,Southern Asia,Asia,2013-04-16,2013-04-16
Flood,Pakistan,Southern Asia,Asia,2013-08-07,2013-08-21
Earthquake,Pakistan,Southern Asia,Asia,2013-09-24,2013-09-24
Earthquake,Pakistan,Southern Asia,Asia,2013-09-28,2013-09-28
Storm,Pakistan,Southern Asia,Asia,2014-08-15,2014-08-24
Flood,Pakistan,Southern Asia,Asia,2014-09-01,2014-10-11
Extreme_temperature,Pakistan,Southern Asia,Asia,2014-01-11,2014-04-30
Flood,Pakistan,Southern Asia,Asia,2015-02-24,2015-03-03
Flood,Pakistan,Southern Asia,Asia,2015-04-26,2015-04-28
Flood,Pakistan,Southern Asia,Asia,2015-06-04,2015-06-05
Extreme_temperature,Pakistan,Southern Asia,Asia,2015-06-18,2015-06-24
Flood,Pakistan,Southern Asia,Asia,2015-06-25,2015-06-29
Flood,Pakistan,Southern Asia,Asia,2015-07-15,2015-08-19
Flood,Pakistan,Southern Asia,Asia,2015-07-07,2015-07-13
Mass_movement_dry,Pakistan,Southern Asia,Asia,2015-10-13,2015-10-13
