Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Panama,Latin America and the Caribbean,Americas,2000-09-15,2000-09-18
Flood,Panama,Latin America and the Caribbean,Americas,2001-05-02,2001-05-02
Flood,Panama,Latin America and the Caribbean,Americas,2002-05-06,2002-05-11
Epidemic,Panama,Latin America and the Caribbean,Americas,2002-06-01,2002-06-01
Flood,Panama,Latin America and the Caribbean,Americas,2002-11-23,2002-12-13
Earthquake,Panama,Latin America and the Caribbean,Americas,2003-08-13,2003-08-13
Earthquake,Panama,Latin America and the Caribbean,Americas,2003-12-25,2003-12-25
Flood,Panama,Latin America and the Caribbean,Americas,2003-05-15,2003-05-17
Flood,Panama,Latin America and the Caribbean,Americas,2004-09-17,2004-09-19
Flood,Panama,Latin America and the Caribbean,Americas,2004-10-23,2004-10-23
Flood,Panama,Latin America and the Caribbean,Americas,2004-11-23,2004-11-26
Flood,Panama,Latin America and the Caribbean,Americas,2005-01-11,2005-01-18
Flood,Panama,Latin America and the Caribbean,Americas,2006-10-15,2006-10-17
Flood,Panama,Latin America and the Caribbean,Americas,2006-11-21,2006-11-30
Wildfire,Panama,Latin America and the Caribbean,Americas,2006-12-20,2006-12-06
Flood,Panama,Latin America and the Caribbean,Americas,2007-10-12,2007-10-26
Flood,Panama,Latin America and the Caribbean,Americas,2008-09-03,2008-09-03
Flood,Panama,Latin America and the Caribbean,Americas,2008-11-22,2008-11-25
Flood,Panama,Latin America and the Caribbean,Americas,2009-11-23,2009-11-23
Flood,Panama,Latin America and the Caribbean,Americas,2010-01-11,2010-01-13
Flood,Panama,Latin America and the Caribbean,Americas,2010-06-15,2010-07-17
Flood,Panama,Latin America and the Caribbean,Americas,2010-11-04,2010-11-08
Flood,Panama,Latin America and the Caribbean,Americas,2010-12-08,2010-12-17
Flood,Panama,Latin America and the Caribbean,Americas,2011-10-20,2011-10-20
Flood,Panama,Latin America and the Caribbean,Americas,2011-11-10,2011-11-10
Flood,Panama,Latin America and the Caribbean,Americas,2012-11-24,2012-11-25
Flood,Panama,Latin America and the Caribbean,Americas,2012-07-15,2012-07-18
Drought,Panama,Latin America and the Caribbean,Americas,2013-01-01,2013-05-31
Flood,Panama,Latin America and the Caribbean,Americas,2014-08-18,2014-09-04
Flood,Panama,Latin America and the Caribbean,Americas,2015-09-22,2015-09-29
Drought,Panama,Latin America and the Caribbean,Americas,2015-08-07,2015-08-31
Storm,Panama,Latin America and the Caribbean,Americas,2016-11-21,2016-11-22
Storm,Panama,Latin America and the Caribbean,Americas,2017-10-06,2017-10-06
Drought,Panama,Latin America and the Caribbean,Americas,2018-06-01,2019-03-31
Flood,Panama,Latin America and the Caribbean,Americas,2020-08-09,2020-08-09
Storm,Panama,Latin America and the Caribbean,Americas,2020-11-03,2020-11-04
Storm,Panama,Latin America and the Caribbean,Americas,2020-11-17,2020-11-18
Flood,Panama,Latin America and the Caribbean,Americas,2021-06-12,2021-06-15
Flood,Panama,Latin America and the Caribbean,Americas,2021-07-22,2021-07-28
Flood,Panama,Latin America and the Caribbean,Americas,2022-11-18,2022-11-21
Epidemic,Panama,Latin America and the Caribbean,Americas,2024-01-15,2024-10-14
Storm,Panama,Latin America and the Caribbean,Americas,2024-11-03,2024-11-03
