Disaster_Type,Country,Subregion,Region,Start Date,End Date
Earthquake,Papua New Guinea,Melanesia,Oceania,2000-11-16,2000-11-16
Earthquake,Papua New Guinea,Melanesia,Oceania,2001-06-05,2001-06-05
Epidemic,Papua New Guinea,Melanesia,Oceania,2001-11-01,2001-11-01
Earthquake,Papua New Guinea,Melanesia,Oceania,2002-01-10,2002-01-10
Mass_movement_wet,Papua New Guinea,Melanesia,Oceania,2002-04-02,2002-04-02
Epidemic,Papua New Guinea,Melanesia,Oceania,2002-01-01,2002-01-01
Volcanic_activity,Papua New Guinea,Melanesia,Oceania,2002-07-02,2002-07-02
Earthquake,Papua New Guinea,Melanesia,Oceania,2002-09-08,2002-09-08
Epidemic,Papua New Guinea,Melanesia,Oceania,2002-12-24,2002-12-24
Mass_movement_wet,Papua New Guinea,Melanesia,Oceania,2003-05-03,2003-05-03
Mass_movement_wet,Papua New Guinea,Melanesia,Oceania,2003-08-01,2003-08-01
Flood,Papua New Guinea,Melanesia,Oceania,2004-03-05,2004-03-09
Volcanic_activity,Papua New Guinea,Melanesia,Oceania,2004-10-09,2004-11-24
Volcanic_activity,Papua New Guinea,Melanesia,Oceania,2005-06-02,2005-06-10
Earthquake,Papua New Guinea,Melanesia,Oceania,2005-06-04,2005-06-04
Flood,Papua New Guinea,Melanesia,Oceania,2005-08-19,2005-08-19
Mass_movement_wet,Papua New Guinea,Melanesia,Oceania,2006-01-20,2006-04-18
Flood,Papua New Guinea,Melanesia,Oceania,2006-02-03,2006-02-19
Flood,Papua New Guinea,Melanesia,Oceania,2006-04-12,2006-04-18
Mass_movement_wet,Papua New Guinea,Melanesia,Oceania,2006-04-27,2006-04-30
Volcanic_activity,Papua New Guinea,Melanesia,Oceania,2006-10-07,2006-10-07
Volcanic_activity,Papua New Guinea,Melanesia,Oceania,2006-07-13,2006-07-13
Storm,Papua New Guinea,Melanesia,Oceania,2007-11-12,2007-11-16
Flood,Papua New Guinea,Melanesia,Oceania,2008-12-08,2008-12-08
Flood,Papua New Guinea,Melanesia,Oceania,2008-12-12,2008-12-12
Mass_movement_dry,Papua New Guinea,Melanesia,Oceania,2008-01-06,2008-01-06
Mass_movement_wet,Papua New Guinea,Melanesia,Oceania,2009-05-26,2009-05-26
Epidemic,Papua New Guinea,Melanesia,Oceania,2009-07-18,2009-11-06
Epidemic,Papua New Guinea,Melanesia,Oceania,2009-08-22,2009-12-18
Epidemic,Papua New Guinea,Melanesia,Oceania,2009-09-11,2009-12-18
Storm,Papua New Guinea,Melanesia,Oceania,2011-02-02,2011-02-02
Mass_movement_wet,Papua New Guinea,Melanesia,Oceania,2012-01-24,2012-01-24
Flood,Papua New Guinea,Melanesia,Oceania,2012-09-01,2012-09-20
Flood,Papua New Guinea,Melanesia,Oceania,2013-01-08,2013-01-12
Flood,Papua New Guinea,Melanesia,Oceania,2014-06-06,2014-07-15
Volcanic_activity,Papua New Guinea,Melanesia,Oceania,2014-08-09,2014-08-09
Storm,Papua New Guinea,Melanesia,Oceania,2014-04-07,2014-04-09
Storm,Papua New Guinea,Melanesia,Oceania,2015-03-13,2015-03-13
Flood,Papua New Guinea,Melanesia,Oceania,2015-03-04,2015-03-18
Drought,Papua New Guinea,Melanesia,Oceania,2015-05-01,2015-10-23
Flood,Papua New Guinea,Melanesia,Oceania,2016-02-08,2016-02-15
Volcanic_activity,Papua New Guinea,Melanesia,Oceania,2018-01-05,2018-01-06
Earthquake,Papua New Guinea,Melanesia,Oceania,2018-02-26,2018-02-26
Earthquake,Papua New Guinea,Melanesia,Oceania,2018-03-05,2018-03-05
Earthquake,Papua New Guinea,Melanesia,Oceania,2018-03-07,2018-03-07
Flood,Papua New Guinea,Melanesia,Oceania,2019-02-11,2019-02-25
Mass_movement_wet,Papua New Guinea,Melanesia,Oceania,2019-04-15,2019-04-15
Earthquake,Papua New Guinea,Melanesia,Oceania,2019-05-14,2019-05-14
Volcanic_activity,Papua New Guinea,Melanesia,Oceania,2019-06-28,2019-06-28
Flood,Papua New Guinea,Melanesia,Oceania,2020-02-05,2020-02-06
Flood,Papua New Guinea,Melanesia,Oceania,2020-03-21,2020-03-24
Flood,Papua New Guinea,Melanesia,Oceania,2020-04-04,2020-04-07
Mass_movement_wet,Papua New Guinea,Melanesia,Oceania,2020-04-10,2020-04-10
Mass_movement_wet,Papua New Guinea,Melanesia,Oceania,2020-12-29,2020-12-30
Earthquake,Papua New Guinea,Melanesia,Oceania,2022-09-13,2022-09-13
Earthquake,Papua New Guinea,Melanesia,Oceania,2023-04-02,2023-04-02
Mass_movement_wet,Papua New Guinea,Melanesia,Oceania,2024-03-18,2024-03-21
Earthquake,Papua New Guinea,Melanesia,Oceania,2024-03-20,2024-03-20
Mass_movement_wet,Papua New Guinea,Melanesia,Oceania,2024-05-23,2024-05-24
