Disaster_Type,Country,Subregion,Region,Start Date,End Date
Extreme_temperature,Paraguay,Latin America and the Caribbean,Americas,2000-07-08,2000-07-23
Flood,Paraguay,Latin America and the Caribbean,Americas,2002-05-06,2002-05-28
Storm,Paraguay,Latin America and the Caribbean,Americas,2002-07-31,2002-07-31
Extreme_temperature,Paraguay,Latin America and the Caribbean,Americas,2004-07-08,2004-07-23
Drought,Paraguay,Latin America and the Caribbean,Americas,2005-10-14,2005-03-31
Epidemic,Paraguay,Latin America and the Caribbean,Americas,2006-02-13,2007-04-12
Wildfire,Paraguay,Latin America and the Caribbean,Americas,2007-09-11,2007-09-12
Epidemic,Paraguay,Latin America and the Caribbean,Americas,2008-01-28,2008-04-14
Epidemic,Paraguay,Latin America and the Caribbean,Americas,2008-02-13,2008-04-12
Storm,Paraguay,Latin America and the Caribbean,Americas,2008-08-07,2008-08-07
Epidemic,Paraguay,Latin America and the Caribbean,Americas,2008-12-09,2009-07-11
Drought,Paraguay,Latin America and the Caribbean,Americas,2008-09-07,2008-08-31
Storm,Paraguay,Latin America and the Caribbean,Americas,2009-09-08,2009-09-08
Flood,Paraguay,Latin America and the Caribbean,Americas,2009-09-22,2009-10-23
Epidemic,Paraguay,Latin America and the Caribbean,Americas,2009-01-10,2009-03-06
Extreme_temperature,Paraguay,Latin America and the Caribbean,Americas,2010-07-08,2010-07-23
Epidemic,Paraguay,Latin America and the Caribbean,Americas,2011-01-12,2011-07-14
Epidemic,Paraguay,Latin America and the Caribbean,Americas,2011-01-12,2011-06-14
Storm,Paraguay,Latin America and the Caribbean,Americas,2011-08-08,2011-08-08
Flood,Paraguay,Latin America and the Caribbean,Americas,2012-03-15,2012-04-17
Storm,Paraguay,Latin America and the Caribbean,Americas,2012-09-18,2012-09-19
Drought,Paraguay,Latin America and the Caribbean,Americas,2012-01-01,2012-01-31
Flood,Paraguay,Latin America and the Caribbean,Americas,2013-06-20,2013-07-18
Storm,Paraguay,Latin America and the Caribbean,Americas,2013-09-21,2013-09-22
Drought,Paraguay,Latin America and the Caribbean,Americas,2013-09-07,2014-08-31
Flood,Paraguay,Latin America and the Caribbean,Americas,2014-02-25,2014-03-10
Flood,Paraguay,Latin America and the Caribbean,Americas,2014-03-14,2014-07-01
Storm,Paraguay,Latin America and the Caribbean,Americas,2015-04-04,2015-04-04
Flood,Paraguay,Latin America and the Caribbean,Americas,2015-07-25,2015-08-05
Flood,Paraguay,Latin America and the Caribbean,Americas,2015-11-12,2016-01-27
Drought,Paraguay,Latin America and the Caribbean,Americas,2016-07-07,2016-08-31
Flood,Paraguay,Latin America and the Caribbean,Americas,2018-01-13,2018-01-22
Flood,Paraguay,Latin America and the Caribbean,Americas,2018-11-01,2018-11-19
Flood,Paraguay,Latin America and the Caribbean,Americas,2019-03-15,2019-04-04
Flood,Paraguay,Latin America and the Caribbean,Americas,2019-04-01,2019-05-13
Flood,Paraguay,Latin America and the Caribbean,Americas,2019-05-15,2019-05-17
Wildfire,Paraguay,Latin America and the Caribbean,Americas,2019-01-11,2019-09-15
Epidemic,Paraguay,Latin America and the Caribbean,Americas,2020-02-15,2020-03-03
Flood,Paraguay,Latin America and the Caribbean,Americas,2021-01-16,2021-01-20
Flood,Paraguay,Latin America and the Caribbean,Americas,2021-01-31,2021-02-02
Flood,Paraguay,Latin America and the Caribbean,Americas,2023-02-17,2023-03-03
Flood,Paraguay,Latin America and the Caribbean,Americas,2023-10-30,2023-11-04
