Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Peru,Latin America and the Caribbean,Americas,2000-03-16,2000-03-16
Infestation,Peru,Latin America and the Caribbean,Americas,2000-06-01,2000-06-30
Mass_movement_wet,Peru,Latin America and the Caribbean,Americas,2000-09-16,2000-09-16
Flood,Peru,Latin America and the Caribbean,Americas,2001-03-01,2001-03-21
Flood,Peru,Latin America and the Caribbean,Americas,2001-04-25,2001-04-26
Earthquake,Peru,Latin America and the Caribbean,Americas,2001-06-23,2001-06-23
Mass_movement_wet,Peru,Latin America and the Caribbean,Americas,2001-10-28,2001-10-28
Flood,Peru,Latin America and the Caribbean,Americas,2001-12-26,2001-12-29
Earthquake,Peru,Latin America and the Caribbean,Americas,2001-12-04,2001-12-04
Earthquake,Peru,Latin America and the Caribbean,Americas,2001-08-09,2001-08-09
Flood,Peru,Latin America and the Caribbean,Americas,2002-02-04,2002-02-15
Flood,Peru,Latin America and the Caribbean,Americas,2002-03-17,2002-03-31
Storm,Peru,Latin America and the Caribbean,Americas,2002-07-19,2002-07-16
Flood,Peru,Latin America and the Caribbean,Americas,2002-11-10,2002-11-10
Drought,Peru,Latin America and the Caribbean,Americas,2002-03-07,2002-08-26
Flood,Peru,Latin America and the Caribbean,Americas,2003-01-23,2003-02-10
Extreme_temperature,Peru,Latin America and the Caribbean,Americas,2003-07-07,2003-08-15
Flood,Peru,Latin America and the Caribbean,Americas,2003-12-28,2004-01-14
Mass_movement_wet,Peru,Latin America and the Caribbean,Americas,2004-04-10,2004-04-10
Flood,Peru,Latin America and the Caribbean,Americas,2004-05-07,2004-05-07
Extreme_temperature,Peru,Latin America and the Caribbean,Americas,2004-06-08,2004-07-18
Drought,Peru,Latin America and the Caribbean,Americas,2004-01-01,2004-07-31
Earthquake,Peru,Latin America and the Caribbean,Americas,2005-06-13,2005-06-13
Earthquake,Peru,Latin America and the Caribbean,Americas,2005-09-26,2005-09-26
Flood,Peru,Latin America and the Caribbean,Americas,2006-01-15,2006-03-17
Volcanic_activity,Peru,Latin America and the Caribbean,Americas,2006-03-27,2006-04-23
Drought,Peru,Latin America and the Caribbean,Americas,2006-01-01,2006-01-31
Flood,Peru,Latin America and the Caribbean,Americas,2007-01-21,2007-02-10
Extreme_temperature,Peru,Latin America and the Caribbean,Americas,2007-04-08,2007-07-19
Earthquake,Peru,Latin America and the Caribbean,Americas,2007-08-15,2007-08-15
Flood,Peru,Latin America and the Caribbean,Americas,2008-02-04,2008-03-14
Mass_movement_wet,Peru,Latin America and the Caribbean,Americas,2009-03-02,2009-03-02
Mass_movement_wet,Peru,Latin America and the Caribbean,Americas,2009-04-12,2009-04-16
Mass_movement_wet,Peru,Latin America and the Caribbean,Americas,2009-05-05,2009-05-05
Extreme_temperature,Peru,Latin America and the Caribbean,Americas,2009-05-07,2009-08-18
Epidemic,Peru,Latin America and the Caribbean,Americas,2009-01-15,2009-11-14
Mass_movement_wet,Peru,Latin America and the Caribbean,Americas,2009-12-16,2009-12-16
Flood,Peru,Latin America and the Caribbean,Americas,2009-12-15,2010-03-25
Flood,Peru,Latin America and the Caribbean,Americas,2010-02-10,2010-02-17
Mass_movement_wet,Peru,Latin America and the Caribbean,Americas,2010-04-01,2010-04-06
Extreme_temperature,Peru,Latin America and the Caribbean,Americas,2010-07-07,2011-01-21
Epidemic,Peru,Latin America and the Caribbean,Americas,2010-12-13,2011-05-31
Flood,Peru,Latin America and the Caribbean,Americas,2011-01-14,2011-02-17
Extreme_temperature,Peru,Latin America and the Caribbean,Americas,2011-05-17,2011-06-18
Earthquake,Peru,Latin America and the Caribbean,Americas,2011-10-28,2011-10-28
Flood,Peru,Latin America and the Caribbean,Americas,2011-05-26,2011-05-26
Storm,Peru,Latin America and the Caribbean,Americas,2011-01-11,2011-01-15
Flood,Peru,Latin America and the Caribbean,Americas,2011-12-15,2012-05-25
Earthquake,Peru,Latin America and the Caribbean,Americas,2012-01-30,2012-01-30
Extreme_temperature,Peru,Latin America and the Caribbean,Americas,2012-06-17,2012-06-18
Mass_movement_wet,Peru,Latin America and the Caribbean,Americas,2012-10-17,2012-10-17
Flood,Peru,Latin America and the Caribbean,Americas,2012-02-08,2012-03-13
Epidemic,Peru,Latin America and the Caribbean,Americas,2012-10-15,2012-11-26
Flood,Peru,Latin America and the Caribbean,Americas,2013-01-01,2013-02-20
Volcanic_activity,Peru,Latin America and the Caribbean,Americas,2013-09-12,2014-05-23
