Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Philippines,South-eastern Asia,Asia,2000-01-28,2000-02-01
Flood,Philippines,South-eastern Asia,Asia,2000-01-22,2000-01-22
Volcanic_activity,Philippines,South-eastern Asia,Asia,2000-02-24,2000-03-09
Storm,Philippines,South-eastern Asia,Asia,2000-05-18,2000-05-18
Storm,Philippines,South-eastern Asia,Asia,2000-07-05,2000-07-05
Storm,Philippines,South-eastern Asia,Asia,2000-07-07,2000-07-07
Mass_movement_wet,Philippines,South-eastern Asia,Asia,2000-07-10,2000-07-10
Flood,Philippines,South-eastern Asia,Asia,2000-09-04,2000-09-05
Storm,Philippines,South-eastern Asia,Asia,2000-10-28,2000-10-31
Storm,Philippines,South-eastern Asia,Asia,2000-11-03,2000-11-05
Mass_movement_dry,Philippines,South-eastern Asia,Asia,2000-11-08,2000-11-08
Epidemic,Philippines,South-eastern Asia,Asia,2000-11-18,2000-11-18
Storm,Philippines,South-eastern Asia,Asia,2000-11-30,2000-12-03
Storm,Philippines,South-eastern Asia,Asia,2001-02-17,2001-02-17
Flood,Philippines,South-eastern Asia,Asia,2001-01-15,2001-01-15
Volcanic_activity,Philippines,South-eastern Asia,Asia,2001-05-24,2001-05-24
Storm,Philippines,South-eastern Asia,Asia,2001-07-17,2001-07-18
Flood,Philippines,South-eastern Asia,Asia,2001-08-12,2001-08-14
Volcanic_activity,Philippines,South-eastern Asia,Asia,2001-07-25,2001-07-25
Flood,Philippines,South-eastern Asia,Asia,2001-10-10,2001-10-10
Storm,Philippines,South-eastern Asia,Asia,2001-11-08,2001-11-08
Storm,Philippines,South-eastern Asia,Asia,2001-12-05,2001-12-07
Storm,Philippines,South-eastern Asia,Asia,2001-08-17,2001-08-19
Storm,Philippines,South-eastern Asia,Asia,2001-09-22,2001-09-27
Flood,Philippines,South-eastern Asia,Asia,2002-01-04,2002-01-07
Earthquake,Philippines,South-eastern Asia,Asia,2002-03-05,2002-03-05
Flood,Philippines,South-eastern Asia,Asia,2002-03-21,2002-03-26
Storm,Philippines,South-eastern Asia,Asia,2002-07-07,2002-07-09
Storm,Philippines,South-eastern Asia,Asia,2002-07-13,2002-07-13
Flood,Philippines,South-eastern Asia,Asia,2002-08-13,2002-08-17
Storm,Philippines,South-eastern Asia,Asia,2002-06-28,2002-07-03
Flood,Philippines,South-eastern Asia,Asia,2002-07-20,2002-07-28
Storm,Philippines,South-eastern Asia,Asia,2002-03-20,2002-03-20
Storm,Philippines,South-eastern Asia,Asia,2002-07-15,2002-07-23
Storm,Philippines,South-eastern Asia,Asia,2002-08-11,2002-08-14
Drought,Philippines,South-eastern Asia,Asia,2002-03-01,2002-03-30
Storm,Philippines,South-eastern Asia,Asia,2003-05-26,2003-05-30
Flood,Philippines,South-eastern Asia,Asia,2003-05-16,2003-05-16
Storm,Philippines,South-eastern Asia,Asia,2003-06-15,2003-06-18
Storm,Philippines,South-eastern Asia,Asia,2003-07-19,2003-07-23
Mass_movement_wet,Philippines,South-eastern Asia,Asia,2003-12-19,2004-01-07
Storm,Philippines,South-eastern Asia,Asia,2003-07-15,2003-07-19
Storm,Philippines,South-eastern Asia,Asia,2003-07-30,2003-07-31
