Disaster_Type,Country,Subregion,Region,Start Date,End Date
Extreme_temperature,Poland,Eastern Europe,Europe,2000-12-19,2000-12-30
Flood,Poland,Eastern Europe,Europe,2001-07-20,2001-08-03
Extreme_temperature,Poland,Eastern Europe,Europe,2001-10-10,2002-01-20
Storm,Poland,Eastern Europe,Europe,2002-01-28,2002-01-28
Storm,Poland,Eastern Europe,Europe,2002-10-27,2002-10-27
Extreme_temperature,Poland,Eastern Europe,Europe,2002-10-14,2003-01-18
Flood,Poland,Eastern Europe,Europe,2004-07-27,2004-08-02
Storm,Poland,Eastern Europe,Europe,2005-01-07,2005-01-08
Storm,Poland,Eastern Europe,Europe,2005-02-18,2005-02-19
Flood,Poland,Eastern Europe,Europe,2005-03-17,2005-03-26
Extreme_temperature,Poland,Eastern Europe,Europe,2005-10-17,2006-02-06
Flood,Poland,Eastern Europe,Europe,2006-06-04,2006-06-06
Storm,Poland,Eastern Europe,Europe,2007-01-18,2007-01-18
Storm,Poland,Eastern Europe,Europe,2007-08-21,2007-08-21
Storm,Poland,Eastern Europe,Europe,2008-03-01,2008-03-01
Extreme_temperature,Poland,Eastern Europe,Europe,2008-11-01,2009-01-08
Flood,Poland,Eastern Europe,Europe,2009-06-22,2009-06-26
Storm,Poland,Eastern Europe,Europe,2009-07-23,2009-07-24
Extreme_temperature,Poland,Eastern Europe,Europe,2009-11-01,2010-01-26
Flood,Poland,Eastern Europe,Europe,2010-05-17,2010-05-26
Flood,Poland,Eastern Europe,Europe,2010-08-07,2010-08-08
Extreme_temperature,Poland,Eastern Europe,Europe,2010-11-20,2011-02-21
Extreme_temperature,Poland,Eastern Europe,Europe,2011-11-19,2011-12-21
Extreme_temperature,Poland,Eastern Europe,Europe,2012-01-27,2012-02-12
Storm,Poland,Eastern Europe,Europe,2012-07-14,2012-07-15
Extreme_temperature,Poland,Eastern Europe,Europe,2012-10-28,2012-12-01
Extreme_temperature,Poland,Eastern Europe,Europe,2012-12-01,2012-12-21
Extreme_temperature,Poland,Eastern Europe,Europe,2013-03-01,2013-03-26
Storm,Poland,Eastern Europe,Europe,2013-12-07,2013-12-07
Extreme_temperature,Poland,Eastern Europe,Europe,2014-01-23,2014-01-27
Storm,Poland,Eastern Europe,Europe,2015-07-19,2015-07-19
Extreme_temperature,Poland,Eastern Europe,Europe,2015-01-14,2015-01-20
Extreme_temperature,Poland,Eastern Europe,Europe,2016-01-02,2016-01-04
Flood,Poland,Eastern Europe,Europe,2016-05-28,2016-05-28
Storm,Poland,Eastern Europe,Europe,2017-08-10,2017-08-11
Extreme_temperature,Poland,Eastern Europe,Europe,2018-02-23,2018-02-28
Drought,Poland,Eastern Europe,Europe,2018-06-01,2018-07-31
Storm,Poland,Eastern Europe,Europe,2019-08-22,2019-08-22
Storm,Poland,Eastern Europe,Europe,2020-02-08,2020-02-09
Flood,Poland,Eastern Europe,Europe,2020-06-29,2020-07-05
Storm,Poland,Eastern Europe,Europe,2021-06-22,2021-06-22
Flood,Poland,Eastern Europe,Europe,2021-07-12,2021-07-18
Storm,Poland,Eastern Europe,Europe,2021-10-21,2021-10-22
Storm,Poland,Eastern Europe,Europe,2022-01-28,2022-01-31
Storm,Poland,Eastern Europe,Europe,2022-02-16,2022-02-17
Storm,Poland,Eastern Europe,Europe,2022-02-18,2022-02-18
Extreme_temperature,Poland,Eastern Europe,Europe,2022-05-30,2022-09-04
Extreme_temperature,Poland,Eastern Europe,Europe,2023-07-19,2023-08-17
Storm,Poland,Eastern Europe,Europe,2024-09-13,2024-09-18
