Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Portugal,Southern Europe,Europe,2000-12-06,2000-12-06
Flood,Portugal,Southern Europe,Europe,2001-01-26,2001-01-29
Wildfire,Portugal,Southern Europe,Europe,2001-09-18,2001-09-08
Flood,Portugal,Southern Europe,Europe,2003-01-01,2003-01-08
Wildfire,Portugal,Southern Europe,Europe,2003-08-18,2003-09-24
Extreme_temperature,Portugal,Southern Europe,Europe,2003-07-30,2003-08-15
Wildfire,Portugal,Southern Europe,Europe,2004-07-18,2004-08-18
Drought,Portugal,Southern Europe,Europe,2004-09-01,2005-06-30
Wildfire,Portugal,Southern Europe,Europe,2005-05-15,2005-07-14
Extreme_temperature,Portugal,Southern Europe,Europe,2005-06-18,2005-08-22
Extreme_temperature,Portugal,Southern Europe,Europe,2006-07-11,2006-07-17
Flood,Portugal,Southern Europe,Europe,2006-10-22,2006-11-08
Flood,Portugal,Southern Europe,Europe,2008-02-18,2008-02-18
Extreme_temperature,Portugal,Southern Europe,Europe,2009-01-20,2009-01-15
Flood,Portugal,Southern Europe,Europe,2010-02-20,2010-02-21
Storm,Portugal,Southern Europe,Europe,2010-02-27,2010-02-27
Extreme_temperature,Portugal,Southern Europe,Europe,2010-12-20,2010-12-30
Storm,Portugal,Southern Europe,Europe,2013-01-18,2013-01-19
Wildfire,Portugal,Southern Europe,Europe,2013-01-18,2013-08-18
Storm,Portugal,Southern Europe,Europe,2013-12-24,2013-12-25
Storm,Portugal,Southern Europe,Europe,2014-01-04,2014-01-07
Storm,Portugal,Southern Europe,Europe,2014-02-15,2014-02-16
Flood,Portugal,Southern Europe,Europe,2015-11-01,2015-11-03
Wildfire,Portugal,Southern Europe,Europe,2016-08-08,2016-08-13
Wildfire,Portugal,Southern Europe,Europe,2017-06-17,2017-06-21
Wildfire,Portugal,Southern Europe,Europe,2017-10-15,2017-10-16
Extreme_temperature,Portugal,Southern Europe,Europe,2018-08-18,2018-08-25
Wildfire,Portugal,Southern Europe,Europe,2018-08-03,2018-08-08
Storm,Portugal,Southern Europe,Europe,2018-10-14,2018-10-16
Storm,Portugal,Southern Europe,Europe,2019-12-19,2019-12-22
Wildfire,Portugal,Southern Europe,Europe,2022-07-09,2022-07-12
Extreme_temperature,Portugal,Southern Europe,Europe,2022-05-30,2022-09-04
Drought,Portugal,Southern Europe,Europe,2022-07-01,2023-06-30
Extreme_temperature,Portugal,Southern Europe,Europe,2023-07-18,2023-08-22
Wildfire,Portugal,Southern Europe,Europe,2023-08-05,2023-08-09
Wildfire,Portugal,Southern Europe,Europe,2024-09-15,2024-09-20
