Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Puerto Rico,Latin America and the Caribbean,Americas,2001-05-06,2001-05-07
Flood,Puerto Rico,Latin America and the Caribbean,Americas,2003-04-16,2003-04-22
Storm,Puerto Rico,Latin America and the Caribbean,Americas,2003-12-09,2003-12-09
Flood,Puerto Rico,Latin America and the Caribbean,Americas,2004-05-23,2004-06-01
Storm,Puerto Rico,Latin America and the Caribbean,Americas,2004-08-31,2004-08-31
Storm,Puerto Rico,Latin America and the Caribbean,Americas,2004-09-14,2004-09-14
Storm,Puerto Rico,Latin America and the Caribbean,Americas,2007-12-11,2007-12-17
Storm,Puerto Rico,Latin America and the Caribbean,Americas,2011-08-04,2011-08-04
Storm,Puerto Rico,Latin America and the Caribbean,Americas,2011-08-22,2011-08-22
Storm,Puerto Rico,Latin America and the Caribbean,Americas,2012-08-25,2012-08-25
Flood,Puerto Rico,Latin America and the Caribbean,Americas,2014-11-03,2014-11-05
Storm,Puerto Rico,Latin America and the Caribbean,Americas,2017-09-06,2017-09-07
Storm,Puerto Rico,Latin America and the Caribbean,Americas,2017-09-19,2017-09-21
Flood,Puerto Rico,Latin America and the Caribbean,Americas,2018-07-09,2018-07-11
Storm,Puerto Rico,Latin America and the Caribbean,Americas,2018-07-09,2018-07-11
Earthquake,Puerto Rico,Latin America and the Caribbean,Americas,2020-01-07,2020-01-07
Earthquake,Puerto Rico,Latin America and the Caribbean,Americas,2020-05-02,2020-05-02
Storm,Puerto Rico,Latin America and the Caribbean,Americas,2020-08-02,2020-08-02
Flood,Puerto Rico,Latin America and the Caribbean,Americas,2022-02-04,2022-02-06
Storm,Puerto Rico,Latin America and the Caribbean,Americas,2022-09-17,2022-09-18
