Disaster_Type,Country,Subregion,Region,Start Date,End Date
Wildfire,Republic of Korea,Eastern Asia,Asia,2000-04-06,2000-04-06
Flood,Republic of Korea,Eastern Asia,Asia,2000-07-22,2000-07-22
Flood,Republic of Korea,Eastern Asia,Asia,2000-08-26,2000-08-29
Storm,Republic of Korea,Eastern Asia,Asia,2000-08-31,2000-08-31
Storm,Republic of Korea,Eastern Asia,Asia,2000-09-16,2000-09-16
Epidemic,Republic of Korea,Eastern Asia,Asia,2000-03-01,2001-01-18
Storm,Republic of Korea,Eastern Asia,Asia,2001-01-08,2001-01-08
Flood,Republic of Korea,Eastern Asia,Asia,2001-07-14,2001-07-15
Flood,Republic of Korea,Eastern Asia,Asia,2001-07-29,2001-07-30
Drought,Republic of Korea,Eastern Asia,Asia,2001-06-01,2001-07-31
Storm,Republic of Korea,Eastern Asia,Asia,2002-07-05,2002-07-07
Storm,Republic of Korea,Eastern Asia,Asia,2002-07-13,2002-07-14
Flood,Republic of Korea,Eastern Asia,Asia,2002-08-05,2002-08-11
Storm,Republic of Korea,Eastern Asia,Asia,2002-08-31,2002-09-06
Storm,Republic of Korea,Eastern Asia,Asia,2003-09-12,2003-09-12
Storm,Republic of Korea,Eastern Asia,Asia,2004-03-05,2004-03-08
Wildfire,Republic of Korea,Eastern Asia,Asia,2004-03-10,2004-03-10
Storm,Republic of Korea,Eastern Asia,Asia,2004-06-18,2004-06-20
Flood,Republic of Korea,Eastern Asia,Asia,2004-08-15,2004-08-22
Storm,Republic of Korea,Eastern Asia,Asia,2004-08-15,2004-08-17
Storm,Republic of Korea,Eastern Asia,Asia,2004-09-06,2004-09-09
Flood,Republic of Korea,Eastern Asia,Asia,2004-09-11,2004-09-12
Wildfire,Republic of Korea,Eastern Asia,Asia,2005-04-04,2005-04-06
Flood,Republic of Korea,Eastern Asia,Asia,2005-08-02,2005-08-04
Storm,Republic of Korea,Eastern Asia,Asia,2005-08-02,2005-08-07
Storm,Republic of Korea,Eastern Asia,Asia,2005-09-08,2005-09-08
Storm,Republic of Korea,Eastern Asia,Asia,2005-12-22,2005-12-25
Flood,Republic of Korea,Eastern Asia,Asia,2006-07-12,2006-07-20
Storm,Republic of Korea,Eastern Asia,Asia,2007-09-16,2007-09-19
Flood,Republic of Korea,Eastern Asia,Asia,2007-09-04,2007-09-07
Flood,Republic of Korea,Eastern Asia,Asia,2008-05-04,2008-05-04
Storm,Republic of Korea,Eastern Asia,Asia,2010-09-02,2010-09-02
Flood,Republic of Korea,Eastern Asia,Asia,2011-07-08,2011-07-11
Mass_movement_wet,Republic of Korea,Eastern Asia,Asia,2011-07-26,2011-07-27
Flood,Republic of Korea,Eastern Asia,Asia,2011-07-27,2011-08-09
Storm,Republic of Korea,Eastern Asia,Asia,2012-08-28,2012-08-28
Storm,Republic of Korea,Eastern Asia,Asia,2012-08-30,2012-08-30
Storm,Republic of Korea,Eastern Asia,Asia,2012-09-15,2012-09-17
Storm,Republic of Korea,Eastern Asia,Asia,2014-02-17,2014-02-17
Storm,Republic of Korea,Eastern Asia,Asia,2014-08-03,2014-08-06
Flood,Republic of Korea,Eastern Asia,Asia,2014-08-25,2014-09-04
Epidemic,Republic of Korea,Eastern Asia,Asia,2015-05-04,2015-06-18
Extreme_temperature,Republic of Korea,Eastern Asia,Asia,2016-01-20,2016-01-26
Earthquake,Republic of Korea,Eastern Asia,Asia,2016-09-12,2016-09-12
Storm,Republic of Korea,Eastern Asia,Asia,2016-10-05,2016-10-12
Earthquake,Republic of Korea,Eastern Asia,Asia,2017-11-15,2017-11-15
Extreme_temperature,Republic of Korea,Eastern Asia,Asia,2018-07-14,2018-07-13
Wildfire,Republic of Korea,Eastern Asia,Asia,2019-04-04,2019-04-05
Storm,Republic of Korea,Eastern Asia,Asia,2019-09-06,2019-09-07
Storm,Republic of Korea,Eastern Asia,Asia,2019-09-24,2019-09-24
Storm,Republic of Korea,Eastern Asia,Asia,2019-10-02,2019-10-02
Storm,Republic of Korea,Eastern Asia,Asia,2020-08-03,2020-08-04
Flood,Republic of Korea,Eastern Asia,Asia,2020-07-13,2020-07-30
Flood,Republic of Korea,Eastern Asia,Asia,2020-08-01,2020-08-12
Storm,Republic of Korea,Eastern Asia,Asia,2020-09-06,2020-09-08
Storm,Republic of Korea,Eastern Asia,Asia,2020-09-03,2020-09-04
Storm,Republic of Korea,Eastern Asia,Asia,2021-08-23,2021-08-24
Wildfire,Republic of Korea,Eastern Asia,Asia,2022-02-15,2022-03-07
Extreme_temperature,Republic of Korea,Eastern Asia,Asia,2022-07-01,2022-07-02
Flood,Republic of Korea,Eastern Asia,Asia,2022-08-07,2022-08-10
Storm,Republic of Korea,Eastern Asia,Asia,2022-09-04,2022-09-06
Wildfire,Republic of Korea,Eastern Asia,Asia,2023-04-11,2023-04-11
Flood,Republic of Korea,Eastern Asia,Asia,2023-07-09,2023-07-16
Storm,Republic of Korea,Eastern Asia,Asia,2023-08-10,2023-08-10
Flood,Republic of Korea,Eastern Asia,Asia,2024-07-10,2024-07-11
Storm,Republic of Korea,Eastern Asia,Asia,2024-09-20,2024-09-21
