Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Republic of Moldova,Eastern Europe,Europe,2000-11-26,2000-11-27
Drought,Republic of Moldova,Eastern Europe,Europe,2000-05-01,2000-06-23
Flood,Republic of Moldova,Eastern Europe,Europe,2002-06-15,2002-06-16
Flood,Republic of Moldova,Eastern Europe,Europe,2005-08-18,2005-08-19
Extreme_temperature,Republic of Moldova,Eastern Europe,Europe,2006-01-20,2006-01-24
Flood,Republic of Moldova,Eastern Europe,Europe,2008-07-26,2008-07-27
Flood,Republic of Moldova,Eastern Europe,Europe,2010-07-05,2010-07-07
Extreme_temperature,Republic of Moldova,Eastern Europe,Europe,2012-01-30,2012-02-05
Drought,Republic of Moldova,Eastern Europe,Europe,2012-11-01,2012-06-30
Extreme_temperature,Republic of Moldova,Eastern Europe,Europe,2019-01-11,2019-01-30
Storm,Republic of Moldova,Eastern Europe,Europe,2023-11-26,2023-11-28
