Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Romania,Eastern Europe,Europe,2000-01-19,2000-01-19
Flood,Romania,Eastern Europe,Europe,2000-03-12,2000-03-15
Flood,Romania,Eastern Europe,Europe,2000-04-05,2000-04-25
Extreme_temperature,Romania,Eastern Europe,Europe,2000-07-18,2000-07-17
Drought,Romania,Eastern Europe,Europe,2000-06-07,2000-08-31
Flood,Romania,Eastern Europe,Europe,2001-03-04,2001-03-17
Flood,Romania,Eastern Europe,Europe,2001-06-19,2001-06-22
Extreme_temperature,Romania,Eastern Europe,Europe,2001-12-01,2001-12-01
Flood,Romania,Eastern Europe,Europe,2002-07-19,2002-07-23
Flood,Romania,Eastern Europe,Europe,2002-08-15,2002-08-17
Flood,Romania,Eastern Europe,Europe,2002-08-06,2002-08-07
Extreme_temperature,Romania,Eastern Europe,Europe,2002-12-07,2002-12-07
Flood,Romania,Eastern Europe,Europe,2003-01-01,2003-01-08
Flood,Romania,Eastern Europe,Europe,2003-01-02,2003-01-02
Storm,Romania,Eastern Europe,Europe,2004-06-13,2004-06-15
Extreme_temperature,Romania,Eastern Europe,Europe,2004-07-01,2004-07-20
Storm,Romania,Eastern Europe,Europe,2004-07-10,2004-07-14
Storm,Romania,Eastern Europe,Europe,2004-07-22,2004-07-22
Flood,Romania,Eastern Europe,Europe,2004-07-28,2004-08-01
Flood,Romania,Eastern Europe,Europe,2004-08-27,2004-08-27
Storm,Romania,Eastern Europe,Europe,2005-01-18,2005-02-19
Flood,Romania,Eastern Europe,Europe,2005-03-17,2005-03-25
Flood,Romania,Eastern Europe,Europe,2005-04-21,2005-05-15
Flood,Romania,Eastern Europe,Europe,2005-07-02,2005-07-03
Flood,Romania,Eastern Europe,Europe,2005-07-12,2005-07-28
Flood,Romania,Eastern Europe,Europe,2005-08-14,2005-08-25
Flood,Romania,Eastern Europe,Europe,2005-09-21,2005-09-23
Extreme_temperature,Romania,Eastern Europe,Europe,2006-01-20,2006-01-28
Extreme_temperature,Romania,Eastern Europe,Europe,2005-07-27,2005-08-01
Flood,Romania,Eastern Europe,Europe,2006-03-12,2006-03-15
Flood,Romania,Eastern Europe,Europe,2006-03-13,2006-04-07
Flood,Romania,Eastern Europe,Europe,2006-04-07,2006-05-24
Flood,Romania,Eastern Europe,Europe,2006-06-20,2006-06-26
Flood,Romania,Eastern Europe,Europe,2006-06-19,2006-06-19
Flood,Romania,Eastern Europe,Europe,2006-06-30,2006-07-03
Extreme_temperature,Romania,Eastern Europe,Europe,2006-06-29,2006-07-20
Flood,Romania,Eastern Europe,Europe,2007-02-12,2007-02-12
Extreme_temperature,Romania,Eastern Europe,Europe,2007-06-18,2007-07-20
Flood,Romania,Eastern Europe,Europe,2007-08-07,2007-08-07
Flood,Romania,Eastern Europe,Europe,2007-08-25,2007-08-26
Flood,Romania,Eastern Europe,Europe,2007-09-05,2007-09-11
Extreme_temperature,Romania,Eastern Europe,Europe,2007-12-10,2008-12-24
Storm,Romania,Eastern Europe,Europe,2008-02-29,2008-03-02
Flood,Romania,Eastern Europe,Europe,2008-07-26,2008-08-16
Extreme_temperature,Romania,Eastern Europe,Europe,2009-01-01,2009-01-15
Flood,Romania,Eastern Europe,Europe,2009-01-23,2009-01-26
Flood,Romania,Eastern Europe,Europe,2009-06-25,2009-06-25
Extreme_temperature,Romania,Eastern Europe,Europe,2009-12-20,2009-12-23
Extreme_temperature,Romania,Eastern Europe,Europe,2010-01-22,2010-01-26
Flood,Romania,Eastern Europe,Europe,2010-06-21,2010-07-03
Extreme_temperature,Romania,Eastern Europe,Europe,2012-01-23,2012-02-16
Flood,Romania,Eastern Europe,Europe,2013-09-11,2013-09-15
Extreme_temperature,Romania,Eastern Europe,Europe,2014-01-26,2014-01-31
Flood,Romania,Eastern Europe,Europe,2014-04-19,2014-04-22
Flood,Romania,Eastern Europe,Europe,2014-07-31,2014-07-31
Flood,Romania,Eastern Europe,Europe,2015-05-27,2015-06-02
Flood,Romania,Eastern Europe,Europe,2016-06-02,2016-06-02
Flood,Romania,Eastern Europe,Europe,2016-10-09,2016-10-16
Storm,Romania,Eastern Europe,Europe,2017-09-17,2017-09-17
Extreme_temperature,Romania,Eastern Europe,Europe,2018-02-23,2018-02-28
Flood,Romania,Eastern Europe,Europe,2018-03-14,2018-03-16
Flood,Romania,Eastern Europe,Europe,2018-06-29,2018-07-02
Flood,Romania,Eastern Europe,Europe,2019-05-31,2019-06-07
Flood,Romania,Eastern Europe,Europe,2020-06-10,2020-06-26
Flood,Romania,Eastern Europe,Europe,2021-06-16,2021-06-28
Extreme_temperature,Romania,Eastern Europe,Europe,2022-05-30,2022-09-04
Extreme_temperature,Romania,Eastern Europe,Europe,2023-07-19,2023-08-17
Storm,Romania,Eastern Europe,Europe,2023-07-25,2023-07-25
Storm,Romania,Eastern Europe,Europe,2023-11-25,2023-11-27
Storm,Romania,Eastern Europe,Europe,2024-09-14,2024-09-15
