Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Russian Federation,Eastern Europe,Europe,2000-01-06,2000-01-21
Mass_movement_wet,Russian Federation,Eastern Europe,Europe,2000-01-19,2000-01-19
Extreme_temperature,Russian Federation,Eastern Europe,Europe,2000-02-20,2000-02-13
Flood,Russian Federation,Eastern Europe,Europe,2000-03-12,2000-03-15
Flood,Russian Federation,Eastern Europe,Europe,2000-04-14,2000-04-14
Wildfire,Russian Federation,Eastern Europe,Europe,2000-07-11,2000-07-06
Wildfire,Russian Federation,Eastern Europe,Europe,2000-05-11,2000-05-07
Extreme_temperature,Russian Federation,Eastern Europe,Europe,2000-05-13,2000-05-13
Flood,Russian Federation,Eastern Europe,Europe,2000-05-13,2000-05-13
Epidemic,Russian Federation,Eastern Europe,Europe,2000-01-06,2000-01-21
Wildfire,Russian Federation,Eastern Europe,Europe,2000-07-11,2000-07-06
Epidemic,Russian Federation,Eastern Europe,Europe,2000-06-08,2000-06-21
Flood,Russian Federation,Eastern Europe,Europe,2000-08-15,2000-08-17
Flood,Russian Federation,Eastern Europe,Europe,2000-06-15,2000-06-16
Mass_movement_wet,Russian Federation,Eastern Europe,Europe,2000-07-19,2000-07-19
Flood,Russian Federation,Eastern Europe,Europe,2000-07-30,2000-08-06
Earthquake,Russian Federation,Eastern Europe,Europe,2000-08-04,2000-08-04
Wildfire,Russian Federation,Eastern Europe,Europe,2000-06-12,2000-06-06
Flood,Russian Federation,Eastern Europe,Europe,2000-08-28,2000-08-28
Wildfire,Russian Federation,Eastern Europe,Europe,2000-06-19,2000-06-19
Storm,Russian Federation,Eastern Europe,Europe,2000-09-13,2000-09-19
Flood,Russian Federation,Eastern Europe,Europe,2000-09-18,2000-09-18
Extreme_temperature,Russian Federation,Eastern Europe,Europe,2000-10-10,2000-10-10
Epidemic,Russian Federation,Eastern Europe,Europe,2000-09-01,2000-09-15
Epidemic,Russian Federation,Eastern Europe,Europe,2000-12-11,2000-12-13
Extreme_temperature,Russian Federation,Eastern Europe,Europe,2001-01-20,2001-02-20
Flood,Russian Federation,Eastern Europe,Europe,2001-05-12,2001-05-27
Storm,Russian Federation,Eastern Europe,Europe,2001-05-15,2001-05-15
Storm,Russian Federation,Eastern Europe,Europe,2001-03-03,2001-03-03
Infestation,Russian Federation,Eastern Europe,Europe,2001-06-01,2001-06-30
Flood,Russian Federation,Eastern Europe,Europe,2001-07-07,2001-07-13
Extreme_temperature,Russian Federation,Eastern Europe,Europe,2001-07-18,2001-07-17
Flood,Russian Federation,Eastern Europe,Europe,2001-08-06,2001-08-12
Wildfire,Russian Federation,Eastern Europe,Europe,2001-10-01,2001-10-01
Extreme_temperature,Russian Federation,Eastern Europe,Europe,2001-10-21,2001-10-21
Wildfire,Russian Federation,Eastern Europe,Europe,2001-05-11,2001-05-07
Flood,Russian Federation,Eastern Europe,Europe,2002-01-06,2002-01-23
Storm,Russian Federation,Eastern Europe,Europe,2002-01-29,2002-01-29
Wildfire,Russian Federation,Eastern Europe,Europe,2002-05-11,2002-05-11
Flood,Russian Federation,Eastern Europe,Europe,2002-06-19,2002-07-01
Wildfire,Russian Federation,Eastern Europe,Europe,2002-07-11,2002-07-06
Flood,Russian Federation,Eastern Europe,Europe,2002-08-08,2002-08-18
Flood,Russian Federation,Eastern Europe,Europe,2002-07-20,2002-07-26
Wildfire,Russian Federation,Eastern Europe,Europe,2002-07-11,2002-07-06
Mass_movement_wet,Russian Federation,Eastern Europe,Europe,2002-09-20,2002-09-20
Storm,Russian Federation,Eastern Europe,Europe,2002-10-02,2002-10-03
Extreme_temperature,Russian Federation,Eastern Europe,Europe,2002-10-21,2002-10-21
Wildfire,Russian Federation,Eastern Europe,Europe,2003-04-11,2003-07-09
Storm,Russian Federation,Eastern Europe,Europe,2003-08-08,2003-08-11
Flood,Russian Federation,Eastern Europe,Europe,2003-07-29,2003-07-31
Earthquake,Russian Federation,Eastern Europe,Europe,2003-09-27,2003-09-27
Flood,Russian Federation,Eastern Europe,Europe,2004-03-30,2004-04-09
Flood,Russian Federation,Eastern Europe,Europe,2004-04-14,2004-05-18
Wildfire,Russian Federation,Eastern Europe,Europe,2004-05-14,2004-05-16
Earthquake,Russian Federation,Eastern Europe,Europe,2004-05-31,2004-05-31
Storm,Russian Federation,Eastern Europe,Europe,2004-06-09,2004-06-09
Storm,Russian Federation,Eastern Europe,Europe,2004-07-22,2004-07-22
Flood,Russian Federation,Eastern Europe,Europe,2004-08-31,2004-09-01
Storm,Russian Federation,Eastern Europe,Europe,2004-09-10,2004-09-10
Storm,Russian Federation,Eastern Europe,Europe,2005-01-07,2005-01-08
Mass_movement_wet,Russian Federation,Eastern Europe,Europe,2005-01-11,2005-01-11
Storm,Russian Federation,Eastern Europe,Europe,2005-02-18,2005-02-19
Flood,Russian Federation,Eastern Europe,Europe,2005-04-14,2005-04-15
Flood,Russian Federation,Eastern Europe,Europe,2005-04-15,2005-04-15
