Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Rwanda,Sub-Saharan Africa,Africa,2000-07-11,2000-08-22
Flood,Rwanda,Sub-Saharan Africa,Africa,2001-09-22,2001-09-22
Flood,Rwanda,Sub-Saharan Africa,Africa,2001-10-30,2001-11-02
Earthquake,Rwanda,Sub-Saharan Africa,Africa,2002-01-17,2002-01-17
Flood,Rwanda,Sub-Saharan Africa,Africa,2002-04-26,2002-05-28
Epidemic,Rwanda,Sub-Saharan Africa,Africa,2002-06-24,2002-09-18
Flood,Rwanda,Sub-Saharan Africa,Africa,2003-10-30,2003-10-30
Drought,Rwanda,Sub-Saharan Africa,Africa,2003-03-07,2007-08-26
Epidemic,Rwanda,Sub-Saharan Africa,Africa,2004-06-15,2004-07-15
Epidemic,Rwanda,Sub-Saharan Africa,Africa,2006-01-04,2006-01-10
Mass_movement_wet,Rwanda,Sub-Saharan Africa,Africa,2006-11-28,2006-11-30
Flood,Rwanda,Sub-Saharan Africa,Africa,2007-02-03,2007-02-16
Flood,Rwanda,Sub-Saharan Africa,Africa,2007-09-12,2007-09-20
Earthquake,Rwanda,Sub-Saharan Africa,Africa,2008-02-03,2008-02-03
Flood,Rwanda,Sub-Saharan Africa,Africa,2008-10-01,2008-10-06
Mass_movement_wet,Rwanda,Sub-Saharan Africa,Africa,2010-03-26,2010-03-31
Mass_movement_wet,Rwanda,Sub-Saharan Africa,Africa,2010-05-16,2010-05-16
Flood,Rwanda,Sub-Saharan Africa,Africa,2011-04-25,2011-05-05
Flood,Rwanda,Sub-Saharan Africa,Africa,2012-04-09,2012-04-18
Flood,Rwanda,Sub-Saharan Africa,Africa,2015-04-03,2015-04-03
Flood,Rwanda,Sub-Saharan Africa,Africa,2016-01-13,2016-04-17
Mass_movement_wet,Rwanda,Sub-Saharan Africa,Africa,2016-05-07,2016-05-08
Storm,Rwanda,Sub-Saharan Africa,Africa,2017-04-01,2017-04-01
Storm,Rwanda,Sub-Saharan Africa,Africa,2017-09-17,2017-09-17
Flood,Rwanda,Sub-Saharan Africa,Africa,2018-03-03,2018-03-05
Flood,Rwanda,Sub-Saharan Africa,Africa,2018-04-23,2018-04-24
Mass_movement_wet,Rwanda,Sub-Saharan Africa,Africa,2018-05-06,2018-05-06
Flood,Rwanda,Sub-Saharan Africa,Africa,2018-04-01,2018-04-16
Flood,Rwanda,Sub-Saharan Africa,Africa,2019-11-15,2019-12-18
Flood,Rwanda,Sub-Saharan Africa,Africa,2019-12-25,2019-12-25
Flood,Rwanda,Sub-Saharan Africa,Africa,2020-02-02,2020-02-04
Flood,Rwanda,Sub-Saharan Africa,Africa,2020-03-02,2020-03-10
Flood,Rwanda,Sub-Saharan Africa,Africa,2020-05-01,2020-05-04
Flood,Rwanda,Sub-Saharan Africa,Africa,2020-04-17,2020-04-25
Flood,Rwanda,Sub-Saharan Africa,Africa,2020-04-17,2020-05-10
Flood,Rwanda,Sub-Saharan Africa,Africa,2021-04-28,2021-05-02
Volcanic_activity,Rwanda,Sub-Saharan Africa,Africa,2021-05-22,2021-05-23
Flood,Rwanda,Sub-Saharan Africa,Africa,2022-01-01,2022-01-27
Flood,Rwanda,Sub-Saharan Africa,Africa,2022-04-23,2022-04-24
Flood,Rwanda,Sub-Saharan Africa,Africa,2022-11-17,2022-11-18
Flood,Rwanda,Sub-Saharan Africa,Africa,2023-05-01,2023-05-03
Flood,Rwanda,Sub-Saharan Africa,Africa,2024-04-20,2024-05-02
Epidemic,Rwanda,Sub-Saharan Africa,Africa,2024-09-27,2024-10-10
