Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Saint Lucia,Latin America and the Caribbean,Americas,2004-09-08,2004-09-08
Storm,Saint Lucia,Latin America and the Caribbean,Americas,2007-08-17,2007-08-24
Earthquake,Saint Lucia,Latin America and the Caribbean,Americas,2007-11-29,2007-11-29
Flood,Saint Lucia,Latin America and the Caribbean,Americas,2010-10-06,2010-10-06
Storm,Saint Lucia,Latin America and the Caribbean,Americas,2010-10-30,2010-10-30
Flood,Saint Lucia,Latin America and the Caribbean,Americas,2013-12-23,2013-12-25
Storm,Saint Lucia,Latin America and the Caribbean,Americas,2016-09-28,2016-09-28
Epidemic,Saint Lucia,Latin America and the Caribbean,Americas,2020-08-26,2021-01-07
Storm,Saint Lucia,Latin America and the Caribbean,Americas,2021-07-03,2021-07-03
Flood,Saint Lucia,Latin America and the Caribbean,Americas,2022-11-06,2022-11-06
