Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,2002-09-24,2002-09-24
Storm,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,2004-09-08,2004-09-08
Storm,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,2005-07-14,2005-07-14
Storm,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,2010-10-29,2010-10-29
Flood,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,2011-04-11,2011-04-12
Flood,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,2013-12-23,2013-12-25
Storm,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,2016-09-28,2016-09-29
Flood,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,2016-11-29,2016-11-29
Epidemic,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,2020-10-15,2021-09-12
Volcanic_activity,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,2021-04-09,2021-04-30
Storm,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,2021-07-02,2021-07-03
Storm,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,2023-06-22,2023-06-23
Storm,Saint Vincent and the Grenadines,Latin America and the Caribbean,Americas,2024-07-01,2024-07-04
