Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Saudi Arabia,Western Asia,Asia,2000-03-05,2000-04-27
Epidemic,Saudi Arabia,Western Asia,Asia,2000-09-11,2000-10-17
Epidemic,Saudi Arabia,Western Asia,Asia,2001-02-09,2001-03-22
Flood,Saudi Arabia,Western Asia,Asia,2002-04-08,2002-04-13
Flood,Saudi Arabia,Western Asia,Asia,2003-08-08,2003-08-12
Flood,Saudi Arabia,Western Asia,Asia,2003-11-11,2003-11-11
Flood,Saudi Arabia,Western Asia,Asia,2004-04-14,2004-04-16
Flood,Saudi Arabia,Western Asia,Asia,2005-01-22,2005-01-27
Flood,Saudi Arabia,Western Asia,Asia,2005-04-28,2005-04-28
Flood,Saudi Arabia,Western Asia,Asia,2009-11-24,2009-11-26
Flood,Saudi Arabia,Western Asia,Asia,2010-07-23,2010-07-25
Flood,Saudi Arabia,Western Asia,Asia,2010-07-10,2010-07-12
Flood,Saudi Arabia,Western Asia,Asia,2011-01-25,2011-01-31
Flood,Saudi Arabia,Western Asia,Asia,2012-04-14,2012-04-18
Flood,Saudi Arabia,Western Asia,Asia,2013-05-02,2013-05-02
Flood,Saudi Arabia,Western Asia,Asia,2013-11-16,2013-11-19
Flood,Saudi Arabia,Western Asia,Asia,2015-03-23,2015-03-27
Flood,Saudi Arabia,Western Asia,Asia,2015-11-17,2015-11-18
Flood,Saudi Arabia,Western Asia,Asia,2016-04-08,2016-04-15
Flood,Saudi Arabia,Western Asia,Asia,2016-04-08,2016-04-10
Storm,Saudi Arabia,Western Asia,Asia,2016-11-28,2016-11-29
Flood,Saudi Arabia,Western Asia,Asia,2017-11-21,2017-11-22
Flood,Saudi Arabia,Western Asia,Asia,2019-01-27,2019-01-30
Flood,Saudi Arabia,Western Asia,Asia,2019-05-22,2019-05-27
Flood,Saudi Arabia,Western Asia,Asia,2019-10-28,2019-10-28
Flood,Saudi Arabia,Western Asia,Asia,2020-08-15,2020-08-09
Extreme_temperature,Saudi Arabia,Western Asia,Asia,2024-06-01,2024-06-20
