Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Senegal,Sub-Saharan Africa,Africa,2002-01-09,2002-01-12
Epidemic,Senegal,Sub-Saharan Africa,Africa,2002-01-07,2002-01-15
Epidemic,Senegal,Sub-Saharan Africa,Africa,2002-08-27,2002-11-28
Drought,Senegal,Sub-Saharan Africa,Africa,2002-08-01,2002-07-31
Flood,Senegal,Sub-Saharan Africa,Africa,2003-08-08,2003-08-10
Storm,Senegal,Sub-Saharan Africa,Africa,2004-05-25,2004-05-25
Infestation,Senegal,Sub-Saharan Africa,Africa,2004-07-01,2004-07-31
Epidemic,Senegal,Sub-Saharan Africa,Africa,2004-10-05,2005-03-15
Epidemic,Senegal,Sub-Saharan Africa,Africa,2005-01-01,2005-09-23
Flood,Senegal,Sub-Saharan Africa,Africa,2005-08-20,2005-09-10
Flood,Senegal,Sub-Saharan Africa,Africa,2007-08-09,2007-09-20
Epidemic,Senegal,Sub-Saharan Africa,Africa,2007-08-03,2007-10-30
Flood,Senegal,Sub-Saharan Africa,Africa,2008-08-15,2008-09-18
Flood,Senegal,Sub-Saharan Africa,Africa,2009-08-24,2009-08-25
Flood,Senegal,Sub-Saharan Africa,Africa,2010-08-12,2010-08-23
Flood,Senegal,Sub-Saharan Africa,Africa,2010-10-17,2010-10-18
Flood,Senegal,Sub-Saharan Africa,Africa,2011-08-01,2011-08-01
Drought,Senegal,Sub-Saharan Africa,Africa,2011-12-01,2013-07-31
Flood,Senegal,Sub-Saharan Africa,Africa,2012-08-15,2012-08-31
Flood,Senegal,Sub-Saharan Africa,Africa,2013-09-13,2013-09-13
Epidemic,Senegal,Sub-Saharan Africa,Africa,2014-03-08,2014-10-13
Drought,Senegal,Sub-Saharan Africa,Africa,2014-09-01,2015-04-30
Flood,Senegal,Sub-Saharan Africa,Africa,2016-07-14,2016-09-11
Drought,Senegal,Sub-Saharan Africa,Africa,2018-04-01,2021-12-26
Flood,Senegal,Sub-Saharan Africa,Africa,2019-09-10,2019-09-20
Flood,Senegal,Sub-Saharan Africa,Africa,2020-09-05,2020-09-06
Flood,Senegal,Sub-Saharan Africa,Africa,2022-08-05,2022-08-07
Flood,Senegal,Sub-Saharan Africa,Africa,2024-10-13,2024-10-22
