Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Serbia Montenegro,Southern Europe,Europe,2000-04-05,2000-04-25
Extreme_temperature,Serbia Montenegro,Southern Europe,Europe,2000-07-20,2000-07-22
Wildfire,Serbia Montenegro,Southern Europe,Europe,2000-08-18,2000-08-24
Flood,Serbia Montenegro,Southern Europe,Europe,2000-12-28,2000-12-30
Epidemic,Serbia Montenegro,Southern Europe,Europe,2001-11-01,2002-02-06
Earthquake,Serbia Montenegro,Southern Europe,Europe,2002-04-24,2002-04-24
Flood,Serbia Montenegro,Southern Europe,Europe,2002-06-11,2002-06-11
Storm,Serbia Montenegro,Southern Europe,Europe,2005-01-13,2005-03-18
Flood,Serbia Montenegro,Southern Europe,Europe,2005-04-20,2005-04-20
Extreme_temperature,Serbia Montenegro,Southern Europe,Europe,2006-01-20,2006-01-15
Flood,Serbia Montenegro,Southern Europe,Europe,2006-02-21,2006-03-02
Flood,Serbia Montenegro,Southern Europe,Europe,2006-04-04,2006-05-11
