Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Sierra Leone,Sub-Saharan Africa,Africa,2000-06-10,2000-06-16
Epidemic,Sierra Leone,Sub-Saharan Africa,Africa,2001-12-13,2001-12-13
Epidemic,Sierra Leone,Sub-Saharan Africa,Africa,2003-10-11,2003-10-15
Epidemic,Sierra Leone,Sub-Saharan Africa,Africa,2004-08-02,2004-08-30
Flood,Sierra Leone,Sub-Saharan Africa,Africa,2004-07-14,2004-07-17
Flood,Sierra Leone,Sub-Saharan Africa,Africa,2005-08-14,2005-08-16
Flood,Sierra Leone,Sub-Saharan Africa,Africa,2007-08-14,2007-08-18
Epidemic,Sierra Leone,Sub-Saharan Africa,Africa,2008-06-10,2008-06-16
Flood,Sierra Leone,Sub-Saharan Africa,Africa,2009-08-13,2009-08-20
Mass_movement_wet,Sierra Leone,Sub-Saharan Africa,Africa,2010-08-09,2010-08-09
Flood,Sierra Leone,Sub-Saharan Africa,Africa,2010-08-14,2010-08-18
Flood,Sierra Leone,Sub-Saharan Africa,Africa,2011-08-10,2011-08-11
Epidemic,Sierra Leone,Sub-Saharan Africa,Africa,2012-01-01,2013-01-08
Wildfire,Sierra Leone,Sub-Saharan Africa,Africa,2013-01-02,2013-01-28
Epidemic,Sierra Leone,Sub-Saharan Africa,Africa,2014-03-10,2015-08-15
Flood,Sierra Leone,Sub-Saharan Africa,Africa,2015-09-05,2015-09-06
Mass_movement_wet,Sierra Leone,Sub-Saharan Africa,Africa,2017-08-14,2017-08-14
Flood,Sierra Leone,Sub-Saharan Africa,Africa,2019-08-02,2019-08-03
Flood,Sierra Leone,Sub-Saharan Africa,Africa,2019-08-14,2019-08-18
Flood,Sierra Leone,Sub-Saharan Africa,Africa,2022-08-28,2022-09-18
Storm,Sierra Leone,Sub-Saharan Africa,Africa,2023-05-06,2023-05-10
Flood,Sierra Leone,Sub-Saharan Africa,Africa,2024-09-23,2024-10-08
