Disaster_Type,Country,Subregion,Region,Start Date,End Date
Wildfire,Slovakia,Eastern Europe,Europe,2000-10-09,2000-10-16
Flood,Slovakia,Eastern Europe,Europe,2001-07-24,2001-07-31
Flood,Slovakia,Eastern Europe,Europe,2002-08-16,2002-08-18
Extreme_temperature,Slovakia,Eastern Europe,Europe,2003-07-19,2003-08-17
Flood,Slovakia,Eastern Europe,Europe,2004-07-27,2004-08-02
Storm,Slovakia,Eastern Europe,Europe,2004-11-19,2004-11-19
Flood,Slovakia,Eastern Europe,Europe,2005-03-17,2005-03-25
Extreme_temperature,Slovakia,Eastern Europe,Europe,2005-12-27,2005-12-30
Flood,Slovakia,Eastern Europe,Europe,2006-03-28,2006-05-09
Flood,Slovakia,Eastern Europe,Europe,2006-06-04,2006-06-06
Extreme_temperature,Slovakia,Eastern Europe,Europe,2007-07-15,2007-07-22
Flood,Slovakia,Eastern Europe,Europe,2010-05-15,2010-05-26
Flood,Slovakia,Eastern Europe,Europe,2010-06-01,2010-06-02
Extreme_temperature,Slovakia,Eastern Europe,Europe,2010-11-20,2011-02-28
Extreme_temperature,Slovakia,Eastern Europe,Europe,2012-01-14,2012-01-20
Flood,Slovakia,Eastern Europe,Europe,2013-06-03,2013-06-05
Storm,Slovakia,Eastern Europe,Europe,2017-08-10,2017-08-11
Storm,Slovakia,Eastern Europe,Europe,2019-08-22,2019-08-22
Flood,Slovakia,Eastern Europe,Europe,2020-10-13,2020-10-16
Flood,Slovakia,Eastern Europe,Europe,2021-05-16,2021-05-17
Extreme_temperature,Slovakia,Eastern Europe,Europe,2022-05-30,2022-09-04
Extreme_temperature,Slovakia,Eastern Europe,Europe,2023-07-19,2023-08-17
Storm,Slovakia,Eastern Europe,Europe,2023-07-18,2023-07-19
Storm,Slovakia,Eastern Europe,Europe,2024-09-15,2024-09-16
