Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Solomon Islands,Melanesia,Oceania,2002-12-28,2002-12-29
Storm,Solomon Islands,Melanesia,Oceania,2003-01-26,2003-01-28
Storm,Solomon Islands,Melanesia,Oceania,2003-06-05,2003-06-05
Earthquake,Solomon Islands,Melanesia,Oceania,2007-04-01,2007-04-01
Flood,Solomon Islands,Melanesia,Oceania,2009-01-29,2009-02-06
Earthquake,Solomon Islands,Melanesia,Oceania,2010-01-03,2010-01-03
Flood,Solomon Islands,Melanesia,Oceania,2010-01-21,2010-02-09
Storm,Solomon Islands,Melanesia,Oceania,2010-03-15,2010-03-15
Storm,Solomon Islands,Melanesia,Oceania,2011-02-02,2011-02-02
Flood,Solomon Islands,Melanesia,Oceania,2012-02-01,2012-06-03
Earthquake,Solomon Islands,Melanesia,Oceania,2013-02-06,2013-02-06
Flood,Solomon Islands,Melanesia,Oceania,2013-08-29,2013-09-02
Epidemic,Solomon Islands,Melanesia,Oceania,2013-01-04,2013-04-18
Flood,Solomon Islands,Melanesia,Oceania,2014-04-01,2014-04-08
Storm,Solomon Islands,Melanesia,Oceania,2015-03-06,2015-03-06
Storm,Solomon Islands,Melanesia,Oceania,2015-07-05,2015-07-06
Drought,Solomon Islands,Melanesia,Oceania,2015-05-01,2015-12-23
Epidemic,Solomon Islands,Melanesia,Oceania,2016-10-08,2016-11-18
Earthquake,Solomon Islands,Melanesia,Oceania,2016-12-08,2016-12-08
Storm,Solomon Islands,Melanesia,Oceania,2018-12-29,2018-12-29
Storm,Solomon Islands,Melanesia,Oceania,2020-04-02,2020-04-03
Storm,Solomon Islands,Melanesia,Oceania,2023-10-24,2023-10-25
