Disaster_Type,Country,Subregion,Region,Start Date,End Date
Drought,Somalia,Sub-Saharan Africa,Africa,2000-01-01,2001-07-31
Epidemic,Somalia,Sub-Saharan Africa,Africa,2000-01-01,2000-04-21
Epidemic,Somalia,Sub-Saharan Africa,Africa,2000-02-13,2000-02-15
Epidemic,Somalia,Sub-Saharan Africa,Africa,2000-04-10,2000-04-16
Flood,Somalia,Sub-Saharan Africa,Africa,2000-05-01,2000-05-01
Flood,Somalia,Sub-Saharan Africa,Africa,2000-07-10,2000-07-10
Epidemic,Somalia,Sub-Saharan Africa,Africa,2000-10-14,2000-11-15
Flood,Somalia,Sub-Saharan Africa,Africa,2000-11-20,2000-11-20
Flood,Somalia,Sub-Saharan Africa,Africa,2001-11-01,2001-11-14
Epidemic,Somalia,Sub-Saharan Africa,Africa,2001-10-13,2002-01-28
Epidemic,Somalia,Sub-Saharan Africa,Africa,2002-02-20,2002-02-20
Epidemic,Somalia,Sub-Saharan Africa,Africa,2002-04-12,2002-04-12
Flood,Somalia,Sub-Saharan Africa,Africa,2003-05-04,2003-05-20
Flood,Somalia,Sub-Saharan Africa,Africa,2003-08-18,2003-08-20
Flood,Somalia,Sub-Saharan Africa,Africa,2004-09-28,2004-09-30
Earthquake,Somalia,Sub-Saharan Africa,Africa,2004-12-26,2004-12-26
Drought,Somalia,Sub-Saharan Africa,Africa,2004-01-01,2004-01-31
Flood,Somalia,Sub-Saharan Africa,Africa,2005-04-23,2005-06-14
Flood,Somalia,Sub-Saharan Africa,Africa,2005-06-04,2005-06-05
Epidemic,Somalia,Sub-Saharan Africa,Africa,2005-10-23,2005-11-14
Epidemic,Somalia,Sub-Saharan Africa,Africa,2005-07-12,2006-03-24
Epidemic,Somalia,Sub-Saharan Africa,Africa,2006-05-10,2006-05-15
Epidemic,Somalia,Sub-Saharan Africa,Africa,2006-06-10,2006-06-16
Flood,Somalia,Sub-Saharan Africa,Africa,2006-08-04,2006-08-09
Flood,Somalia,Sub-Saharan Africa,Africa,2006-08-24,2006-10-10
Flood,Somalia,Sub-Saharan Africa,Africa,2006-10-26,2006-12-01
Flood,Somalia,Sub-Saharan Africa,Africa,2006-10-23,2006-12-19
Epidemic,Somalia,Sub-Saharan Africa,Africa,2006-12-12,2006-12-14
Epidemic,Somalia,Sub-Saharan Africa,Africa,2006-09-11,2006-11-15
Epidemic,Somalia,Sub-Saharan Africa,Africa,2006-12-19,2007-02-20
Flood,Somalia,Sub-Saharan Africa,Africa,2007-09-01,2007-10-04
Epidemic,Somalia,Sub-Saharan Africa,Africa,2007-07-10,2007-09-15
Flood,Somalia,Sub-Saharan Africa,Africa,2007-11-03,2007-11-04
Epidemic,Somalia,Sub-Saharan Africa,Africa,2008-02-13,2008-02-15
Flood,Somalia,Sub-Saharan Africa,Africa,2008-11-03,2008-11-04
Flood,Somalia,Sub-Saharan Africa,Africa,2009-10-23,2009-10-30
Flood,Somalia,Sub-Saharan Africa,Africa,2010-03-01,2010-03-11
Flood,Somalia,Sub-Saharan Africa,Africa,2010-04-24,2010-04-24
Drought,Somalia,Sub-Saharan Africa,Africa,2010-02-01,2011-11-30
Flood,Somalia,Sub-Saharan Africa,Africa,2011-11-04,2011-11-04
Flood,Somalia,Sub-Saharan Africa,Africa,2012-11-21,2012-11-21
Flood,Somalia,Sub-Saharan Africa,Africa,2012-09-27,2012-09-28
Flood,Somalia,Sub-Saharan Africa,Africa,2013-05-01,2013-05-16
Storm,Somalia,Sub-Saharan Africa,Africa,2013-11-08,2013-11-19
Flood,Somalia,Sub-Saharan Africa,Africa,2013-08-14,2013-11-18
Flood,Somalia,Sub-Saharan Africa,Africa,2014-10-24,2014-11-16
Drought,Somalia,Sub-Saharan Africa,Africa,2014-07-01,2017-07-31
Flood,Somalia,Sub-Saharan Africa,Africa,2015-10-27,2015-10-27
Storm,Somalia,Sub-Saharan Africa,Africa,2015-11-02,2015-11-02
Storm,Somalia,Sub-Saharan Africa,Africa,2015-11-08,2015-11-08
Flood,Somalia,Sub-Saharan Africa,Africa,2015-03-13,2015-04-17
Drought,Somalia,Sub-Saharan Africa,Africa,2015-08-01,2017-05-31
Flood,Somalia,Sub-Saharan Africa,Africa,2016-04-06,2016-04-11
Epidemic,Somalia,Sub-Saharan Africa,Africa,2016-01-11,2016-11-16
Epidemic,Somalia,Sub-Saharan Africa,Africa,2017-01-10,2017-04-16
Flood,Somalia,Sub-Saharan Africa,Africa,2018-04-01,2018-05-31
Storm,Somalia,Sub-Saharan Africa,Africa,2018-05-21,2018-05-21
Flood,Somalia,Sub-Saharan Africa,Africa,2019-10-14,2019-10-18
Storm,Somalia,Sub-Saharan Africa,Africa,2019-12-07,2019-12-10
Infestation,Somalia,Sub-Saharan Africa,Africa,2019-11-01,2020-02-28
Drought,Somalia,Sub-Saharan Africa,Africa,2019-02-01,2019-10-30
Flood,Somalia,Sub-Saharan Africa,Africa,2020-04-20,2020-04-28
Flood,Somalia,Sub-Saharan Africa,Africa,2020-06-15,2020-07-20
Storm,Somalia,Sub-Saharan Africa,Africa,2020-11-22,2020-11-23
Drought,Somalia,Sub-Saharan Africa,Africa,2021-03-01,2022-12-30
Flood,Somalia,Sub-Saharan Africa,Africa,2021-05-01,2021-05-31
Flood,Somalia,Sub-Saharan Africa,Africa,2022-05-12,2022-05-30
Flood,Somalia,Sub-Saharan Africa,Africa,2023-03-12,2023-03-24
Epidemic,Somalia,Sub-Saharan Africa,Africa,2023-01-01,2023-04-04
