Disaster_Type,Country,Subregion,Region,Start Date,End Date
Wildfire,South Africa,Sub-Saharan Africa,Africa,2000-01-15,2000-01-19
Flood,South Africa,Sub-Saharan Africa,Africa,2000-01-26,2000-03-27
Epidemic,South Africa,Sub-Saharan Africa,Africa,2000-08-19,2001-04-16
Flood,South Africa,Sub-Saharan Africa,Africa,2000-11-19,2000-11-23
Storm,South Africa,Sub-Saharan Africa,Africa,2000-02-02,2000-02-02
Storm,South Africa,Sub-Saharan Africa,Africa,2001-01-30,2001-01-30
Flood,South Africa,Sub-Saharan Africa,Africa,2001-07-03,2001-07-03
Wildfire,South Africa,Sub-Saharan Africa,Africa,2001-09-04,2001-09-04
Wildfire,South Africa,Sub-Saharan Africa,Africa,2001-09-06,2001-09-06
Storm,South Africa,Sub-Saharan Africa,Africa,2001-09-14,2001-09-14
Flood,South Africa,Sub-Saharan Africa,Africa,2001-12-19,2001-12-22
Storm,South Africa,Sub-Saharan Africa,Africa,2002-01-08,2002-01-08
Epidemic,South Africa,Sub-Saharan Africa,Africa,2002-02-14,2002-02-14
Epidemic,South Africa,Sub-Saharan Africa,Africa,2002-03-07,2002-03-07
Epidemic,South Africa,Sub-Saharan Africa,Africa,2002-01-01,2002-01-01
Storm,South Africa,Sub-Saharan Africa,Africa,2002-04-11,2002-04-11
Wildfire,South Africa,Sub-Saharan Africa,Africa,2002-07-12,2002-07-12
Storm,South Africa,Sub-Saharan Africa,Africa,2002-07-15,2002-07-21
Flood,South Africa,Sub-Saharan Africa,Africa,2002-08-16,2002-08-18
Storm,South Africa,Sub-Saharan Africa,Africa,2002-09-09,2002-09-10
Flood,South Africa,Sub-Saharan Africa,Africa,2003-03-23,2003-03-26
Storm,South Africa,Sub-Saharan Africa,Africa,2003-08-18,2003-08-21
Epidemic,South Africa,Sub-Saharan Africa,Africa,2004-01-01,2004-03-17
Flood,South Africa,Sub-Saharan Africa,Africa,2004-08-07,2004-08-09
Drought,South Africa,Sub-Saharan Africa,Africa,2004-01-01,2004-07-31
Earthquake,South Africa,Sub-Saharan Africa,Africa,2005-03-09,2005-03-09
Flood,South Africa,Sub-Saharan Africa,Africa,2006-03-26,2006-03-30
Flood,South Africa,Sub-Saharan Africa,Africa,2006-08-02,2006-08-04
Extreme_temperature,South Africa,Sub-Saharan Africa,Africa,2007-05-21,2007-05-27
Flood,South Africa,Sub-Saharan Africa,Africa,2007-07-27,2007-08-02
Wildfire,South Africa,Sub-Saharan Africa,Africa,2007-07-27,2007-07-30
Flood,South Africa,Sub-Saharan Africa,Africa,2008-06-19,2008-06-19
Epidemic,South Africa,Sub-Saharan Africa,Africa,2008-11-15,2009-05-31
Storm,South Africa,Sub-Saharan Africa,Africa,2008-11-14,2008-11-14
Wildfire,South Africa,Sub-Saharan Africa,Africa,2008-08-30,2008-09-03
Storm,South Africa,Sub-Saharan Africa,Africa,2009-01-03,2009-01-04
Flood,South Africa,Sub-Saharan Africa,Africa,2009-02-28,2009-03-03
Flood,South Africa,Sub-Saharan Africa,Africa,2009-07-12,2009-07-16
Storm,South Africa,Sub-Saharan Africa,Africa,2009-11-19,2009-11-19
Storm,South Africa,Sub-Saharan Africa,Africa,2010-12-15,2011-01-12
Flood,South Africa,Sub-Saharan Africa,Africa,2011-01-01,2011-02-04
Storm,South Africa,Sub-Saharan Africa,Africa,2011-10-02,2011-10-03
Storm,South Africa,Sub-Saharan Africa,Africa,2011-12-31,2011-12-31
Storm,South Africa,Sub-Saharan Africa,Africa,2012-01-18,2012-01-16
Flood,South Africa,Sub-Saharan Africa,Africa,2012-10-24,2012-10-29
Storm,South Africa,Sub-Saharan Africa,Africa,2013-06-01,2013-06-01
Flood,South Africa,Sub-Saharan Africa,Africa,2014-03-01,2014-03-18
Earthquake,South Africa,Sub-Saharan Africa,Africa,2014-08-05,2014-08-05
Drought,South Africa,Sub-Saharan Africa,Africa,2015-01-01,2017-05-31
Extreme_temperature,South Africa,Sub-Saharan Africa,Africa,2016-01-01,2016-01-10
Flood,South Africa,Sub-Saharan Africa,Africa,2016-07-25,2016-08-03
Flood,South Africa,Sub-Saharan Africa,Africa,2016-11-09,2016-11-09
Storm,South Africa,Sub-Saharan Africa,Africa,2017-06-07,2017-06-08
Flood,South Africa,Sub-Saharan Africa,Africa,2017-05-14,2017-05-19
Storm,South Africa,Sub-Saharan Africa,Africa,2017-10-09,2017-10-10
Wildfire,South Africa,Sub-Saharan Africa,Africa,2017-06-07,2017-06-13
Drought,South Africa,Sub-Saharan Africa,Africa,2017-05-01,2018-06-23
Flood,South Africa,Sub-Saharan Africa,Africa,2019-03-08,2019-03-12
Flood,South Africa,Sub-Saharan Africa,Africa,2019-04-21,2019-04-25
Flood,South Africa,Sub-Saharan Africa,Africa,2019-05-02,2019-05-02
Storm,South Africa,Sub-Saharan Africa,Africa,2019-11-11,2019-11-12
Flood,South Africa,Sub-Saharan Africa,Africa,2019-12-02,2019-12-11
Drought,South Africa,Sub-Saharan Africa,Africa,2019-01-01,2019-12-31
Flood,South Africa,Sub-Saharan Africa,Africa,2020-02-07,2020-02-10
