Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,South Sudan,Sub-Saharan Africa,Africa,2008-08-14,2008-08-18
Flood,South Sudan,Sub-Saharan Africa,Africa,2008-10-03,2008-10-06
Flood,South Sudan,Sub-Saharan Africa,Africa,2008-11-24,2008-11-24
Flood,South Sudan,Sub-Saharan Africa,Africa,2010-07-01,2010-10-07
Flood,South Sudan,Sub-Saharan Africa,Africa,2010-08-14,2010-08-18
Flood,South Sudan,Sub-Saharan Africa,Africa,2012-09-07,2012-10-03
Flood,South Sudan,Sub-Saharan Africa,Africa,2012-08-01,2012-08-29
Epidemic,South Sudan,Sub-Saharan Africa,Africa,2013-10-14,2013-10-15
Flood,South Sudan,Sub-Saharan Africa,Africa,2013-10-23,2013-10-23
Flood,South Sudan,Sub-Saharan Africa,Africa,2013-08-14,2013-09-18
Epidemic,South Sudan,Sub-Saharan Africa,Africa,2014-04-29,2014-06-03
Epidemic,South Sudan,Sub-Saharan Africa,Africa,2014-04-23,2014-08-17
Epidemic,South Sudan,Sub-Saharan Africa,Africa,2015-05-28,2015-09-05
Epidemic,South Sudan,Sub-Saharan Africa,Africa,2016-01-09,2017-01-20
Flood,South Sudan,Sub-Saharan Africa,Africa,2016-07-01,2016-08-31
Epidemic,South Sudan,Sub-Saharan Africa,Africa,2016-08-15,2016-08-15
Drought,South Sudan,Sub-Saharan Africa,Africa,2016-02-01,2016-11-30
Epidemic,South Sudan,Sub-Saharan Africa,Africa,2019-01-10,2019-05-16
Wildfire,South Sudan,Sub-Saharan Africa,Africa,2019-05-08,2019-05-08
Flood,South Sudan,Sub-Saharan Africa,Africa,2019-06-05,2019-06-07
Flood,South Sudan,Sub-Saharan Africa,Africa,2019-10-01,2019-10-18
Flood,South Sudan,Sub-Saharan Africa,Africa,2020-07-15,2020-12-17
Flood,South Sudan,Sub-Saharan Africa,Africa,2021-05-14,2021-10-07
Drought,South Sudan,Sub-Saharan Africa,Africa,2021-05-01,2022-11-23
Flood,South Sudan,Sub-Saharan Africa,Africa,2022-08-14,2022-10-29
Epidemic,South Sudan,Sub-Saharan Africa,Africa,2023-02-22,2023-03-10
Flood,South Sudan,Sub-Saharan Africa,Africa,2024-08-14,2024-10-18
