Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Spain,Southern Europe,Europe,2000-06-10,2000-06-10
Flood,Spain,Southern Europe,Europe,2000-10-20,2000-10-26
Storm,Spain,Southern Europe,Europe,2000-12-05,2000-12-05
Storm,Spain,Southern Europe,Europe,2000-12-29,2000-12-29
Epidemic,Spain,Southern Europe,Europe,2001-07-01,2001-07-18
Storm,Spain,Southern Europe,Europe,2001-11-10,2001-11-10
Flood,Spain,Southern Europe,Europe,2002-03-31,2002-04-01
Wildfire,Spain,Southern Europe,Europe,2003-01-18,2003-08-18
Extreme_temperature,Spain,Southern Europe,Europe,2003-08-01,2003-08-11
Flood,Spain,Southern Europe,Europe,2004-03-27,2004-03-28
Extreme_temperature,Spain,Southern Europe,Europe,2004-07-26,2004-07-30
Wildfire,Spain,Southern Europe,Europe,2004-07-28,2004-08-04
Wildfire,Spain,Southern Europe,Europe,2005-07-18,2005-07-18
Extreme_temperature,Spain,Southern Europe,Europe,2005-12-27,2006-01-30
Extreme_temperature,Spain,Southern Europe,Europe,2006-07-15,2006-08-04
Wildfire,Spain,Southern Europe,Europe,2006-08-04,2006-08-15
Flood,Spain,Southern Europe,Europe,2006-10-22,2006-11-08
Storm,Spain,Southern Europe,Europe,2007-01-23,2007-01-26
Flood,Spain,Southern Europe,Europe,2007-04-03,2007-04-05
Flood,Spain,Southern Europe,Europe,2007-05-23,2007-05-26
Flood,Spain,Southern Europe,Europe,2007-10-12,2007-10-18
Storm,Spain,Southern Europe,Europe,2009-01-23,2009-01-24
Wildfire,Spain,Southern Europe,Europe,2009-07-20,2009-07-24
Storm,Spain,Southern Europe,Europe,2010-02-27,2010-02-28
Flood,Spain,Southern Europe,Europe,2010-12-06,2010-12-10
Earthquake,Spain,Southern Europe,Europe,2011-05-11,2011-05-11
Flood,Spain,Southern Europe,Europe,2011-11-07,2011-11-07
Wildfire,Spain,Southern Europe,Europe,2012-07-22,2012-07-27
Flood,Spain,Southern Europe,Europe,2012-09-28,2012-09-29
Flood,Spain,Southern Europe,Europe,2013-06-18,2013-06-19
Storm,Spain,Southern Europe,Europe,2013-12-24,2013-12-25
Storm,Spain,Southern Europe,Europe,2014-01-07,2014-01-07
Flood,Spain,Southern Europe,Europe,2015-09-07,2015-09-07
Flood,Spain,Southern Europe,Europe,2015-11-01,2015-11-03
Flood,Spain,Southern Europe,Europe,2016-12-17,2016-12-19
Wildfire,Spain,Southern Europe,Europe,2017-06-24,2017-06-28
Wildfire,Spain,Southern Europe,Europe,2017-10-17,2017-10-17
Storm,Spain,Southern Europe,Europe,2018-01-03,2018-01-04
Extreme_temperature,Spain,Southern Europe,Europe,2018-08-18,2018-08-25
Wildfire,Spain,Southern Europe,Europe,2018-08-06,2018-08-09
Flood,Spain,Southern Europe,Europe,2018-10-09,2018-10-11
Flood,Spain,Southern Europe,Europe,2019-01-22,2019-01-25
Storm,Spain,Southern Europe,Europe,2019-04-18,2019-04-22
Extreme_temperature,Spain,Southern Europe,Europe,2019-06-26,2019-06-30
Flood,Spain,Southern Europe,Europe,2019-07-08,2019-07-08
Flood,Spain,Southern Europe,Europe,2019-09-11,2019-09-16
Flood,Spain,Southern Europe,Europe,2019-10-22,2019-10-23
Storm,Spain,Southern Europe,Europe,2019-10-28,2019-11-03
Storm,Spain,Southern Europe,Europe,2019-12-19,2019-12-22
Storm,Spain,Southern Europe,Europe,2020-01-19,2020-01-21
Storm,Spain,Southern Europe,Europe,2021-01-08,2021-01-12
Flood,Spain,Southern Europe,Europe,2021-08-29,2021-09-02
Flood,Spain,Southern Europe,Europe,2021-11-22,2021-12-01
Wildfire,Spain,Southern Europe,Europe,2022-06-18,2022-07-18
Extreme_temperature,Spain,Southern Europe,Europe,2022-05-30,2022-09-04
Extreme_temperature,Spain,Southern Europe,Europe,2023-07-18,2023-08-22
Flood,Spain,Southern Europe,Europe,2023-09-02,2023-09-04
Storm,Spain,Southern Europe,Europe,2023-11-02,2023-11-03
Storm,Spain,Southern Europe,Europe,2023-11-04,2023-11-07
Wildfire,Spain,Southern Europe,Europe,2023-11-02,2023-11-03
Drought,Spain,Southern Europe,Europe,2023-01-01,2024-02-21
Storm,Spain,Southern Europe,Europe,2024-03-09,2024-03-10
Flood,Spain,Southern Europe,Europe,2024-10-27,2024-11-04
