Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Sri Lanka,Southern Asia,Asia,2000-09-18,2000-09-22
Epidemic,Sri Lanka,Southern Asia,Asia,2000-09-25,2000-09-25
Flood,Sri Lanka,Southern Asia,Asia,2000-11-18,2000-11-22
Storm,Sri Lanka,Southern Asia,Asia,2000-12-24,2000-12-28
Flood,Sri Lanka,Southern Asia,Asia,2001-02-08,2001-02-15
Drought,Sri Lanka,Southern Asia,Asia,2001-09-01,2002-05-31
Flood,Sri Lanka,Southern Asia,Asia,2002-12-16,2002-12-20
Flood,Sri Lanka,Southern Asia,Asia,2003-05-17,2003-05-26
Epidemic,Sri Lanka,Southern Asia,Asia,2004-07-28,2004-07-28
Flood,Sri Lanka,Southern Asia,Asia,2004-12-11,2004-12-23
Earthquake,Sri Lanka,Southern Asia,Asia,2004-12-26,2004-12-26
Flood,Sri Lanka,Southern Asia,Asia,2005-11-21,2005-11-23
Flood,Sri Lanka,Southern Asia,Asia,2006-10-26,2006-11-20
Flood,Sri Lanka,Southern Asia,Asia,2007-01-12,2007-01-14
Flood,Sri Lanka,Southern Asia,Asia,2007-05-02,2007-05-07
Flood,Sri Lanka,Southern Asia,Asia,2007-12-16,2008-01-01
Flood,Sri Lanka,Southern Asia,Asia,2008-03-12,2008-03-14
Storm,Sri Lanka,Southern Asia,Asia,2008-04-27,2008-05-03
Flood,Sri Lanka,Southern Asia,Asia,2008-05-29,2008-06-05
Flood,Sri Lanka,Southern Asia,Asia,2008-11-22,2008-12-04
Epidemic,Sri Lanka,Southern Asia,Asia,2009-01-12,2009-11-18
Flood,Sri Lanka,Southern Asia,Asia,2009-08-15,2009-08-16
Flood,Sri Lanka,Southern Asia,Asia,2009-11-21,2009-11-22
Flood,Sri Lanka,Southern Asia,Asia,2009-12-14,2009-12-16
Flood,Sri Lanka,Southern Asia,Asia,2010-05-14,2010-05-20
Flood,Sri Lanka,Southern Asia,Asia,2010-11-10,2010-12-11
Flood,Sri Lanka,Southern Asia,Asia,2011-01-05,2011-01-18
Flood,Sri Lanka,Southern Asia,Asia,2011-02-01,2011-02-10
Storm,Sri Lanka,Southern Asia,Asia,2011-11-24,2011-11-27
Epidemic,Sri Lanka,Southern Asia,Asia,2011-01-12,2011-12-02
Flood,Sri Lanka,Southern Asia,Asia,2011-05-29,2011-05-29
Storm,Sri Lanka,Southern Asia,Asia,2012-10-29,2012-10-31
Flood,Sri Lanka,Southern Asia,Asia,2012-12-17,2012-12-19
Drought,Sri Lanka,Southern Asia,Asia,2012-01-01,2012-11-30
Flood,Sri Lanka,Southern Asia,Asia,2013-01-08,2013-01-16
Storm,Sri Lanka,Southern Asia,Asia,2013-05-13,2013-05-16
Flood,Sri Lanka,Southern Asia,Asia,2013-06-08,2013-06-08
Flood,Sri Lanka,Southern Asia,Asia,2014-06-04,2014-06-10
Mass_movement_wet,Sri Lanka,Southern Asia,Asia,2014-10-02,2014-10-02
Mass_movement_wet,Sri Lanka,Southern Asia,Asia,2014-10-28,2014-10-29
Flood,Sri Lanka,Southern Asia,Asia,2014-12-01,2015-01-05
Flood,Sri Lanka,Southern Asia,Asia,2014-02-06,2014-02-06
Mass_movement_wet,Sri Lanka,Southern Asia,Asia,2014-10-29,2014-10-29
Drought,Sri Lanka,Southern Asia,Asia,2014-01-07,2014-08-30
Flood,Sri Lanka,Southern Asia,Asia,2015-11-15,2015-12-04
Flood,Sri Lanka,Southern Asia,Asia,2015-09-15,2015-10-05
Flood,Sri Lanka,Southern Asia,Asia,2016-05-14,2016-05-15
Drought,Sri Lanka,Southern Asia,Asia,2016-10-01,2017-05-31
Flood,Sri Lanka,Southern Asia,Asia,2017-05-25,2017-05-31
Epidemic,Sri Lanka,Southern Asia,Asia,2017-01-01,2017-10-09
Flood,Sri Lanka,Southern Asia,Asia,2017-11-03,2017-11-13
Storm,Sri Lanka,Southern Asia,Asia,2017-11-29,2017-12-01
Flood,Sri Lanka,Southern Asia,Asia,2018-05-19,2018-05-26
Flood,Sri Lanka,Southern Asia,Asia,2018-10-06,2018-10-12
Flood,Sri Lanka,Southern Asia,Asia,2018-12-22,2018-12-25
Epidemic,Sri Lanka,Southern Asia,Asia,2019-01-03,2019-05-16
Flood,Sri Lanka,Southern Asia,Asia,2019-09-23,2019-09-27
Flood,Sri Lanka,Southern Asia,Asia,2019-10-24,2019-10-24
Flood,Sri Lanka,Southern Asia,Asia,2019-11-29,2019-12-10
Flood,Sri Lanka,Southern Asia,Asia,2019-12-18,2019-12-23
Flood,Sri Lanka,Southern Asia,Asia,2019-12-02,2019-12-07
Drought,Sri Lanka,Southern Asia,Asia,2019-08-01,2020-03-31
