Disaster_Type,Country,Subregion,Region,Start Date,End Date
Drought,Sudan,Northern Africa,Africa,2000-01-01,2001-07-31
Epidemic,Sudan,Northern Africa,Africa,2000-01-01,2000-03-31
Flood,Sudan,Northern Africa,Africa,2001-08-06,2001-09-13
Epidemic,Sudan,Northern Africa,Africa,2002-02-05,2002-02-05
Flood,Sudan,Northern Africa,Africa,2002-08-03,2002-08-03
Storm,Sudan,Northern Africa,Africa,2002-09-27,2002-09-27
Epidemic,Sudan,Northern Africa,Africa,2002-10-01,2002-10-01
Epidemic,Sudan,Northern Africa,Africa,2003-05-11,2003-05-15
Flood,Sudan,Northern Africa,Africa,2003-07-28,2003-08-21
Epidemic,Sudan,Northern Africa,Africa,2004-05-15,2004-06-30
Infestation,Sudan,Northern Africa,Africa,2004-07-01,2004-07-31
Epidemic,Sudan,Northern Africa,Africa,2004-05-22,2004-09-17
Epidemic,Sudan,Northern Africa,Africa,2005-01-22,2005-02-02
Flood,Sudan,Northern Africa,Africa,2005-08-29,2005-09-06
Epidemic,Sudan,Northern Africa,Africa,2005-09-13,2005-12-17
Flood,Sudan,Northern Africa,Africa,2005-07-14,2005-07-15
Epidemic,Sudan,Northern Africa,Africa,2005-12-03,2006-05-03
Epidemic,Sudan,Northern Africa,Africa,2006-01-01,2006-02-03
Epidemic,Sudan,Northern Africa,Africa,2006-01-28,2006-09-24
Epidemic,Sudan,Northern Africa,Africa,2006-04-21,2006-10-06
Flood,Sudan,Northern Africa,Africa,2006-08-12,2006-09-18
Flood,Sudan,Northern Africa,Africa,2006-08-13,2006-09-26
Flood,Sudan,Northern Africa,Africa,2006-08-07,2006-08-07
Epidemic,Sudan,Northern Africa,Africa,2006-09-01,2006-11-18
Epidemic,Sudan,Northern Africa,Africa,2006-12-02,2007-03-25
Flood,Sudan,Northern Africa,Africa,2007-07-03,2007-10-08
Epidemic,Sudan,Northern Africa,Africa,2007-08-04,2007-08-14
Epidemic,Sudan,Northern Africa,Africa,2007-01-01,2007-03-11
Epidemic,Sudan,Northern Africa,Africa,2007-10-18,2007-11-14
Epidemic,Sudan,Northern Africa,Africa,2008-07-11,2008-10-14
Epidemic,Sudan,Northern Africa,Africa,2008-09-29,2008-10-05
Flood,Sudan,Northern Africa,Africa,2009-08-16,2009-08-26
Flood,Sudan,Northern Africa,Africa,2010-07-10,2010-07-15
Flood,Sudan,Northern Africa,Africa,2010-07-01,2010-10-07
Storm,Sudan,Northern Africa,Africa,2011-08-03,2011-08-03
Flood,Sudan,Northern Africa,Africa,2012-08-01,2012-08-12
Epidemic,Sudan,Northern Africa,Africa,2012-09-02,2013-01-09
Flood,Sudan,Northern Africa,Africa,2013-08-01,2013-08-21
Flood,Sudan,Northern Africa,Africa,2014-07-25,2014-09-16
Flood,Sudan,Northern Africa,Africa,2015-08-08,2015-08-09
Extreme_temperature,Sudan,Northern Africa,Africa,2015-08-13,2015-08-15
Drought,Sudan,Northern Africa,Africa,2015-08-07,2015-08-31
Flood,Sudan,Northern Africa,Africa,2016-06-12,2016-09-08
Epidemic,Sudan,Northern Africa,Africa,2016-09-19,2016-09-19
Epidemic,Sudan,Northern Africa,Africa,2017-09-18,2017-09-18
Flood,Sudan,Northern Africa,Africa,2017-06-30,2017-08-14
Flood,Sudan,Northern Africa,Africa,2018-06-18,2018-06-27
Flood,Sudan,Northern Africa,Africa,2018-07-23,2018-07-30
Flood,Sudan,Northern Africa,Africa,2018-08-01,2018-09-04
Flood,Sudan,Northern Africa,Africa,2019-06-08,2019-06-18
Flood,Sudan,Northern Africa,Africa,2019-07-12,2019-09-06
Epidemic,Sudan,Northern Africa,Africa,2019-08-29,2019-12-05
Infestation,Sudan,Northern Africa,Africa,2020-02-01,2020-02-28
Epidemic,Sudan,Northern Africa,Africa,2019-07-13,2019-12-14
Flood,Sudan,Northern Africa,Africa,2020-06-10,2020-09-09
Epidemic,Sudan,Northern Africa,Africa,2020-07-13,2020-12-14
Storm,Sudan,Northern Africa,Africa,2021-06-15,2021-06-25
Flood,Sudan,Northern Africa,Africa,2021-07-20,2021-09-24
Epidemic,Sudan,Northern Africa,Africa,2021-07-13,2021-12-14
Flood,Sudan,Northern Africa,Africa,2022-05-10,2022-09-30
Drought,Sudan,Northern Africa,Africa,2022-05-01,2022-11-23
Flood,Sudan,Northern Africa,Africa,2024-06-01,2024-08-27
