Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Syrian Arab Republic,Western Asia,Asia,2001-02-21,2001-02-21
Mass_movement_wet,Syrian Arab Republic,Western Asia,Asia,2002-10-02,2002-10-02
Storm,Syrian Arab Republic,Western Asia,Asia,2004-02-22,2004-02-22
Flood,Syrian Arab Republic,Western Asia,Asia,2006-10-29,2006-10-29
Storm,Syrian Arab Republic,Western Asia,Asia,2015-01-07,2015-01-11
Storm,Syrian Arab Republic,Western Asia,Asia,2015-09-08,2015-09-08
Flood,Syrian Arab Republic,Western Asia,Asia,2019-03-30,2019-04-03
Wildfire,Syrian Arab Republic,Western Asia,Asia,2020-09-01,2020-10-15
Flood,Syrian Arab Republic,Western Asia,Asia,2021-01-14,2021-01-27
Drought,Syrian Arab Republic,Western Asia,Asia,2021-01-01,2022-07-30
Storm,Syrian Arab Republic,Western Asia,Asia,2022-01-18,2022-01-25
Epidemic,Syrian Arab Republic,Western Asia,Asia,2022-09-11,2022-09-20
Earthquake,Syrian Arab Republic,Western Asia,Asia,2023-02-06,2023-02-06
Earthquake,Syrian Arab Republic,Western Asia,Asia,2023-02-20,2023-02-20
Earthquake,Syrian Arab Republic,Western Asia,Asia,2023-02-27,2023-02-27
Flood,Syrian Arab Republic,Western Asia,Asia,2023-03-19,2023-03-22
Flood,Syrian Arab Republic,Western Asia,Asia,2024-01-17,2024-01-25
