Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Taiwan (Province of China),Eastern Asia,Asia,2000-08-22,2000-08-23
Storm,Taiwan (Province of China),Eastern Asia,Asia,2000-11-01,2000-11-04
Storm,Taiwan (Province of China),Eastern Asia,Asia,2001-06-24,2001-06-25
Storm,Taiwan (Province of China),Eastern Asia,Asia,2001-07-06,2001-07-08
Storm,Taiwan (Province of China),Eastern Asia,Asia,2001-07-30,2001-07-30
Storm,Taiwan (Province of China),Eastern Asia,Asia,2001-07-11,2001-07-11
Storm,Taiwan (Province of China),Eastern Asia,Asia,2001-09-16,2001-09-20
Earthquake,Taiwan (Province of China),Eastern Asia,Asia,2002-03-31,2002-03-31
Storm,Taiwan (Province of China),Eastern Asia,Asia,2002-07-09,2002-07-09
Storm,Taiwan (Province of China),Eastern Asia,Asia,2002-09-04,2002-09-08
Storm,Taiwan (Province of China),Eastern Asia,Asia,2003-09-02,2003-09-02
Storm,Taiwan (Province of China),Eastern Asia,Asia,2004-06-29,2004-07-04
Storm,Taiwan (Province of China),Eastern Asia,Asia,2004-08-24,2004-08-25
Storm,Taiwan (Province of China),Eastern Asia,Asia,2004-09-12,2004-09-14
Storm,Taiwan (Province of China),Eastern Asia,Asia,2004-10-22,2004-10-25
Storm,Taiwan (Province of China),Eastern Asia,Asia,2004-12-04,2004-12-04
Storm,Taiwan (Province of China),Eastern Asia,Asia,2005-07-18,2005-07-18
Flood,Taiwan (Province of China),Eastern Asia,Asia,2005-06-11,2005-06-17
Storm,Taiwan (Province of China),Eastern Asia,Asia,2005-07-30,2005-08-08
Storm,Taiwan (Province of China),Eastern Asia,Asia,2005-09-01,2005-09-01
Storm,Taiwan (Province of China),Eastern Asia,Asia,2005-10-02,2005-10-02
Flood,Taiwan (Province of China),Eastern Asia,Asia,2006-06-10,2006-06-13
Storm,Taiwan (Province of China),Eastern Asia,Asia,2006-07-17,2006-07-17
Storm,Taiwan (Province of China),Eastern Asia,Asia,2006-07-24,2006-07-28
Earthquake,Taiwan (Province of China),Eastern Asia,Asia,2006-12-26,2006-12-26
Storm,Taiwan (Province of China),Eastern Asia,Asia,2007-08-17,2007-08-24
Storm,Taiwan (Province of China),Eastern Asia,Asia,2007-10-06,2007-10-10
Storm,Taiwan (Province of China),Eastern Asia,Asia,2008-07-27,2008-07-27
Storm,Taiwan (Province of China),Eastern Asia,Asia,2008-07-18,2008-07-19
Storm,Taiwan (Province of China),Eastern Asia,Asia,2008-09-23,2008-09-23
Storm,Taiwan (Province of China),Eastern Asia,Asia,2008-09-28,2008-09-28
Storm,Taiwan (Province of China),Eastern Asia,Asia,2008-09-16,2008-09-16
Storm,Taiwan (Province of China),Eastern Asia,Asia,2009-08-07,2009-08-08
Storm,Taiwan (Province of China),Eastern Asia,Asia,2010-09-18,2010-09-20
Storm,Taiwan (Province of China),Eastern Asia,Asia,2010-10-22,2010-10-22
Earthquake,Taiwan (Province of China),Eastern Asia,Asia,2010-03-04,2010-03-04
Flood,Taiwan (Province of China),Eastern Asia,Asia,2012-06-09,2012-06-12
Storm,Taiwan (Province of China),Eastern Asia,Asia,2012-08-02,2012-08-02
Storm,Taiwan (Province of China),Eastern Asia,Asia,2012-08-24,2012-08-24
Earthquake,Taiwan (Province of China),Eastern Asia,Asia,2013-06-02,2013-06-02
Storm,Taiwan (Province of China),Eastern Asia,Asia,2013-07-14,2013-07-14
Storm,Taiwan (Province of China),Eastern Asia,Asia,2013-08-22,2013-08-22
Storm,Taiwan (Province of China),Eastern Asia,Asia,2013-09-22,2013-09-22
Earthquake,Taiwan (Province of China),Eastern Asia,Asia,2013-03-27,2013-03-27
Storm,Taiwan (Province of China),Eastern Asia,Asia,2014-07-22,2014-08-24
Storm,Taiwan (Province of China),Eastern Asia,Asia,2014-09-18,2014-09-24
Storm,Taiwan (Province of China),Eastern Asia,Asia,2015-07-12,2015-07-12
Storm,Taiwan (Province of China),Eastern Asia,Asia,2015-08-08,2015-08-09
Storm,Taiwan (Province of China),Eastern Asia,Asia,2015-09-28,2015-09-28
Extreme_temperature,Taiwan (Province of China),Eastern Asia,Asia,2016-01-20,2016-01-26
Earthquake,Taiwan (Province of China),Eastern Asia,Asia,2016-02-06,2016-02-06
Storm,Taiwan (Province of China),Eastern Asia,Asia,2016-07-09,2016-07-09
Storm,Taiwan (Province of China),Eastern Asia,Asia,2016-09-14,2016-09-14
Storm,Taiwan (Province of China),Eastern Asia,Asia,2016-09-27,2016-09-27
Flood,Taiwan (Province of China),Eastern Asia,Asia,2017-05-31,2017-06-05
Storm,Taiwan (Province of China),Eastern Asia,Asia,2017-07-29,2017-07-31
Earthquake,Taiwan (Province of China),Eastern Asia,Asia,2018-02-06,2018-02-06
Storm,Taiwan (Province of China),Eastern Asia,Asia,2018-08-23,2018-08-26
Storm,Taiwan (Province of China),Eastern Asia,Asia,2019-08-10,2019-08-10
Storm,Taiwan (Province of China),Eastern Asia,Asia,2020-08-03,2020-08-04
Storm,Taiwan (Province of China),Eastern Asia,Asia,2021-01-08,2021-01-12
Storm,Taiwan (Province of China),Eastern Asia,Asia,2021-06-04,2021-06-04
Earthquake,Taiwan (Province of China),Eastern Asia,Asia,2022-09-18,2022-09-18
Storm,Taiwan (Province of China),Eastern Asia,Asia,2022-10-15,2022-10-16
Storm,Taiwan (Province of China),Eastern Asia,Asia,2023-05-29,2023-05-31
Storm,Taiwan (Province of China),Eastern Asia,Asia,2023-07-28,2023-07-28
Storm,Taiwan (Province of China),Eastern Asia,Asia,2023-10-05,2023-10-05
Earthquake,Taiwan (Province of China),Eastern Asia,Asia,2024-04-03,2024-04-03
Storm,Taiwan (Province of China),Eastern Asia,Asia,2024-07-24,2024-07-25
Storm,Taiwan (Province of China),Eastern Asia,Asia,2024-10-02,2024-10-03
Storm,Taiwan (Province of China),Eastern Asia,Asia,2024-10-31,2024-10-31
