Disaster_Type,Country,Subregion,Region,Start Date,End Date
Earthquake,Tajikistan,Central Asia,Asia,2000-10-30,2000-10-30
Drought,Tajikistan,Central Asia,Asia,2000-05-01,2001-07-23
Flood,Tajikistan,Central Asia,Asia,2001-08-28,2001-08-28
Mass_movement_wet,Tajikistan,Central Asia,Asia,2001-05-20,2001-05-20
Storm,Tajikistan,Central Asia,Asia,2001-06-16,2001-06-16
Earthquake,Tajikistan,Central Asia,Asia,2002-01-09,2002-01-09
Earthquake,Tajikistan,Central Asia,Asia,2002-03-03,2002-03-03
Flood,Tajikistan,Central Asia,Asia,2002-03-23,2002-03-23
Flood,Tajikistan,Central Asia,Asia,2002-05-14,2002-05-14
Flood,Tajikistan,Central Asia,Asia,2002-06-16,2002-06-18
Flood,Tajikistan,Central Asia,Asia,2002-08-07,2002-08-08
Mass_movement_wet,Tajikistan,Central Asia,Asia,2003-02-26,2003-02-26
Mass_movement_wet,Tajikistan,Central Asia,Asia,2003-04-13,2003-04-25
Flood,Tajikistan,Central Asia,Asia,2003-06-06,2003-06-10
Epidemic,Tajikistan,Central Asia,Asia,2003-10-10,2003-10-18
Earthquake,Tajikistan,Central Asia,Asia,2004-04-01,2004-04-01
Flood,Tajikistan,Central Asia,Asia,2004-07-13,2004-07-14
Mass_movement_wet,Tajikistan,Central Asia,Asia,2005-02-03,2005-02-03
Flood,Tajikistan,Central Asia,Asia,2005-06-08,2005-06-10
Flood,Tajikistan,Central Asia,Asia,2005-07-23,2005-07-23
Mass_movement_wet,Tajikistan,Central Asia,Asia,2006-01-26,2006-02-02
Mass_movement_wet,Tajikistan,Central Asia,Asia,2006-04-24,2006-05-08
Earthquake,Tajikistan,Central Asia,Asia,2006-07-29,2006-07-29
Flood,Tajikistan,Central Asia,Asia,2007-04-16,2007-04-20
Earthquake,Tajikistan,Central Asia,Asia,2007-07-21,2007-07-21
Mass_movement_wet,Tajikistan,Central Asia,Asia,2007-12-22,2007-12-22
Flood,Tajikistan,Central Asia,Asia,2007-07-22,2007-07-22
Extreme_temperature,Tajikistan,Central Asia,Asia,2008-01-15,2008-02-18
Drought,Tajikistan,Central Asia,Asia,2008-10-01,2008-10-31
Flood,Tajikistan,Central Asia,Asia,2009-04-21,2009-06-01
Earthquake,Tajikistan,Central Asia,Asia,2010-01-02,2010-01-02
Flood,Tajikistan,Central Asia,Asia,2010-04-11,2010-04-11
Flood,Tajikistan,Central Asia,Asia,2010-05-06,2010-05-10
Epidemic,Tajikistan,Central Asia,Asia,2010-01-01,2010-08-01
Earthquake,Tajikistan,Central Asia,Asia,2011-07-19,2011-07-19
Flood,Tajikistan,Central Asia,Asia,2011-06-11,2011-06-12
Extreme_temperature,Tajikistan,Central Asia,Asia,2012-02-15,2012-02-17
Flood,Tajikistan,Central Asia,Asia,2012-02-14,2012-05-14
Earthquake,Tajikistan,Central Asia,Asia,2012-05-13,2012-05-13
Extreme_temperature,Tajikistan,Central Asia,Asia,2013-01-15,2013-02-18
Flood,Tajikistan,Central Asia,Asia,2014-04-22,2014-04-30
Flood,Tajikistan,Central Asia,Asia,2014-05-10,2014-05-16
Mass_movement_wet,Tajikistan,Central Asia,Asia,2015-04-03,2015-04-03
Flood,Tajikistan,Central Asia,Asia,2015-05-11,2015-05-13
Flood,Tajikistan,Central Asia,Asia,2015-07-15,2015-07-21
Earthquake,Tajikistan,Central Asia,Asia,2015-12-07,2015-12-07
Flood,Tajikistan,Central Asia,Asia,2016-05-09,2016-05-12
Earthquake,Tajikistan,Central Asia,Asia,2016-07-01,2016-07-01
Mass_movement_wet,Tajikistan,Central Asia,Asia,2017-01-27,2017-01-28
Flood,Tajikistan,Central Asia,Asia,2017-06-26,2017-06-26
Epidemic,Tajikistan,Central Asia,Asia,2017-04-04,2017-05-18
Flood,Tajikistan,Central Asia,Asia,2018-05-16,2018-05-21
Flood,Tajikistan,Central Asia,Asia,2019-06-01,2019-06-07
Flood,Tajikistan,Central Asia,Asia,2020-05-14,2020-05-16
Flood,Tajikistan,Central Asia,Asia,2021-05-07,2021-05-13
Earthquake,Tajikistan,Central Asia,Asia,2021-07-10,2021-07-10
Mass_movement_wet,Tajikistan,Central Asia,Asia,2021-07-19,2021-07-20
Earthquake,Tajikistan,Central Asia,Asia,2023-03-23,2023-03-23
Flood,Tajikistan,Central Asia,Asia,2023-08-27,2023-08-30
Flood,Tajikistan,Central Asia,Asia,2024-05-05,2024-05-09
