Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Thailand,South-eastern Asia,Asia,2000-06-21,2000-06-21
Flood,Thailand,South-eastern Asia,Asia,2000-07-16,2000-07-16
Epidemic,Thailand,South-eastern Asia,Asia,2000-01-01,2000-01-27
Storm,Thailand,South-eastern Asia,Asia,2000-08-21,2000-08-21
Flood,Thailand,South-eastern Asia,Asia,2000-11-21,2000-11-21
Flood,Thailand,South-eastern Asia,Asia,2000-09-15,2000-09-16
Flood,Thailand,South-eastern Asia,Asia,2001-05-04,2001-05-05
Flood,Thailand,South-eastern Asia,Asia,2001-03-11,2001-03-11
Storm,Thailand,South-eastern Asia,Asia,2001-06-27,2001-06-27
Flood,Thailand,South-eastern Asia,Asia,2001-08-08,2001-09-06
Flood,Thailand,South-eastern Asia,Asia,2001-06-27,2001-06-27
Flood,Thailand,South-eastern Asia,Asia,2001-08-31,2001-08-31
Storm,Thailand,South-eastern Asia,Asia,2002-01-12,2002-01-12
Storm,Thailand,South-eastern Asia,Asia,2002-04-23,2002-04-23
Mass_movement_wet,Thailand,South-eastern Asia,Asia,2002-09-03,2002-09-03
Flood,Thailand,South-eastern Asia,Asia,2002-09-29,2002-09-29
Flood,Thailand,South-eastern Asia,Asia,2002-10-15,2002-10-16
Drought,Thailand,South-eastern Asia,Asia,2002-02-01,2002-04-30
Storm,Thailand,South-eastern Asia,Asia,2003-04-11,2003-04-11
Flood,Thailand,South-eastern Asia,Asia,2003-10-15,2003-10-15
Flood,Thailand,South-eastern Asia,Asia,2003-12-11,2003-12-11
Epidemic,Thailand,South-eastern Asia,Asia,2003-10-15,2004-03-24
Flood,Thailand,South-eastern Asia,Asia,2003-10-03,2003-10-25
Storm,Thailand,South-eastern Asia,Asia,2004-05-20,2004-05-23
Storm,Thailand,South-eastern Asia,Asia,2004-06-04,2004-06-21
Flood,Thailand,South-eastern Asia,Asia,2004-08-06,2004-08-30
Flood,Thailand,South-eastern Asia,Asia,2004-09-15,2004-09-15
Mass_movement_wet,Thailand,South-eastern Asia,Asia,2004-10-18,2004-10-18
Flood,Thailand,South-eastern Asia,Asia,2004-12-10,2004-12-18
Earthquake,Thailand,South-eastern Asia,Asia,2004-12-26,2004-12-26
Storm,Thailand,South-eastern Asia,Asia,2005-05-21,2005-05-21
Wildfire,Thailand,South-eastern Asia,Asia,2005-08-09,2005-08-09
Flood,Thailand,South-eastern Asia,Asia,2005-08-13,2005-08-31
Storm,Thailand,South-eastern Asia,Asia,2005-09-26,2005-09-30
Flood,Thailand,South-eastern Asia,Asia,2005-11-23,2006-01-12
Drought,Thailand,South-eastern Asia,Asia,2005-01-01,2005-03-30
Flood,Thailand,South-eastern Asia,Asia,2006-02-10,2006-02-18
Flood,Thailand,South-eastern Asia,Asia,2006-05-22,2006-06-11
Flood,Thailand,South-eastern Asia,Asia,2006-08-20,2006-12-13
Flood,Thailand,South-eastern Asia,Asia,2007-04-14,2007-04-15
