Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Timor-Leste,South-eastern Asia,Asia,2001-06-20,2001-06-23
Flood,Timor-Leste,South-eastern Asia,Asia,2003-06-16,2003-06-20
Flood,Timor-Leste,South-eastern Asia,Asia,2003-12-17,2004-01-21
Epidemic,Timor-Leste,South-eastern Asia,Asia,2005-01-05,2005-02-28
Storm,Timor-Leste,South-eastern Asia,Asia,2006-01-15,2006-03-17
Flood,Timor-Leste,South-eastern Asia,Asia,2007-06-16,2007-07-16
Drought,Timor-Leste,South-eastern Asia,Asia,2007-02-01,2007-03-30
Epidemic,Timor-Leste,South-eastern Asia,Asia,2014-01-03,2014-02-20
Earthquake,Timor-Leste,South-eastern Asia,Asia,2015-11-04,2015-11-04
Drought,Timor-Leste,South-eastern Asia,Asia,2016-04-01,2016-04-26
Flood,Timor-Leste,South-eastern Asia,Asia,2020-03-13,2020-03-13
Storm,Timor-Leste,South-eastern Asia,Asia,2021-04-05,2021-04-06
Epidemic,Timor-Leste,South-eastern Asia,Asia,2022-01-01,2022-01-31
