Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Togo,Sub-Saharan Africa,Africa,2001-01-01,2001-01-01
Epidemic,Togo,Sub-Saharan Africa,Africa,2001-04-01,2001-04-01
Epidemic,Togo,Sub-Saharan Africa,Africa,2002-01-07,2002-01-15
Epidemic,Togo,Sub-Saharan Africa,Africa,2003-12-29,2004-03-28
Flood,Togo,Sub-Saharan Africa,Africa,2006-06-20,2006-06-28
Flood,Togo,Sub-Saharan Africa,Africa,2007-08-14,2007-09-18
Flood,Togo,Sub-Saharan Africa,Africa,2008-07-01,2008-08-08
Epidemic,Togo,Sub-Saharan Africa,Africa,2008-12-12,2009-01-12
Flood,Togo,Sub-Saharan Africa,Africa,2009-07-14,2009-07-17
Epidemic,Togo,Sub-Saharan Africa,Africa,2010-01-01,2010-03-22
Flood,Togo,Sub-Saharan Africa,Africa,2010-06-05,2010-10-17
Flood,Togo,Sub-Saharan Africa,Africa,2010-09-14,2010-10-18
Epidemic,Togo,Sub-Saharan Africa,Africa,2013-08-30,2013-10-28
Epidemic,Togo,Sub-Saharan Africa,Africa,2015-12-13,2016-02-14
Flood,Togo,Sub-Saharan Africa,Africa,2017-08-14,2017-09-18
Flood,Togo,Sub-Saharan Africa,Africa,2020-09-01,2020-10-31
Flood,Togo,Sub-Saharan Africa,Africa,2022-10-14,2022-11-15
Flood,Togo,Sub-Saharan Africa,Africa,2024-09-14,2024-10-18
