Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Tonga,Polynesia,Oceania,2001-12-31,2001-12-31
Storm,Tonga,Polynesia,Oceania,2004-01-06,2004-01-06
Earthquake,Tonga,Polynesia,Oceania,2009-09-29,2009-09-29
Storm,Tonga,Polynesia,Oceania,2011-01-25,2011-01-29
Storm,Tonga,Polynesia,Oceania,2014-01-06,2014-01-11
Drought,Tonga,Polynesia,Oceania,2015-08-01,2015-12-31
Storm,Tonga,Polynesia,Oceania,2016-01-02,2016-01-02
Storm,Tonga,Polynesia,Oceania,2016-02-19,2016-02-19
Storm,Tonga,Polynesia,Oceania,2016-04-07,2016-04-07
Storm,Tonga,Polynesia,Oceania,2018-02-12,2018-02-13
Epidemic,Tonga,Polynesia,Oceania,2019-10-07,2019-10-28
Epidemic,Tonga,Polynesia,Oceania,2019-10-22,2019-11-19
Storm,Tonga,Polynesia,Oceania,2020-04-06,2020-04-09
Volcanic_activity,Tonga,Polynesia,Oceania,2022-01-15,2022-01-15
