Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Tunisia,Northern Africa,Africa,2003-01-14,2003-01-16
Flood,Tunisia,Northern Africa,Africa,2007-10-13,2007-10-16
Flood,Tunisia,Northern Africa,Africa,2007-04-11,2007-04-16
Flood,Tunisia,Northern Africa,Africa,2009-09-22,2009-09-23
Wildfire,Tunisia,Northern Africa,Africa,2017-07-29,2017-08-07
Flood,Tunisia,Northern Africa,Africa,2018-09-21,2018-09-23
Flood,Tunisia,Northern Africa,Africa,2020-09-05,2020-09-12
Wildfire,Tunisia,Northern Africa,Africa,2021-07-24,2021-08-10
Flood,Tunisia,Northern Africa,Africa,2021-10-23,2021-10-26
Flood,Tunisia,Northern Africa,Africa,2022-03-19,2022-03-19
