Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,Uganda,Sub-Saharan Africa,Africa,2000-02-27,2000-02-27
Storm,Uganda,Sub-Saharan Africa,Africa,2000-09-21,2000-09-21
Epidemic,Uganda,Sub-Saharan Africa,Africa,2000-09-10,2000-09-14
Epidemic,Uganda,Sub-Saharan Africa,Africa,2000-08-08,2001-02-28
Storm,Uganda,Sub-Saharan Africa,Africa,2000-11-06,2000-11-06
Flood,Uganda,Sub-Saharan Africa,Africa,2001-05-13,2001-05-17
Epidemic,Uganda,Sub-Saharan Africa,Africa,2001-10-11,2001-10-15
Mass_movement_wet,Uganda,Sub-Saharan Africa,Africa,2001-11-03,2001-11-03
Flood,Uganda,Sub-Saharan Africa,Africa,2001-12-15,2001-12-23
Storm,Uganda,Sub-Saharan Africa,Africa,2002-01-05,2002-01-05
Flood,Uganda,Sub-Saharan Africa,Africa,2002-03-30,2002-03-30
Flood,Uganda,Sub-Saharan Africa,Africa,2002-04-26,2002-05-28
Drought,Uganda,Sub-Saharan Africa,Africa,2002-06-07,2002-08-31
Flood,Uganda,Sub-Saharan Africa,Africa,2003-04-21,2003-06-04
Epidemic,Uganda,Sub-Saharan Africa,Africa,2003-03-10,2003-04-15
Flood,Uganda,Sub-Saharan Africa,Africa,2003-07-01,2003-07-03
Flood,Uganda,Sub-Saharan Africa,Africa,2004-10-14,2004-10-18
Epidemic,Uganda,Sub-Saharan Africa,Africa,2004-11-01,2004-11-01
Flood,Uganda,Sub-Saharan Africa,Africa,2004-11-08,2004-11-10
Epidemic,Uganda,Sub-Saharan Africa,Africa,2005-04-10,2005-05-31
Epidemic,Uganda,Sub-Saharan Africa,Africa,2005-12-28,2006-02-12
Drought,Uganda,Sub-Saharan Africa,Africa,2005-03-01,2006-03-30
Flood,Uganda,Sub-Saharan Africa,Africa,2006-08-12,2006-08-21
Flood,Uganda,Sub-Saharan Africa,Africa,2006-10-23,2006-12-19
Epidemic,Uganda,Sub-Saharan Africa,Africa,2006-04-16,2006-12-31
Epidemic,Uganda,Sub-Saharan Africa,Africa,2006-12-28,2007-04-08
Epidemic,Uganda,Sub-Saharan Africa,Africa,2006-01-09,2006-03-05
Epidemic,Uganda,Sub-Saharan Africa,Africa,2006-12-11,2007-03-13
Flood,Uganda,Sub-Saharan Africa,Africa,2007-08-15,2007-10-31
Flood,Uganda,Sub-Saharan Africa,Africa,2007-11-15,2007-11-18
Epidemic,Uganda,Sub-Saharan Africa,Africa,2007-08-20,2008-02-15
Epidemic,Uganda,Sub-Saharan Africa,Africa,2007-11-08,2009-01-19
Epidemic,Uganda,Sub-Saharan Africa,Africa,2008-05-02,2008-06-27
Flood,Uganda,Sub-Saharan Africa,Africa,2008-11-17,2008-11-17
Drought,Uganda,Sub-Saharan Africa,Africa,2008-07-01,2009-10-31
Epidemic,Uganda,Sub-Saharan Africa,Africa,2009-03-08,2009-10-29
Epidemic,Uganda,Sub-Saharan Africa,Africa,2009-10-10,2009-10-26
Mass_movement_wet,Uganda,Sub-Saharan Africa,Africa,2010-02-25,2010-03-01
Epidemic,Uganda,Sub-Saharan Africa,Africa,2010-11-16,2010-12-29
Drought,Uganda,Sub-Saharan Africa,Africa,2011-03-07,2011-08-26
Storm,Uganda,Sub-Saharan Africa,Africa,2011-06-28,2011-06-28
Flood,Uganda,Sub-Saharan Africa,Africa,2011-08-20,2011-09-08
Epidemic,Uganda,Sub-Saharan Africa,Africa,2012-01-01,2012-09-01
Mass_movement_wet,Uganda,Sub-Saharan Africa,Africa,2012-06-24,2012-06-24
Epidemic,Uganda,Sub-Saharan Africa,Africa,2012-08-03,2012-08-24
Flood,Uganda,Sub-Saharan Africa,Africa,2012-08-20,2012-09-07
Epidemic,Uganda,Sub-Saharan Africa,Africa,2012-10-25,2012-12-02
Epidemic,Uganda,Sub-Saharan Africa,Africa,2013-01-16,2013-04-18
Flood,Uganda,Sub-Saharan Africa,Africa,2013-05-01,2013-05-05
Epidemic,Uganda,Sub-Saharan Africa,Africa,2013-01-11,2013-10-16
Epidemic,Uganda,Sub-Saharan Africa,Africa,2013-10-12,2013-12-15
Flood,Uganda,Sub-Saharan Africa,Africa,2016-04-13,2016-04-18
Mass_movement_wet,Uganda,Sub-Saharan Africa,Africa,2016-05-10,2016-05-10
Earthquake,Uganda,Sub-Saharan Africa,Africa,2016-09-10,2016-09-10
Flood,Uganda,Sub-Saharan Africa,Africa,2017-09-20,2017-09-27
Epidemic,Uganda,Sub-Saharan Africa,Africa,2017-09-16,2017-11-04
