Disaster_Type,Country,Subregion,Region,Start Date,End Date
Extreme_temperature,Ukraine,Eastern Europe,Europe,2000-05-01,2000-05-11
Storm,Ukraine,Eastern Europe,Europe,2000-07-05,2000-07-05
Storm,Ukraine,Eastern Europe,Europe,2000-07-25,2000-07-25
Storm,Ukraine,Eastern Europe,Europe,2000-11-27,2000-11-27
Flood,Ukraine,Eastern Europe,Europe,2001-03-04,2001-03-17
Flood,Ukraine,Eastern Europe,Europe,2003-03-12,2003-03-12
Flood,Ukraine,Eastern Europe,Europe,2005-02-28,2005-02-28
Extreme_temperature,Ukraine,Eastern Europe,Europe,2006-01-16,2006-02-06
Flood,Ukraine,Eastern Europe,Europe,2006-04-07,2006-05-24
Flood,Ukraine,Eastern Europe,Europe,2006-07-02,2006-07-03
Storm,Ukraine,Eastern Europe,Europe,2007-01-17,2007-01-18
Storm,Ukraine,Eastern Europe,Europe,2007-07-22,2007-07-24
Flood,Ukraine,Eastern Europe,Europe,2008-07-26,2008-07-27
Extreme_temperature,Ukraine,Eastern Europe,Europe,2009-01-14,2009-01-20
Extreme_temperature,Ukraine,Eastern Europe,Europe,2009-12-21,2009-12-21
Flood,Ukraine,Eastern Europe,Europe,2010-06-27,2010-07-02
Extreme_temperature,Ukraine,Eastern Europe,Europe,2012-01-27,2012-02-12
Extreme_temperature,Ukraine,Eastern Europe,Europe,2012-12-07,2012-12-31
Drought,Ukraine,Eastern Europe,Europe,2012-04-15,2012-07-31
Flood,Ukraine,Eastern Europe,Europe,2013-09-14,2013-09-15
Extreme_temperature,Ukraine,Eastern Europe,Europe,2016-01-01,2016-01-12
Flood,Ukraine,Eastern Europe,Europe,2016-10-12,2016-10-16
Extreme_temperature,Ukraine,Eastern Europe,Europe,2017-01-02,2017-01-13
Storm,Ukraine,Eastern Europe,Europe,2018-06-28,2018-06-30
Flood,Ukraine,Eastern Europe,Europe,2020-06-22,2020-06-29
Wildfire,Ukraine,Eastern Europe,Europe,2020-07-06,2020-07-06
Wildfire,Ukraine,Eastern Europe,Europe,2020-09-30,2020-10-08
Storm,Ukraine,Eastern Europe,Europe,2021-06-17,2021-06-18
Flood,Ukraine,Eastern Europe,Europe,2023-04-15,2023-04-15
Storm,Ukraine,Eastern Europe,Europe,2023-11-26,2023-11-27
