Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2000-04-27,2000-04-27
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2000-06-24,2000-06-20
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2000-10-11,2000-10-14
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2000-10-28,2000-10-29
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2000-12-16,2000-12-24
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2000-12-27,2000-12-27
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2001-02-09,2001-02-09
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2001-10-21,2001-10-23
Epidemic,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2001-01-08,2001-06-21
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2002-01-28,2002-01-29
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2002-07-20,2002-07-20
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2002-08-10,2002-08-12
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2002-10-26,2002-10-28
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2002-11-14,2002-11-25
Extreme_temperature,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2003-07-24,2003-07-25
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2004-08-16,2004-08-17
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2005-01-07,2005-01-08
Extreme_temperature,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2005-11-25,2005-11-27
Extreme_temperature,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2005-12-27,2005-12-30
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2005-01-11,2005-01-12
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2007-01-18,2007-01-18
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2007-06-15,2007-06-21
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2007-06-25,2007-07-03
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2007-07-20,2007-07-24
Earthquake,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2007-04-28,2007-04-28
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2008-01-15,2008-01-26
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2008-03-10,2008-03-10
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2008-09-06,2008-09-08
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2009-11-19,2009-11-22
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2009-11-13,2009-12-04
Extreme_temperature,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2009-12-19,2009-12-23
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2010-02-28,2010-02-28
Extreme_temperature,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2010-11-28,2010-12-01
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2012-09-23,2012-09-27
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2012-12-23,2012-12-23
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2012-06-10,2012-06-11
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2012-06-23,2012-06-24
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2012-11-21,2012-12-18
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2013-10-27,2013-10-28
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2013-12-06,2013-12-07
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2013-12-26,2013-12-26
Extreme_temperature,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2013-07-24,2013-07-25
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2013-12-27,2014-01-27
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2014-01-21,2014-02-20
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2014-02-14,2014-02-15
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2015-12-04,2015-12-06
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2015-12-26,2015-12-26
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2017-11-22,2017-11-26
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2018-01-02,2018-01-03
Extreme_temperature,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2018-06-30,2018-07-10
Extreme_temperature,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2019-06-26,2019-06-30
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2019-11-07,2019-11-08
Extreme_temperature,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2019-07-21,2019-08-28
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2020-02-08,2020-02-08
Flood,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2020-02-28,2020-02-28
Extreme_temperature,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2020-06-23,2020-08-27
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2021-10-21,2021-10-21
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2022-01-28,2022-01-31
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2022-02-16,2022-02-17
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2022-02-18,2022-02-18
Extreme_temperature,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2022-05-30,2022-09-04
Drought,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2022-04-07,2022-08-26
Extreme_temperature,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2023-07-23,2023-08-25
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2023-11-02,2023-11-03
Storm,United Kingdom of Great Britain and Northern Ireland,Northern Europe,Europe,2024-11-23,2024-11-27
