Disaster_Type,Country,Subregion,Region,Start Date,End Date
Epidemic,United Republic of Tanzania,Sub-Saharan Africa,Africa,2000-01-08,2000-01-08
Epidemic,United Republic of Tanzania,Sub-Saharan Africa,Africa,2000-01-01,2000-01-01
Epidemic,United Republic of Tanzania,Sub-Saharan Africa,Africa,2000-02-11,2000-02-11
Epidemic,United Republic of Tanzania,Sub-Saharan Africa,Africa,2000-01-01,2000-01-01
Earthquake,United Republic of Tanzania,Sub-Saharan Africa,Africa,2000-10-02,2000-10-02
Flood,United Republic of Tanzania,Sub-Saharan Africa,Africa,2000-12-01,2000-12-31
Earthquake,United Republic of Tanzania,Sub-Saharan Africa,Africa,2001-01-05,2001-01-05
Mass_movement_wet,United Republic of Tanzania,Sub-Saharan Africa,Africa,2001-01-22,2001-01-22
Flood,United Republic of Tanzania,Sub-Saharan Africa,Africa,2001-02-27,2001-02-27
Epidemic,United Republic of Tanzania,Sub-Saharan Africa,Africa,2001-05-18,2001-07-20
Epidemic,United Republic of Tanzania,Sub-Saharan Africa,Africa,2001-12-22,2001-12-22
Flood,United Republic of Tanzania,Sub-Saharan Africa,Africa,2002-04-26,2002-05-28
Epidemic,United Republic of Tanzania,Sub-Saharan Africa,Africa,2002-07-01,2002-10-02
Earthquake,United Republic of Tanzania,Sub-Saharan Africa,Africa,2002-05-18,2002-05-18
Flood,United Republic of Tanzania,Sub-Saharan Africa,Africa,2003-12-20,2003-12-21
Drought,United Republic of Tanzania,Sub-Saharan Africa,Africa,2003-08-01,2004-07-31
Earthquake,United Republic of Tanzania,Sub-Saharan Africa,Africa,2004-12-26,2004-12-26
Drought,United Republic of Tanzania,Sub-Saharan Africa,Africa,2004-10-01,2004-10-31
Flood,United Republic of Tanzania,Sub-Saharan Africa,Africa,2005-04-16,2005-04-18
Earthquake,United Republic of Tanzania,Sub-Saharan Africa,Africa,2005-12-05,2005-12-05
Epidemic,United Republic of Tanzania,Sub-Saharan Africa,Africa,2005-12-02,2006-03-13
Epidemic,United Republic of Tanzania,Sub-Saharan Africa,Africa,2006-01-02,2006-04-30
Flood,United Republic of Tanzania,Sub-Saharan Africa,Africa,2006-05-09,2006-05-17
Epidemic,United Republic of Tanzania,Sub-Saharan Africa,Africa,2006-08-11,2006-08-15
Flood,United Republic of Tanzania,Sub-Saharan Africa,Africa,2006-10-23,2006-12-19
Epidemic,United Republic of Tanzania,Sub-Saharan Africa,Africa,2006-11-11,2006-11-14
Epidemic,United Republic of Tanzania,Sub-Saharan Africa,Africa,2006-12-12,2006-12-14
Infestation,United Republic of Tanzania,Sub-Saharan Africa,Africa,2006-01-01,2006-02-28
Epidemic,United Republic of Tanzania,Sub-Saharan Africa,Africa,2007-01-13,2007-05-03
Epidemic,United Republic of Tanzania,Sub-Saharan Africa,Africa,2007-07-28,2007-08-01
Flood,United Republic of Tanzania,Sub-Saharan Africa,Africa,2008-01-10,2008-03-31
Flood,United Republic of Tanzania,Sub-Saharan Africa,Africa,2008-03-17,2008-04-04
Storm,United Republic of Tanzania,Sub-Saharan Africa,Africa,2008-12-15,2008-12-21
