Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,United States of America,Northern America,Americas,2000-01-02,2000-01-04
Storm,United States of America,Northern America,Americas,2000-02-13,2000-02-14
Flood,United States of America,Northern America,Americas,2000-02-18,2000-02-22
Wildfire,United States of America,Northern America,Americas,2000-02-26,2000-02-26
Storm,United States of America,Northern America,Americas,2000-03-28,2000-03-28
Flood,United States of America,Northern America,Americas,2000-05-06,2000-05-09
Wildfire,United States of America,Northern America,Americas,2000-05-13,2000-09-15
Flood,United States of America,Northern America,Americas,2000-05-06,2000-05-09
Wildfire,United States of America,Northern America,Americas,2000-05-14,2000-05-14
Flood,United States of America,Northern America,Americas,2000-05-19,2000-05-19
Flood,United States of America,Northern America,Americas,2000-05-23,2000-05-23
Storm,United States of America,Northern America,Americas,2000-05-26,2000-05-26
Storm,United States of America,Northern America,Americas,2000-05-23,2000-05-23
Wildfire,United States of America,Northern America,Americas,2000-06-12,2000-06-12
Wildfire,United States of America,Northern America,Americas,2000-06-27,2000-06-27
Extreme_temperature,United States of America,Northern America,Americas,2000-07-26,2000-07-18
Wildfire,United States of America,Northern America,Americas,2000-07-13,2000-07-15
Storm,United States of America,Northern America,Americas,2000-07-25,2000-07-25
Wildfire,United States of America,Northern America,Americas,2000-07-13,2000-08-15
Flood,United States of America,Northern America,Americas,2000-08-12,2000-08-14
Flood,United States of America,Northern America,Americas,2000-07-30,2000-07-30
Earthquake,United States of America,Northern America,Americas,2000-09-03,2000-09-03
Storm,United States of America,Northern America,Americas,2000-09-20,2000-09-20
Storm,United States of America,Northern America,Americas,2000-10-04,2000-10-04
Storm,United States of America,Northern America,Americas,2000-11-20,2000-11-20
Storm,United States of America,Northern America,Americas,2000-12-24,2000-12-24
Flood,United States of America,Northern America,Americas,2000-11-02,2000-11-02
Storm,United States of America,Northern America,Americas,2000-01-22,2000-01-25
Storm,United States of America,Northern America,Americas,2000-12-16,2000-12-17
Drought,United States of America,Northern America,Americas,2000-06-07,2002-08-31
Drought,United States of America,Northern America,Americas,2000-11-01,2000-06-30
Earthquake,United States of America,Northern America,Americas,2001-02-28,2001-02-28
Storm,United States of America,Northern America,Americas,2001-02-24,2001-02-24
Storm,United States of America,Northern America,Americas,2001-02-22,2001-02-22
Storm,United States of America,Northern America,Americas,2001-04-10,2001-04-11
Storm,United States of America,Northern America,Americas,2001-03-29,2001-03-29
Storm,United States of America,Northern America,Americas,2001-06-05,2001-06-17
Flood,United States of America,Northern America,Americas,2001-02-27,2001-03-01
Storm,United States of America,Northern America,Americas,2001-03-20,2001-03-20
Flood,United States of America,Northern America,Americas,2001-04-15,2001-05-15
Storm,United States of America,Northern America,Americas,2001-04-21,2001-04-21
Wildfire,United States of America,Northern America,Americas,2001-04-26,2001-04-15
Storm,United States of America,Northern America,Americas,2001-06-14,2001-06-14
Wildfire,United States of America,Northern America,Americas,2001-08-13,2001-08-19
Flood,United States of America,Northern America,Americas,2001-07-08,2001-07-09
Storm,United States of America,Northern America,Americas,2001-06-18,2001-06-18
Storm,United States of America,Northern America,Americas,2001-06-13,2001-06-13
Storm,United States of America,Northern America,Americas,2001-06-21,2001-06-21
Storm,United States of America,Northern America,Americas,2001-10-10,2001-10-10
Storm,United States of America,Northern America,Americas,2001-09-24,2001-09-24
Storm,United States of America,Northern America,Americas,2001-10-11,2001-10-11
Storm,United States of America,Northern America,Americas,2001-10-12,2001-10-12
Wildfire,United States of America,Northern America,Americas,2001-10-30,2001-10-30
Flood,United States of America,Northern America,Americas,2001-11-15,2001-11-19
Extreme_temperature,United States of America,Northern America,Americas,2001-08-26,2001-08-22
Storm,United States of America,Northern America,Americas,2001-08-16,2001-08-18
Flood,United States of America,Northern America,Americas,2001-08-16,2001-08-18
Storm,United States of America,Northern America,Americas,2001-08-17,2001-08-17
Storm,United States of America,Northern America,Americas,2002-01-17,2002-01-16
Wildfire,United States of America,Northern America,Americas,2002-02-10,2002-02-10
Storm,United States of America,Northern America,Americas,2002-01-30,2002-02-08
Storm,United States of America,Northern America,Americas,2002-03-16,2002-03-16
Storm,United States of America,Northern America,Americas,2002-03-19,2002-03-19
Flood,United States of America,Northern America,Americas,2002-03-17,2002-03-24
Wildfire,United States of America,Northern America,Americas,2002-03-26,2002-03-15
Flood,United States of America,Northern America,Americas,2002-05-02,2002-05-08
Storm,United States of America,Northern America,Americas,2002-05-05,2002-05-05
Storm,United States of America,Northern America,Americas,2002-04-21,2002-04-21
Storm,United States of America,Northern America,Americas,2002-04-27,2002-05-03
Wildfire,United States of America,Northern America,Americas,2002-04-26,2002-04-15
Wildfire,United States of America,Northern America,Americas,2002-05-12,2002-05-15
Wildfire,United States of America,Northern America,Americas,2002-06-08,2002-06-08
Extreme_temperature,United States of America,Northern America,Americas,2002-06-26,2002-06-20
Wildfire,United States of America,Northern America,Americas,2002-06-20,2002-06-20
Flood,United States of America,Northern America,Americas,2002-06-30,2002-07-23
Epidemic,United States of America,Northern America,Americas,2002-07-09,2002-11-26
Storm,United States of America,Northern America,Americas,2002-09-05,2002-09-05
Flood,United States of America,Northern America,Americas,2002-09-21,2002-09-24
Wildfire,United States of America,Northern America,Americas,2002-09-22,2002-09-22
Wildfire,United States of America,Northern America,Americas,2002-07-13,2002-07-15
Storm,United States of America,Northern America,Americas,2002-09-26,2002-09-27
Epidemic,United States of America,Northern America,Americas,2002-10-16,2002-10-16
Storm,United States of America,Northern America,Americas,2002-11-05,2002-11-10
Storm,United States of America,Northern America,Americas,2002-10-03,2002-10-03
Storm,United States of America,Northern America,Americas,2002-12-04,2002-12-05
Storm,United States of America,Northern America,Americas,2002-12-19,2002-12-19
Storm,United States of America,Northern America,Americas,2002-12-23,2002-12-23
Storm,United States of America,Northern America,Americas,2002-05-30,2002-06-01
Drought,United States of America,Northern America,Americas,2002-07-07,2002-08-31
Storm,United States of America,Northern America,Americas,2003-02-14,2003-02-18
Storm,United States of America,Northern America,Americas,2003-03-18,2003-03-20
Storm,United States of America,Northern America,Americas,2003-03-20,2003-03-20
Storm,United States of America,Northern America,Americas,2003-05-04,2003-05-10
Wildfire,United States of America,Northern America,Americas,2003-06-17,2003-06-20
Flood,United States of America,Northern America,Americas,2003-07-05,2003-07-21
Storm,United States of America,Northern America,Americas,2003-08-08,2003-08-08
Storm,United States of America,Northern America,Americas,2003-09-18,2003-09-22
Flood,United States of America,Northern America,Americas,2003-10-17,2003-10-26
Wildfire,United States of America,Northern America,Americas,2003-10-25,2003-11-04
Storm,United States of America,Northern America,Americas,2003-11-20,2003-11-20
Storm,United States of America,Northern America,Americas,2003-12-06,2003-12-07
Earthquake,United States of America,Northern America,Americas,2003-12-22,2003-12-22
Mass_movement_wet,United States of America,Northern America,Americas,2003-12-25,2003-12-26
Flood,United States of America,Northern America,Americas,2003-11-12,2003-11-13
Storm,United States of America,Northern America,Americas,2003-02-15,2003-02-23
Flood,United States of America,Northern America,Americas,2003-05-06,2003-05-14
Storm,United States of America,Northern America,Americas,2003-05-30,2003-05-30
Storm,United States of America,Northern America,Americas,2003-06-30,2003-06-30
Wildfire,United States of America,Northern America,Americas,2003-10-21,2003-11-04
Storm,United States of America,Northern America,Americas,2003-12-15,2003-12-16
Storm,United States of America,Northern America,Americas,2003-04-04,2003-04-08
Storm,United States of America,Northern America,Americas,2003-02-26,2003-02-26
Storm,United States of America,Northern America,Americas,2004-01-15,2004-01-29
Storm,United States of America,Northern America,Americas,2004-03-04,2004-03-07
Flood,United States of America,Northern America,Americas,2004-03-28,2004-04-11
Wildfire,United States of America,Northern America,Americas,2004-05-02,2004-05-04
Storm,United States of America,Northern America,Americas,2004-05-21,2004-05-27
Flood,United States of America,Northern America,Americas,2004-05-28,2004-05-28
Storm,United States of America,Northern America,Americas,2004-05-29,2004-06-02
Storm,United States of America,Northern America,Americas,2004-06-28,2004-06-28
Wildfire,United States of America,Northern America,Americas,2004-07-12,2004-07-16
Storm,United States of America,Northern America,Americas,2004-08-13,2004-08-13
Wildfire,United States of America,Northern America,Americas,2004-08-13,2004-08-14
Storm,United States of America,Northern America,Americas,2004-08-29,2004-08-30
Storm,United States of America,Northern America,Americas,2004-09-05,2004-09-05
Storm,United States of America,Northern America,Americas,2004-09-15,2004-09-16
Storm,United States of America,Northern America,Americas,2004-09-25,2004-09-26
