Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Uruguay,Latin America and the Caribbean,Americas,2000-05-16,2000-05-16
Extreme_temperature,Uruguay,Latin America and the Caribbean,Americas,2000-07-08,2000-07-23
Storm,Uruguay,Latin America and the Caribbean,Americas,2000-12-27,2000-12-27
Flood,Uruguay,Latin America and the Caribbean,Americas,2001-06-14,2001-06-17
Storm,Uruguay,Latin America and the Caribbean,Americas,2002-03-15,2002-03-15
Flood,Uruguay,Latin America and the Caribbean,Americas,2002-04-01,2002-04-01
Flood,Uruguay,Latin America and the Caribbean,Americas,2003-05-15,2003-05-17
Extreme_temperature,Uruguay,Latin America and the Caribbean,Americas,2004-07-08,2004-07-23
Storm,Uruguay,Latin America and the Caribbean,Americas,2005-08-23,2005-08-24
Flood,Uruguay,Latin America and the Caribbean,Americas,2007-03-20,2007-04-27
Flood,Uruguay,Latin America and the Caribbean,Americas,2007-05-04,2007-05-25
Extreme_temperature,Uruguay,Latin America and the Caribbean,Americas,2007-07-08,2007-07-23
Flood,Uruguay,Latin America and the Caribbean,Americas,2009-11-21,2009-11-30
Extreme_temperature,Uruguay,Latin America and the Caribbean,Americas,2010-07-08,2010-07-23
Flood,Uruguay,Latin America and the Caribbean,Americas,2015-08-17,2015-08-19
Flood,Uruguay,Latin America and the Caribbean,Americas,2015-10-14,2015-10-28
Flood,Uruguay,Latin America and the Caribbean,Americas,2015-12-20,2015-12-26
Flood,Uruguay,Latin America and the Caribbean,Americas,2016-04-12,2016-05-11
Flood,Uruguay,Latin America and the Caribbean,Americas,2017-05-29,2017-06-14
Drought,Uruguay,Latin America and the Caribbean,Americas,2018-01-01,2023-01-31
Flood,Uruguay,Latin America and the Caribbean,Americas,2019-01-10,2019-01-23
Flood,Uruguay,Latin America and the Caribbean,Americas,2019-06-11,2019-06-24
Flood,Uruguay,Latin America and the Caribbean,Americas,2019-10-12,2019-10-18
Storm,Uruguay,Latin America and the Caribbean,Americas,2020-06-22,2020-06-26
Flood,Uruguay,Latin America and the Caribbean,Americas,2020-06-22,2020-06-24
Flood,Uruguay,Latin America and the Caribbean,Americas,2022-01-17,2022-01-18
Drought,Uruguay,Latin America and the Caribbean,Americas,2022-10-01,2023-04-30
Flood,Uruguay,Latin America and the Caribbean,Americas,2023-10-30,2023-11-18
Storm,Uruguay,Latin America and the Caribbean,Americas,2023-12-13,2023-12-18
Flood,Uruguay,Latin America and the Caribbean,Americas,2024-03-16,2024-03-28
Flood,Uruguay,Latin America and the Caribbean,Americas,2024-05-12,2024-05-14
