Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Vanuatu,Melanesia,Oceania,2001-02-28,2001-02-28
Storm,Vanuatu,Melanesia,Oceania,2001-04-07,2001-04-07
Volcanic_activity,Vanuatu,Melanesia,Oceania,2001-06-08,2001-06-08
Earthquake,Vanuatu,Melanesia,Oceania,2002-01-03,2002-01-03
Earthquake,Vanuatu,Melanesia,Oceania,2002-11-27,2002-11-27
Flood,Vanuatu,Melanesia,Oceania,2002-12-21,2002-12-25
Storm,Vanuatu,Melanesia,Oceania,2004-02-25,2004-02-27
Volcanic_activity,Vanuatu,Melanesia,Oceania,2005-11-27,2005-11-27
Volcanic_activity,Vanuatu,Melanesia,Oceania,2006-05-09,2006-05-09
Volcanic_activity,Vanuatu,Melanesia,Oceania,2008-12-16,2009-04-24
Flood,Vanuatu,Melanesia,Oceania,2009-04-15,2009-04-15
Volcanic_activity,Vanuatu,Melanesia,Oceania,2009-11-26,2009-11-26
Storm,Vanuatu,Melanesia,Oceania,2011-01-30,2011-01-31
Storm,Vanuatu,Melanesia,Oceania,2011-01-12,2011-01-13
Storm,Vanuatu,Melanesia,Oceania,2014-03-09,2014-03-12
Storm,Vanuatu,Melanesia,Oceania,2015-03-12,2015-03-14
Epidemic,Vanuatu,Melanesia,Oceania,2016-11-30,2017-03-19
Storm,Vanuatu,Melanesia,Oceania,2017-05-07,2017-05-12
Volcanic_activity,Vanuatu,Melanesia,Oceania,2017-09-23,2017-10-02
Volcanic_activity,Vanuatu,Melanesia,Oceania,2018-03-09,2018-05-10
Volcanic_activity,Vanuatu,Melanesia,Oceania,2018-12-15,2018-12-18
Storm,Vanuatu,Melanesia,Oceania,2020-04-06,2020-04-06
Volcanic_activity,Vanuatu,Melanesia,Oceania,2021-10-21,2021-10-22
Storm,Vanuatu,Melanesia,Oceania,2023-02-28,2023-03-03
Storm,Vanuatu,Melanesia,Oceania,2023-03-02,2023-03-04
Storm,Vanuatu,Melanesia,Oceania,2023-10-24,2023-10-25
Earthquake,Vanuatu,Melanesia,Oceania,2024-12-17,2024-12-17
