Disaster_Type,Country,Subregion,Region,Start Date,End Date
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2000-10-15,2000-10-17
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2000-11-12,2000-11-17
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2002-07-20,2002-07-31
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2003-06-01,2003-06-03
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2003-08-26,2003-08-28
Storm,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2004-09-08,2004-09-08
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2004-11-17,2004-11-25
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2005-01-08,2005-01-20
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2005-02-07,2005-02-14
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2005-06-08,2005-06-08
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2005-06-14,2005-06-17
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2006-10-17,2006-10-17
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2008-11-20,2008-11-23
Drought,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2009-11-01,2010-06-30
Storm,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2010-09-24,2010-09-24
Epidemic,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2011-01-06,2011-01-14
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2010-11-25,2010-12-06
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2011-12-01,2011-12-01
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2011-04-15,2011-04-25
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2011-12-06,2011-12-12
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2012-05-08,2012-05-11
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2015-06-29,2015-07-07
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2016-11-26,2016-12-05
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2018-08-01,2018-08-10
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2018-09-25,2018-09-28
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2019-10-05,2019-10-15
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2020-11-08,2020-11-17
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2021-04-30,2021-05-04
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2021-08-23,2021-08-24
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2022-04-25,2022-06-29
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2022-08-10,2022-08-11
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2022-09-22,2022-09-30
Mass_movement_wet,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2022-10-09,2022-10-09
Mass_movement_wet,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2022-10-17,2022-10-17
Storm,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2022-10-24,2022-10-27
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2022-10-27,2022-11-02
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2022-11-04,2022-11-04
Flood,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2023-06-01,2023-06-05
Storm,Venezuela (Bolivarian Republic of),Latin America and the Caribbean,Americas,2024-07-01,2024-07-04
