Disaster_Type,Country,Subregion,Region,Start Date,End Date
Storm,Viet Nam,South-eastern Asia,Asia,2000-06-12,2000-06-12
Flood,Viet Nam,South-eastern Asia,Asia,2000-07-15,2000-11-16
Mass_movement_wet,Viet Nam,South-eastern Asia,Asia,2000-07-22,2000-07-22
Storm,Viet Nam,South-eastern Asia,Asia,2000-07-10,2000-07-10
Storm,Viet Nam,South-eastern Asia,Asia,2000-08-20,2000-08-20
Storm,Viet Nam,South-eastern Asia,Asia,2000-08-24,2000-08-24
Storm,Viet Nam,South-eastern Asia,Asia,2000-08-24,2000-08-24
Storm,Viet Nam,South-eastern Asia,Asia,2000-08-24,2000-08-24
Storm,Viet Nam,South-eastern Asia,Asia,2000-09-10,2000-09-10
Mass_movement_wet,Viet Nam,South-eastern Asia,Asia,2000-10-03,2000-10-03
Flood,Viet Nam,South-eastern Asia,Asia,2000-11-18,2000-11-26
Storm,Viet Nam,South-eastern Asia,Asia,2001-07-04,2001-07-04
Flood,Viet Nam,South-eastern Asia,Asia,2001-06-30,2001-06-30
Storm,Viet Nam,South-eastern Asia,Asia,2001-08-11,2001-08-11
Flood,Viet Nam,South-eastern Asia,Asia,2001-08-15,2001-11-19
Flood,Viet Nam,South-eastern Asia,Asia,2001-10-20,2001-10-24
Storm,Viet Nam,South-eastern Asia,Asia,2001-11-12,2001-11-12
Flood,Viet Nam,South-eastern Asia,Asia,2001-11-04,2001-11-04
Wildfire,Viet Nam,South-eastern Asia,Asia,2002-03-24,2002-04-12
Flood,Viet Nam,South-eastern Asia,Asia,2002-07-31,2002-08-06
Flood,Viet Nam,South-eastern Asia,Asia,2002-09-15,2002-09-16
Flood,Viet Nam,South-eastern Asia,Asia,2002-09-20,2002-09-30
Storm,Viet Nam,South-eastern Asia,Asia,2002-10-17,2002-10-18
Drought,Viet Nam,South-eastern Asia,Asia,2002-05-01,2002-06-23
Storm,Viet Nam,South-eastern Asia,Asia,2003-07-23,2003-07-23
Flood,Viet Nam,South-eastern Asia,Asia,2003-10-15,2003-10-22
Flood,Viet Nam,South-eastern Asia,Asia,2003-11-11,2003-11-14
Flood,Viet Nam,South-eastern Asia,Asia,2003-09-10,2003-09-14
Epidemic,Viet Nam,South-eastern Asia,Asia,2003-10-15,2004-03-24
Storm,Viet Nam,South-eastern Asia,Asia,2004-06-07,2004-06-11
